date,region,value
2016-01-01,UK,2.6
2016-02-01,UK,2.6
2016-03-01,UK,2.6
2016-04-01,UK,2.6
2016-05-01,UK,2.5
2016-06-01,UK,2.4
2016-07-01,UK,2.4
2016-08-01,UK,2.3
2016-09-01,UK,2.3
2016-10-01,UK,2.3
2016-11-01,UK,2.3
2016-12-01,UK,2.3
2017-01-01,UK,2.2
2017-02-01,UK,2.1
2017-03-01,UK,1.9
2017-04-01,UK,1.8
2017-05-01,UK,1.8
2017-06-01,UK,1.8
2017-07-01,UK,1.8
2017-08-01,UK,1.6
2017-09-01,UK,1.6
2017-10-01,UK,1.5
2017-11-01,UK,1.4
2017-12-01,UK,1.2
2018-01-01,UK,1.1
2018-02-01,UK,1.1
2018-03-01,UK,1.1
2018-04-01,UK,1
2018-05-01,UK,1
2018-06-01,UK,1
2018-07-01,UK,0.9
2018-08-01,UK,0.9
2018-09-01,UK,0.9
2018-10-01,UK,0.9
2018-11-01,UK,0.9
2018-12-01,UK,1
2019-01-01,UK,1
2019-02-01,UK,1.1
2019-03-01,UK,1.2
2019-04-01,UK,1.2
2019-05-01,UK,1.3
2019-06-01,UK,1.3
2019-07-01,UK,1.3
2019-08-01,UK,1.3
2019-09-01,UK,1.3
2019-10-01,UK,1.3
2019-11-01,UK,1.4
2019-12-01,UK,1.4
2020-01-01,UK,1.5
2020-02-01,UK,1.4
2020-03-01,UK,1.4
2020-04-01,UK,1.5
2020-05-01,UK,1.5
2020-06-01,UK,1.5
2020-07-01,UK,1.4
2020-08-01,UK,1.5
2020-09-01,UK,1.5
2020-10-01,UK,1.4
2020-11-01,UK,1.4
2020-12-01,UK,1.4
2021-01-01,UK,1.3
2021-02-01,UK,1.3
2021-03-01,UK,1.3
2021-04-01,UK,1.2
2021-05-01,UK,1.2
2021-06-01,UK,1.2
2021-07-01,UK,1.3
2021-08-01,UK,1.3
2021-09-01,UK,1.4
2021-10-01,UK,1.6
2021-11-01,UK,1.7
2021-12-01,UK,1.9
2022-01-01,UK,2.1
2022-02-01,UK,2.3
2022-03-01,UK,2.4
2016-01-01,UK excl. London,1.8
2016-02-01,UK excl. London,1.9
2016-03-01,UK excl. London,2
2016-04-01,UK excl. London,2
2016-05-01,UK excl. London,2
2016-06-01,UK excl. London,2
2016-07-01,UK excl. London,2.1
2016-08-01,UK excl. London,2.1
2016-09-01,UK excl. London,2.1
2016-10-01,UK excl. London,2.2
2016-11-01,UK excl. London,2.2
2016-12-01,UK excl. London,2.3
2017-01-01,UK excl. London,2.2
2017-02-01,UK excl. London,2.2
2017-03-01,UK excl. London,2.2
2017-04-01,UK excl. London,2.1
2017-05-01,UK excl. London,2
2017-06-01,UK excl. London,2
2017-07-01,UK excl. London,2
2017-08-01,UK excl. London,1.9
2017-09-01,UK excl. London,1.9
2017-10-01,UK excl. London,1.9
2017-11-01,UK excl. London,1.8
2017-12-01,UK excl. London,1.7
2018-01-01,UK excl. London,1.6
2018-02-01,UK excl. London,1.6
2018-03-01,UK excl. London,1.6
2018-04-01,UK excl. London,1.6
2018-05-01,UK excl. London,1.6
2018-06-01,UK excl. London,1.6
2018-07-01,UK excl. London,1.5
2018-08-01,UK excl. London,1.5
2018-09-01,UK excl. London,1.5
2018-10-01,UK excl. London,1.5
2018-11-01,UK excl. London,1.4
2018-12-01,UK excl. London,1.5
2019-01-01,UK excl. London,1.5
2019-02-01,UK excl. London,1.5
2019-03-01,UK excl. London,1.5
2019-04-01,UK excl. London,1.5
2019-05-01,UK excl. London,1.5
2019-06-01,UK excl. London,1.5
2019-07-01,UK excl. London,1.5
2019-08-01,UK excl. London,1.5
2019-09-01,UK excl. London,1.5
2019-10-01,UK excl. London,1.5
2019-11-01,UK excl. London,1.6
2019-12-01,UK excl. London,1.5
2020-01-01,UK excl. London,1.6
2020-02-01,UK excl. London,1.5
2020-03-01,UK excl. London,1.5
2020-04-01,UK excl. London,1.6
2020-05-01,UK excl. London,1.7
2020-06-01,UK excl. London,1.6
2020-07-01,UK excl. London,1.6
2020-08-01,UK excl. London,1.6
2020-09-01,UK excl. London,1.6
2020-10-01,UK excl. London,1.7
2020-11-01,UK excl. London,1.5
2020-12-01,UK excl. London,1.6
2021-01-01,UK excl. London,1.5
2021-02-01,UK excl. London,1.6
2021-03-01,UK excl. London,1.7
2021-04-01,UK excl. London,1.7
2021-05-01,UK excl. London,1.8
2021-06-01,UK excl. London,1.8
2021-07-01,UK excl. London,1.9
2021-08-01,UK excl. London,2.1
2021-09-01,UK excl. London,2.1
2021-10-01,UK excl. London,2.3
2021-11-01,UK excl. London,2.6
2021-12-01,UK excl. London,2.8
2022-01-01,UK excl. London,3
2022-02-01,UK excl. London,3.2
2022-03-01,UK excl. London,3.3
2016-01-01,London,3.9
2016-02-01,London,3.8
2016-03-01,London,3.7
2016-04-01,London,3.7
2016-05-01,London,3.3
2016-06-01,London,3
2016-07-01,London,3
2016-08-01,London,2.6
2016-09-01,London,2.7
2016-10-01,London,2.6
2016-11-01,London,2.4
2016-12-01,London,2.4
2017-01-01,London,2.1
2017-02-01,London,1.9
2017-03-01,London,1.6
2017-04-01,London,1.4
2017-05-01,London,1.3
2017-06-01,London,1.3
2017-07-01,London,1.5
2017-08-01,London,1.2
2017-09-01,London,0.9
2017-10-01,London,0.8
2017-11-01,London,0.6
2017-12-01,London,0.4
2018-01-01,London,0.2
2018-02-01,London,0.1
2018-03-01,London,0.1
2018-04-01,London,0
2018-05-01,London,-0.2
2018-06-01,London,-0.2
2018-07-01,London,-0.3
2018-08-01,London,-0.3
2018-09-01,London,-0.2
2018-10-01,London,-0.2
2018-11-01,London,0
2018-12-01,London,0.2
2019-01-01,London,0.1
2019-02-01,London,0.2
2019-03-01,London,0.5
2019-04-01,London,0.5
2019-05-01,London,0.9
2019-06-01,London,0.9
