Period,Group,Value (%),Detail
Pre-Covid,All,4.040584,Food insufficiency
Covid,All,10.69321,US
Pre-Covid,White,3.388386,
Covid,White,8.639998,
Pre-Covid,Non-white,6.690238,
Covid,Non-white,17.29163,
Pre-Covid,No children,4.740298,
Covid,No children,14.41999,
Pre-Covid,Children present,3.631361,
Covid,Children present,8.361998,
