Journal,Year,Value,Detail
QJE,1991,0,Economics journals
EJ,1991,1,Number of articles
Econometrica,1991,0,
ReStud,1991,0,
AER,1991,2,
JEEA,1991,0,
Economica,1991,0,
JPE,1991,0,
AEJ: Applied,1991,0,
QJE,1992,0,
EJ,1992,0,
Econometrica,1992,0,
ReStud,1992,0,
AER,1992,1,
JEEA,1992,0,
Economica,1992,0,
JPE,1992,0,
AEJ: Applied,1992,0,
QJE,1993,0,
EJ,1993,0,
Econometrica,1993,0,
ReStud,1993,0,
AER,1993,1,
JEEA,1993,0,
Economica,1993,0,
JPE,1993,0,
AEJ: Applied,1993,0,
QJE,1994,0,
EJ,1994,0,
Econometrica,1994,0,
ReStud,1994,0,
AER,1994,1,
JEEA,1994,0,
Economica,1994,0,
JPE,1994,0,
AEJ: Applied,1994,0,
QJE,1995,0,
EJ,1995,0,
Econometrica,1995,0,
ReStud,1995,0,
AER,1995,1,
JEEA,1995,0,
Economica,1995,0,
JPE,1995,0,
AEJ: Applied,1995,0,
QJE,1996,0,
EJ,1996,0,
Econometrica,1996,0,
ReStud,1996,0,
AER,1996,4,
JEEA,1996,0,
Economica,1996,0,
JPE,1996,0,
AEJ: Applied,1996,0,
QJE,1997,0,
EJ,1997,1,
Econometrica,1997,0,
ReStud,1997,0,
AER,1997,0,
JEEA,1997,0,
Economica,1997,0,
JPE,1997,1,
AEJ: Applied,1997,0,
QJE,1998,0,
EJ,1998,0,
Econometrica,1998,0,
ReStud,1998,0,
AER,1998,1,
JEEA,1998,0,
Economica,1998,0,
JPE,1998,0,
AEJ: Applied,1998,0,
QJE,1999,0,
EJ,1999,0,
Econometrica,1999,0,
ReStud,1999,0,
AER,1999,2,
JEEA,1999,0,
Economica,1999,0,
JPE,1999,0,
AEJ: Applied,1999,0,
QJE,2000,0,
EJ,2000,0,
Econometrica,2000,0,
ReStud,2000,0,
AER,2000,0,
JEEA,2000,0,
Economica,2000,0,
JPE,2000,0,
AEJ: Applied,2000,0,
QJE,2001,0,
EJ,2001,0,
Econometrica,2001,0,
ReStud,2001,0,
AER,2001,0,
JEEA,2001,0,
Economica,2001,0,
JPE,2001,0,
AEJ: Applied,2001,0,
QJE,2002,0,
EJ,2002,0,
Econometrica,2002,0,
ReStud,2002,0,
AER,2002,0,
JEEA,2002,0,
Economica,2002,0,
JPE,2002,0,
AEJ: Applied,2002,0,
QJE,2003,0,
EJ,2003,0,
Econometrica,2003,0,
ReStud,2003,0,
AER,2003,0,
JEEA,2003,1,
Economica,2003,0,
JPE,2003,0,
AEJ: Applied,2003,0,
QJE,2004,0,
EJ,2004,1,
Econometrica,2004,0,
ReStud,2004,0,
AER,2004,0,
JEEA,2004,0,
Economica,2004,0,
JPE,2004,0,
AEJ: Applied,2004,0,
QJE,2005,0,
EJ,2005,0,
Econometrica,2005,0,
ReStud,2005,0,
AER,2005,1,
JEEA,2005,0,
Economica,2005,0,
JPE,2005,0,
AEJ: Applied,2005,0,
QJE,2006,0,
EJ,2006,0,
Econometrica,2006,0,
ReStud,2006,0,
AER,2006,3,
JEEA,2006,0,
Economica,2006,0,
JPE,2006,0,
