date,value,
1086,null,
1087,null,
1088,null,
1089,null,
1090,null,
1091,null,
1092,null,
1093,null,
1094,null,
1095,null,
1096,null,
1097,null,
1098,null,
1099,null,
1100,null,
1101,null,
1102,null,
1103,null,
1104,null,
1105,null,
1106,null,
1107,null,
1108,null,
1109,null,
1110,null,
1111,null,
1112,null,
1113,null,
1114,null,
1115,null,
1116,null,
1117,null,
1118,null,
1119,null,
1120,null,
1121,null,
1122,null,
1123,null,
1124,null,
1125,null,
1126,null,
1127,null,
1128,null,
1129,null,
1130,null,
1131,null,
1132,null,
1133,null,
1134,null,
1135,null,
1136,null,
1137,null,
1138,null,
1139,null,
1140,null,
1141,null,
1142,null,
1143,null,
1144,null,
1145,null,
1146,null,
1147,null,
1148,null,
1149,null,
1150,null,
1151,null,
1152,null,
1153,null,
1154,null,
1155,null,
1156,null,
1157,null,
1158,null,
1159,null,
1160,null,
1161,null,
1162,null,
1163,null,
1164,null,
1165,null,
1166,null,
1167,null,
1168,null,
1169,null,
1170,null,
1171,null,
1172,null,
1173,null,
1174,null,
1175,null,
1176,null,
1177,null,
1178,null,
1179,null,
1180,null,
1181,null,
1182,null,
1183,null,
1184,null,
1185,null,
1186,null,
1187,null,
1188,null,
1189,null,
1190,null,
1191,null,
1192,null,
1193,null,
1194,null,
1195,null,
1196,null,
1197,null,
1198,null,
1199,null,
1200,null,
1201,null,
1202,null,
1203,null,
1204,null,
1205,null,
1206,null,
1207,null,
1208,null,
1209,null,
1210,2.23,
1211,2.27,
1212,2.51,
1213,2.25,
1214,2.19,
1215,2.13,
1216,2.25,
1217,2.37,
1218,2.69,
1219,3.08,
1220,2.98,
1221,2.64,
1222,2.91,
1223,2.53,
1224,2.20,
1225,2.39,
1226,3.42,
1227,3.12,
1228,3.07,
1229,3.02,
1230,2.98,
1231,2.94,
1232,2.89,
1233,2.85,
1234,2.71,
1235,2.74,
1236,2.77,
1237,2.70,
1238,2.95,
1239,2.88,
1240,2.81,
1241,2.75,
1242,2.68,
1243,2.62,
1244,2.56,
1245,2.50,
1246,2.44,
1247,2.74,
1248,3.49,
1249,3.44,
1250,2.64,
1251,2.86,
1252,2.70,
1253,2.76,
1254,3.11,
1255,2.42,
1256,2.53,
1257,3.12,
1258,3.55,
1259,3.46,
1260,3.38,
1261,3.08,
1262,3.27,
1263,3.30,
1264,2.99,
1265,3.03,
1266,3.14,
1267,3.14,
1268,3.33,
1269,2.92,
1270,3.38,
1271,3.31,
1272,4.07,
1273,4.19,
1274,3.59,
1275,4.03,
1276,3.93,
1277,3.57,
1278,3.99,
1279,3.54,
1280,3.30,
1281,3.67,
1282,3.40,
1283,3.86,
1284,3.73,
1285,3.76,
1286,3.23,
1287,3.45,
1288,3.15,
1289,2.70,
1290,2.89,
1291,3.31,
1292,3.83,
1293,3.59,
1294,3.60,
1295,4.10,
1296,4.27,
1297,4.06,
1298,3.60,
1299,3.84,
1300,3.90,
1301,4.00,
1302,3.78,
1303,3.62,
1304,3.42,
1305,3.32,
1306,3.65,
1307,3.70,
1308,3.57,
1309,3.90,
1310,4.47,
1311,4.69,
1312,4.69,
1313,3.96,
1314,3.87,
1315,4.18,
1316,4.42,
1317,5.85,
1318,5.99,
1319,4.65,
1320,3.67,
1321,4.07,
1322,4.30,
1323,5.49,
1324,4.79,
1325,4.20,
1326,4.49,
1327,3.92,
1328,3.46,
1329,3.76,
1330,4.06,
1331,4.10,
1332,4.37,
1333,4.43,
1334,3.76,
1335,3.59,
1336,3.55,
1337,3.72,
1338,3.49,
1339,3.19,
1340,2.95,
1341,3.70,
1342,3.23,
1343,3.34,
1344,3.26,
1345,3.56,
1346,3.24,
1347,3.40,
1348,4.00,
1349,4.04,
1350,3.34,
1351,3.95,
1352,4.58,
1353,5.11,
1354,4.21,
1355,4.08,
1356,4.20,
1357,4.41,
1358,4.53,
1359,4.54,
1360,4.34,
1361,4.37,
1362,4.32,
1363,4.23,
1364,4.76,
1365,5.01,
1366,4.63,
1367,4.33,
1368,4.42,
1369,4.72,
1370,4.76,
1371,6.28,
1372,4.90,
1373,4.54,
1374,4.84,
1375,4.34,
1376,5.02,
1377,4.94,
1378,4.00,
1379,3.78,
1380,3.63,
1381,4.22,
1382,4.31,
1383,4.00,
1384,3.95,
1385,4.01,
1386,3.87,
1387,4.03,
1388,3.81,
1389,3.59,
1390,3.35,
1391,4.15,
1392,4.75,
1393,3.97,
1394,3.53,
1395,3.61,
1396,3.72,
1397,3.73,
1398,4.26,
1399,4.21,
1400,4.02,
1401,4.13,
1402,4.36,
1403,4.82,
1404,4.36,
1405,3.94,
1406,3.88,
1407,3.64,
1408,3.90,
1409,4.19,
1410,4.48,
1411,4.82,
1412,4.24,
1413,3.98,
1414,4.01,
1415,3.89,
1416,3.95,
1417,4.34,
1418,4.67,
1419,4.13,
1420,4.33,
1421,3.91,
1422,4.12,
1423,4.00,
1424,3.75,
1425,3.77,
1426,4.03,
1427,3.90,
1428,3.75,
1429,3.82,
1430,4.60,
1431,4.56,
1432,4.13,
1433,3.74,
1434,4.40,
1435,4.06,
1436,3.88,
1437,4.07,
1438,4.04,
1439,5.07,
1440,5.28,
1441,4.52,
1442,3.56,
1443,3.70,
1444,3.74,
1445,3.71,
1446,3.55,
1447,3.99,
1448,4.14,
1449,3.81,
1450,3.97,
1451,3.89,
1452,3.96,
1453,4.05,
1454,3.98,
1455,3.82,
1456,3.64,
1457,3.84,
1458,3.88,
1459,4.08,
1460,4.02,
1461,4.01,
1462,4.42,
1463,4.43,
1464,3.65,
1465,3.43,
1466,3.74,
1467,3.81,
1468,3.99,
1469,4.15,
1470,4.08,
1471,4.19,
1472,4.17,
1473,4.07,
1474,3.75,
1475,3.74,
1476,3.75,
1477,3.90,
1478,3.96,
1479,4.21,
1480,4.24,
1481,3.98,
1482,4.03,
1483,4.47,
1484,4.92,
1485,4.49,
1486,4.01,
1487,4.02,
1488,4.12,
1489,4.04,
1490,4.13,
1491,4.06,
1492,4.32,
1493,4.16,
1494,3.91,
1495,3.92,
1496,3.84,
1497,3.53,
1498,4.19,
1499,3.93,
1500,4.02,
1501,3.80,
1502,4.38,
1503,4.53,
1504,4.24,
1505,4.32,
1506,4.05,
1507,3.93,
1508,4.08,
1509,4.04,
1510,3.51,
1511,3.63,
1512,3.70,
1513,4.14,
1514,4.75,
1515,4.22,
1516,4.25,
1517,4.52,
1518,4.01,
1519,4.42,
1520,4.45,
1521,4.93,
1522,5.21,
1523,4.76,
1524,4.76,
1525,4.60,
1526,4.22,
1527,4.15,
1528,4.60,
1529,6.11,
1530,5.12,
1531,5.12,
1532,5.18,
1533,5.26,
1534,5.19,
1535,4.65,
1536,5.18,
1537,5.40,
1538,5.48,
1539,4.90,
1540,4.69,
1541,4.89,
1542,5.27,
1543,5.12,
1544,5.49,
1545,5.85,
1546,6.54,
1547,6.97,
1548,5.42,
1549,5.42,
1550,6.58,
1551,8.21,
1552,8.92,
1553,8.08,
1554,7.43,
1555,7.34,
1556,8.56,
1557,10.10,
1558,10.73,
1559,7.89,
1560,8.32,
1561,8.73,
1562,9.45,
1563,9.43,
1564,9.84,
1565,10.10,
1566,8.82,
1567,9.08,
1568,8.41,
1569,8.48,
1570,9.20,
1571,9.06,
1572,8.82,
1573,9.54,
1574,9.97,
1575,11.33,
1576,10.07,
1577,10.22,
1578,11.08,
1579,10.32,
1580,10.31,
1581,9.77,
1582,11.00,
1583,10.96,
1584,10.50,
1585,10.54,
1586,11.09,
1587,12.87,
1588,12.92,
1589,11.06,
