date,metric,value
2013-01-01,Nursery fees,0.5276
2013-02-01,Nursery fees,0.5264
2013-03-01,Nursery fees,0.5270
2013-04-01,Nursery fees,0.5265
2013-05-01,Nursery fees,0.5257
2013-06-01,Nursery fees,0.5239
2013-07-01,Nursery fees,0.5232
2013-08-01,Nursery fees,0.5233
2013-09-01,Nursery fees,0.5238
2013-10-01,Nursery fees,0.5198
2013-11-01,Nursery fees,0.5151
2013-12-01,Nursery fees,0.5111
2014-01-01,Nursery fees,0.5151
2014-02-01,Nursery fees,0.5191
2014-03-01,Nursery fees,0.5281
2014-04-01,Nursery fees,0.5401
2014-05-01,Nursery fees,0.5552
2014-06-01,Nursery fees,0.5664
2014-07-01,Nursery fees,0.5719
2014-08-01,Nursery fees,0.5719
2014-09-01,Nursery fees,0.5721
2014-10-01,Nursery fees,0.5699
2014-11-01,Nursery fees,0.5600
2014-12-01,Nursery fees,0.5448
2015-01-01,Nursery fees,0.5374
2015-02-01,Nursery fees,0.5300
2015-03-01,Nursery fees,0.5248
2015-04-01,Nursery fees,0.5126
2015-05-01,Nursery fees,0.5118
2015-06-01,Nursery fees,0.5122
2015-07-01,Nursery fees,0.5104
2015-08-01,Nursery fees,0.5079
2015-09-01,Nursery fees,0.5050
2015-10-01,Nursery fees,0.5157
2015-11-01,Nursery fees,0.5292
2015-12-01,Nursery fees,0.5456
2016-01-01,Nursery fees,0.5457
2016-02-01,Nursery fees,0.5371
2016-03-01,Nursery fees,0.5381
2016-04-01,Nursery fees,0.5339
2016-05-01,Nursery fees,0.5343
2016-06-01,Nursery fees,0.5081
2016-07-01,Nursery fees,0.4941
2016-08-01,Nursery fees,0.4851
2016-09-01,Nursery fees,0.4873
2016-10-01,Nursery fees,0.4848
2016-11-01,Nursery fees,0.4793
2016-12-01,Nursery fees,0.4751
2017-01-01,Nursery fees,0.4860
2017-02-01,Nursery fees,0.4948
2017-03-01,Nursery fees,0.5057
2017-04-01,Nursery fees,0.5045
2017-05-01,Nursery fees,0.5039
2017-06-01,Nursery fees,0.5030
2017-07-01,Nursery fees,0.5010
2017-08-01,Nursery fees,0.4994
