date,country,value
2000,Russia,56.26056804
2001,Russia,55.19112527
2002,Russia,51.99655566
2003,Russia,49.60198554
2004,Russia,49.14929208
2005,Russia,49.33289406
2006,Russia,48.46171956
2007,Russia,48.83055905
2008,Russia,47.90298797
2009,Russia,40.24457618
2010,Russia,39.24274148
2011,Russia,42.70854907
2012,Russia,39.77697202
2013,Russia,41.59978472
2014,Russia,38.15155176
2015,Russia,39.08649112
2016,Russia,38.25141672
2017,Russia,39.46347783
2018,Russia,39.73307873
2019,Russia,40.38584255
2020,Russia,37.50255785
2000,Norway,14.24731832
2001,Norway,14.99706739
2002,Norway,17.57782354
2003,Norway,18.13365589
2004,Norway,17.82774176
2005,Norway,18.66292171
2006,Norway,19.14589163
2007,Norway,19.41420621
2008,Norway,19.88147108
2009,Norway,23.0442287
2010,Norway,22.57062996
2011,Norway,21.99693968
2012,Norway,24.41295471
2013,Norway,22.89451047
2014,Norway,23.64261829
2015,Norway,25.10609596
2016,Norway,23.62103981
2017,Norway,24.05746417
2018,Norway,23.50574595
2019,Norway,22.58510565
2020,Norway,23.90828143
2000,Rest of World,29.49211364
2001,Rest of World,29.81180734
2002,Rest of World,30.4256208
2003,Rest of World,32.26435857
2004,Rest of World,33.02296616
2005,Rest of World,32.00418423
2006,Rest of World,32.39238882
2007,Rest of World,31.75523474
2008,Rest of World,32.21554096
2009,Rest of World,36.71119512
2010,Rest of World,38.18662856
2011,Rest of World,35.29451125
2012,Rest of World,35.81007328
2013,Rest of World,35.5057048
2014,Rest of World,38.20582995
2015,Rest of World,35.80741292
2016,Rest of World,38.12754347
2017,Rest of World,36.47905801
2018,Rest of World,36.76117533
2019,Rest of World,37.0290518
2020,Rest of World,38.58916073
