date,metric,value
2000,$ billions,0.42
2001,$ billions,0.83
2002,$ billions,1.19
2003,$ billions,1.52
2004,$ billions,1.87
2005,$ billions,2.41
2006,$ billions,3.10
2007,$ billions,5.29
2008,$ billions,6.78
2009,$ billions,5.94
2010,$ billions,6.54
2011,$ billions,7.82
2012,$ billions,8.45
2013,$ billions,9.67
2014,$ billions,7.35
2015,$ billions,8.47
2016,$ billions,9.47
2017,$ billions,12.13
2018,$ billions,14.69
2019,$ billions,15.79
2020,$ billions,15.21
2000,% GDP,1.29
2001,% GDP,2.11
2002,% GDP,2.71
2003,% GDP,2.93
2004,% GDP,2.79
2005,% GDP,2.70
2006,% GDP,2.77
2007,% GDP,3.56
2008,% GDP,3.61
2009,% GDP,4.89
2010,% GDP,4.63
2011,% GDP,4.62
2012,% GDP,4.63
2013,% GDP,5.07
2014,% GDP,5.51
2015,% GDP,9.31
2016,% GDP,10.15
2017,% GDP,10.82
2018,% GDP,11.23
2019,% GDP,10.26
2020,% GDP,9.78
