Quarter,Year,Number of business births in NI,Detail
1,2017,"1,890",ONS Business Demography Experimental Statistics
2,2017,"1,500",
3,2017,"1,565",
4,2017,"1,240",
1,2018,"1,780",
2,2018,"1,555",
3,2018,"1,355",
4,2018,"1,355",
1,2019,"2,130",
2,2019,"1,770",
3,2019,"1,405",
4,2019,"1,445",
1,2020,"2,265",
2,2020,"1,290",
3,2020,"1,435",
4,2020,"1,895",
