date,value
2020-03-25,165.00
2020-03-26,171.53
2020-03-27,159.34
2020-03-30,155.78
2020-03-31,151.08
2020-04-01,140.01
2020-04-02,142.95
2020-04-03,139.34
2020-04-06,159.32
2020-04-07,160.10
2020-04-08,168.58
2020-04-09,185.69
2020-04-13,170.41
2020-04-14,172.06
2020-04-15,161.89
2020-04-16,161.36
2020-04-17,173.69
2020-04-20,174.67
2020-04-21,165.49
2020-04-22,167.50
2020-04-23,171.00
2020-04-24,184.00
2020-04-27,192.63
2020-04-28,193.25
2020-04-29,201.43
2020-04-30,193.17
2020-05-01,184.86
2020-05-04,182.35
2020-05-05,180.84
2020-05-06,180.01
2020-05-07,183.64
2020-05-08,185.85
2020-05-11,179.23
2020-05-12,169.85
2020-05-13,159.89
2020-05-14,173.28
2020-05-15,172.79
2020-05-18,187.46
2020-05-19,183.13
2020-05-20,194.92
2020-05-21,190.85
2020-05-22,189.49
2020-05-26,208.66
2020-05-27,221.38
2020-05-28,215.60
2020-05-29,214.75
2020-06-01,212.81
2020-06-02,209.90
2020-06-03,219.99
2020-06-04,223.19
2020-06-05,235.20
2020-06-08,236.04
2020-06-09,234.31
2020-06-10,221.81
2020-06-11,203.94
2020-06-12,208.53
2020-06-15,216.65
2020-06-16,221.81
2020-06-17,219.15
2020-06-18,220.58
2020-06-19,221.84
2020-06-22,219.90
2020-06-23,220.47
2020-06-24,207.98
2020-06-25,215.00
2020-06-26,203.86
2020-06-29,206.89
2020-06-30,215.53
2020-07-01,206.28
2020-07-02,208.34
2020-07-06,213.41
2020-07-07,207.78
2020-07-08,209.92
2020-07-09,201.65
2020-07-10,212.00
2020-07-13,214.43
2020-07-14,208.11
2020-07-15,220.78
2020-07-16,220.18
2020-07-17,217.57
2020-07-20,216.86
2020-07-21,224.73
2020-07-22,222.00
2020-07-23,224.89
2020-07-24,230.43
2020-07-27,225.69
2020-07-28,221.48
2020-07-29,228.78
2020-07-30,225.35
2020-07-31,224.27
2020-08-03,227.58
2020-08-04,226.71
2020-08-05,231.76
2020-08-06,229.38
2020-08-07,237.34
2020-08-10,240.10
2020-08-11,252.86
2020-08-12,252.98
2020-08-13,249.60
2020-08-14,250.38
2020-08-17,245.69
2020-08-18,241.51
2020-08-19,243.05
2020-08-20,240.71
2020-08-21,239.42
2020-08-24,249.36
2020-08-25,254.51
2020-08-26,249.35
2020-08-27,252.04
2020-08-28,255.01
2020-08-31,255.38
2020-09-01,256.16
2020-09-02,259.21
2020-09-03,259.00
2020-09-04,259.73
2020-09-08,253.38
2020-09-09,256.23
2020-09-10,248.33
2020-09-11,248.59
2020-09-14,250.68
2020-09-15,248.23
2020-09-16,249.67
2020-09-17,245.91
2020-09-18,246.37
2020-09-21,237.86
2020-09-22,230.47
2020-09-23,226.62
2020-09-24,225.51
2020-09-25,229.59
2020-09-28,237.48
2020-09-29,237.09
2020-09-30,240.62
2020-10-01,245.30
2020-10-02,245.65
2020-10-05,254.81
2020-10-06,254.06
2020-10-07,266.53
2020-10-08,273.20
2020-10-09,274.64
2020-10-12,276.29
2020-10-13,269.04
2020-10-14,267.78
2020-10-15,273.39
2020-10-16,273.21
2020-10-19,270.63
2020-10-20,275.95
2020-10-21,277.40
2020-10-22,285.06
2020-10-23,296.38
2020-10-26,289.94
2020-10-27,289.56
2020-10-28,278.54
2020-10-29,282.07
2020-10-30,290.70
2020-11-02,306.98
2020-11-03,310.57
2020-11-04,296.56
2020-11-05,312.67
2020-11-06,313.37
2020-11-09,332.04
2020-11-10,336.55
2020-11-11,328.82
2020-11-12,331.63
2020-11-13,345.91
2020-11-16,354.62
2020-11-17,348.34
2020-11-18,347.50
2020-11-19,354.67
2020-11-20,356.94
2020-11-23,348.81
2020-11-24,361.83
2020-11-25,354.58
2020-11-27,353.79
2020-11-30,344.86
2020-12-01,355.17
2020-12-02,353.15
2020-12-03,356.47
2020-12-04,358.32
2020-12-07,354.96
2020-12-08,354.26
2020-12-09,348.13
2020-12-10,353.73
2020-12-11,349.90
2020-12-14,349.49
2020-12-15,357.20
2020-12-16,358.34
2020-12-17,364.86
2020-12-18,357.80
2020-12-21,367.50
2020-12-22,368.20
2020-12-23,377.52
2020-12-24,375.99
2020-12-28,378.01
2020-12-29,376.00
2020-12-30,383.55
2020-12-31,387.83
2021-01-04,387.34
2021-01-05,386.16
2021-01-06,415.51
2021-01-07,431.34
2021-01-08,424.03
2021-01-11,434.06
2021-01-12,446.72
2021-01-13,442.19
2021-01-14,465.63
2021-01-15,461.43
2021-01-19,470.66
2021-01-20,462.71
2021-01-21,455.59
2021-01-22,480.15
2021-01-25,480.75
2021-01-26,482.11
2021-01-27,448.10
2021-01-28,451.96
2021-01-29,437.78
2021-02-01,456.53
2021-02-02,468.11
2021-02-03,472.32
2021-02-04,489.49
2021-02-05,490.91
2021-02-08,504.16
2021-02-09,504.95
2021-02-10,500.99
2021-02-11,500.39
2021-02-12,506.50
2021-02-16,525.15
2021-02-17,530.12
2021-02-18,522.24
2021-02-19,540.40
2021-02-22,536.73
2021-02-23,522.86
2021-02-24,540.13
2021-02-25,523.13
2021-02-26,505.36
2021-03-01,531.25
2021-03-02,521.25
2021-03-03,514.47
2021-03-04,502.49
2021-03-05,507.88
2021-03-08,511.15
2021-03-09,508.26
2021-03-10,529.13
2021-03-11,551.63
2021-03-12,548.57
2021-03-15,551.12
2021-03-16,539.85
2021-03-17,544.64
2021-03-18,550.48
2021-03-19,544.61
2021-03-22,511.76
2021-03-23,496.85
2021-03-24,487.42
2021-03-25,495.65
2021-03-26,491.98
2021-03-29,469.39
2021-03-30,490.66
2021-03-31,493.66
2021-04-01,483.33
2021-04-05,490.02
2021-04-06,489.81
2021-04-07,484.59
2021-04-08,490.08
2021-04-09,497.69
2021-04-12,500.65
2021-04-13,498.14
2021-04-14,507.00
2021-04-15,511.71
2021-04-16,518.94
2021-04-19,519.26
2021-04-20,507.71
2021-04-21,528.00
2021-04-22,518.99
2021-04-23,564.22
2021-04-26,572.93
2021-04-27,575.90
2021-04-28,571.81
2021-04-29,580.20
2021-04-30,571.83
2021-05-03,564.63
2021-05-04,572.93
2021-05-05,581.59
2021-05-06,578.96
2021-05-07,587.98
2021-05-10,575.90
2021-05-11,583.90
2021-05-12,547.27
2021-05-13,557.56
2021-05-14,578.42
2021-05-17,577.54
2021-05-18,575.46
2021-05-19,562.94
2021-05-20,559.81
2021-05-21,569.87
2021-05-24,575.26
2021-05-25,568.54
2021-05-26,579.71
2021-05-27,584.69
2021-05-28,582.89
2021-06-01,590.07
2021-06-02,587.94
2021-06-03,589.21
2021-06-04,596.06
2021-06-07,602.38
2021-06-08,606.83
2021-06-09,594.23
2021-06-10,566.47
2021-06-11,561.79
2021-06-14,545.74
2021-06-15,550.23
2021-06-16,567.06
2021-06-17,545.38
2021-06-18,530.96
2021-06-21,553.47
2021-06-22,556.23
2021-06-23,560.16
2021-06-24,561.04
2021-06-25,564.71
2021-06-28,556.88
2021-06-29,556.89
2021-06-30,556.43
2021-07-01,564.88
2021-07-02,565.21
2021-07-06,550.01
2021-07-07,551.64
2021-07-08,544.87
2021-07-09,575.24
2021-07-12,593.66
2021-07-13,578.85
2021-07-14,580.23
2021-07-15,580.73
2021-07-16,561.76
2021-07-19,534.95
2021-07-20,561.65
2021-07-21,574.00
2021-07-22,569.32
2021-07-23,570.87
2021-07-26,564.96
2021-07-27,554.32
2021-07-28,561.70
2021-07-29,566.71
2021-07-30,549.96
2021-08-02,544.18
2021-08-03,548.45
2021-08-04,548.04
2021-08-05,569.29
2021-08-06,589.70
2021-08-09,587.02
2021-08-10,580.71
2021-08-11,594.32
2021-08-12,590.95
2021-08-13,581.73
2021-08-16,581.38
2021-08-17,562.94
2021-08-18,556.32
2021-08-19,542.65
2021-08-20,550.95
2021-08-23,558.36
2021-08-24,568.38
2021-08-25,572.00
2021-08-26,560.76
2021-08-27,574.48
2021-08-30,559.70
2021-08-31,559.50
2021-09-01,564.59
2021-09-02,569.68
2021-09-03,571.51
2021-09-07,586.00
2021-09-08,585.87
2021-09-09,589.63
2021-09-10,591.60
2021-09-13,602.21
2021-09-14,584.44
2021-09-15,597.89
2021-09-16,608.45
2021-09-17,610.41
2021-09-20,587.63
2021-09-21,593.17
2021-09-22,607.83
2021-09-23,642.15
2021-09-24,649.96
2021-09-27,674.41
2021-09-28,654.00
2021-09-29,655.99
2021-09-30,646.88
2021-10-01,664.53
2021-10-04,649.35
2021-10-05,665.38
2021-10-06,659.85
2021-10-07,665.56
2021-10-08,670.49
2021-10-11,666.51
2021-10-12,659.09
2021-10-13,667.72
2021-10-14,683.89
2021-10-15,690.33
2021-10-18,696.08
2021-10-19,699.92
2021-10-20,705.27
2021-10-21,705.14
2021-10-22,753.12
2021-10-25,746.01
2021-10-26,745.32
2021-10-27,708.15
2021-10-28,710.49
2021-10-29,717.40
2021-11-01,727.99
2021-11-02,740.44
2021-11-03,755.03
2021-11-04,751.18
2021-11-05,747.52
2021-11-08,742.05
2021-11-09,750.47
2021-11-10,741.92
2021-11-11,741.97
2021-11-12,743.90
2021-11-15,747.99
2021-11-16,754.65
2021-11-17,745.26
2021-11-18,744.97
2021-11-19,727.79
2021-11-22,741.20
2021-11-23,737.31
2021-11-24,740.45
2021-11-26,714.19
2021-11-29,724.50
2021-11-30,692.33
2021-12-01,675.59
2021-12-02,712.20
2021-12-03,674.57
2021-12-06,693.39
2021-12-07,716.78
2021-12-08,710.21
2021-12-09,706.06
2021-12-10,703.92
2021-12-13,675.60
2021-12-14,676.68
2021-12-15,699.53
2021-12-16,682.29
2021-12-17,654.01
2021-12-20,637.64
2021-12-21,665.26
2021-12-22,672.69
2021-12-23,674.76
2021-12-27,689.62
2021-12-28,681.07
2021-12-29,683.19
2021-12-30,679.45
2021-12-31,678.24
2022-01-03,688.17
2022-01-04,706.15
2022-01-05,681.93
2022-01-06,733.29
2022-01-07,733.15
2022-01-10,711.21
2022-01-11,733.45
2022-01-12,737.77
2022-01-13,711.64
2022-01-14,704.41
2022-01-18,668.36
2022-01-19,655.00
2022-01-20,647.94
2022-01-21,581.76
2022-01-24,570.01
2022-01-25,554.82
2022-01-26,560.45
2022-01-27,542.74
2022-01-28,558.47
2022-01-31,583.90
2022-02-01,605.88
2022-02-02,607.99
2022-02-03,601.01
2022-02-04,613.31
2022-02-07,618.40
2022-02-08,635.26
2022-02-09,639.45
2022-02-10,642.31
2022-02-11,627.25
2022-02-14,621.53
2022-02-15,645.23
2022-02-16,654.14
2022-02-17,620.80
2022-02-18,613.13
2022-02-22,607.78
2022-02-23,585.28
2022-02-24,584.27
2022-02-25,623.16
2022-02-28,606.00
2022-03-01,557.88
2022-03-02,594.51
2022-03-03,584.23
2022-03-04,543.12
2022-03-07,494.35
2022-03-08,516.99
2022-03-09,538.94
2022-03-10,539.51
2022-03-11,530.59
2022-03-14,512.12
2022-03-15,526.66
2022-03-16,556.80
2022-03-17,564.73
2022-03-18,570.44
2022-03-21,565.51
2022-03-22,587.86
2022-03-23,569.24
2022-03-24,576.91
2022-03-25,586.40
2022-03-28,576.15
2022-03-29,592.56
2022-03-30,567.04
2022-03-31,559.45
2022-04-01,547.75
2022-04-04,546.90
2022-04-05,529.76
2022-04-06,510.57
2022-04-07,500.28
2022-04-08,500.37
2022-04-11,516.03
2022-04-12,506.84
2022-04-13,520.67
2022-04-14,507.06
2022-04-18,503.70
2022-04-19,537.08
2022-04-20,518.07
2022-04-21,503.13
2022-04-22,541.04
2022-04-25,543.31
2022-04-26,514.51
2022-04-27,508.08
2022-04-28,515.32
2022-04-29,487.64
2022-05-02,497.67
2022-05-03,512.62
2022-05-04,537.51
2022-05-05,513.37
2022-05-06,493.74
2022-05-09,469.81
2022-05-10,459.98
2022-05-11,441.36
2022-05-12,435.57
2022-05-13,449.28
2022-05-16,432.15
2022-05-17,447.99
2022-05-18,431.25
2022-05-19,435.50
2022-05-20,434.70
2022-05-23,448.00
2022-05-24,427.98
2022-05-25,452.72
2022-05-26,473.11
2022-05-27,492.02
2022-05-31,488.57
2022-06-01,474.72
2022-06-02,491.99
2022-06-03,480.28
2022-06-06,483.26
2022-06-07,491.96
2022-06-08,485.86
2022-06-09,470.67
2022-06-10,442.88
2022-06-13,402.14
2022-06-14,406.39
2022-06-15,419.04
2022-06-16,389.13
2022-06-17,399.76
2022-06-21,402.82
2022-06-22,400.15
2022-06-23,401.08
2022-06-24,415.52
2022-06-27,412.28
2022-06-28,404.65
2022-06-29,402.56
2022-06-30,394.99
2022-07-01,400.67
2022-07-05,412.41
2022-07-06,407.23
2022-07-07,423.20
2022-07-08,418.63
2022-07-11,408.51
2022-07-12,411.50
2022-07-13,406.30
2022-07-14,393.14
2022-07-15,408.62
2022-07-18,413.81
2022-07-19,426.70
2022-07-20,434.54
2022-07-21,436.17
2022-07-22,361.36
2022-07-25,391.16
2022-07-26,364.99
2022-07-27,379.43
2022-07-28,390.78
2022-07-29,403.55
2022-08-01,398.00
2022-08-02,400.19
2022-08-03,413.40
2022-08-04,416.26
2022-08-05,413.21
2022-08-08,412.71
2022-08-09,419.77
2022-08-10,452.24
2022-08-11,455.21
2022-08-12,464.24
2022-08-15,465.40
2022-08-16,476.45
2022-08-17,459.81
2022-08-18,457.46
2022-08-19,435.39
2022-08-22,420.87
2022-08-23,422.51
2022-08-24,429.50
2022-08-25,438.51
2022-08-26,410.56
2022-08-29,404.81
2022-08-30,408.19
2022-08-31,406.52
2022-09-01,401.94
2022-09-02,395.10
2022-09-06,383.64
2022-09-07,398.53
2022-09-08,413.98
2022-09-09,422.97
2022-09-12,406.15
2022-09-13,384.69
2022-09-14,377.59
2022-09-15,379.03
2022-09-16,362.42
2022-09-19,365.80
2022-09-20,365.17
2022-09-21,359.53
2022-09-22,342.57
2022-09-23,340.83
2022-09-26,335.70
2022-09-27,333.84
2022-09-28,343.72
2022-09-29,337.93
2022-09-30,335.78
2022-10-03,354.89
2022-10-04,376.49
2022-10-05,364.12
2022-10-06,356.57
2022-10-07,341.47
2022-10-10,340.54
2022-10-11,335.79
2022-10-12,335.25
2022-10-13,345.07
2022-10-14,317.77
2022-10-17,333.51
2022-10-18,330.04
2022-10-19,315.37
2022-10-20,302.46
2022-10-21,230.03
2022-10-24,232.01
2022-10-25,239.50
2022-10-26,241.69
2022-10-27,229.38
2022-10-28,234.15
2022-10-31,230.96
2022-11-01,228.98
2022-11-02,213.05
2022-11-03,207.62
2022-11-04,213.20
2022-11-07,212.91
2022-11-08,218.42
2022-11-09,208.30
2022-11-10,230.95
2022-11-11,235.62
2022-11-14,219.76
2022-11-15,239.93
2022-11-16,235.05
2022-11-17,222.62
2022-11-18,223.53
2022-11-21,215.12
2022-11-22,217.27
2022-11-23,222.20
2022-11-25,222.60
2022-11-28,217.52
2022-11-29,219.13
2022-11-30,231.78
2022-12-01,228.17
2022-12-02,224.92
2022-12-05,209.24
2022-12-06,200.26
2022-12-07,208.28
2022-12-08,222.64
2022-12-09,220.27
2022-12-12,223.40
2022-12-13,234.15
2022-12-14,230.57
2022-12-15,220.60
2022-12-16,213.40
2022-12-19,210.39
2022-12-20,212.46
2022-12-21,217.35
2022-12-22,215.80
2022-12-23,216.85
2022-12-27,216.11
2022-12-28,216.45
2022-12-29,234.63
2022-12-30,230.14
2023-01-03,225.22
2023-01-04,240.06
2023-01-05,232.59
