date,country,value
2000,PL from Russia,51.27589591
2001,PL from Russia,50.06226955
2002,PL from Russia,46.75747528
2003,PL from Russia,44.86051419
2004,PL from Russia,44.91226034
2005,PL from Russia,44.30321643
2006,PL from Russia,42.71590986
2007,PL from Russia,43.44072502
2008,PL from Russia,42.71039604
2009,PL from Russia,34.41431636
2010,PL from Russia,32.48232904
2011,PL from Russia,35.44628536
2012,PL from Russia,34.49128017
2013,PL from Russia,37.31181772
2014,PL from Russia,34.02918649
2015,PL from Russia,34.61107283
2016,PL from Russia,34.08120599
2017,PL from Russia,34.85305161
2018,PL from Russia,34.65502471
2019,PL from Russia,32.28178071
2020,PL from Russia,29.8399202
2000,PL from Norway,12.98500951
2001,PL from Norway,13.60340501
2002,PL from Norway,15.80671333
2003,PL from Norway,16.40025331
2004,PL from Norway,16.29085884
2005,PL from Norway,16.76016531
2006,PL from Norway,16.87588035
2007,PL from Norway,17.27129916
2008,PL from Norway,17.72635778
2009,PL from Norway,19.70579522
2010,PL from Norway,18.68234995
2011,PL from Norway,18.25652751
2012,PL from Norway,21.16888284
2013,PL from Norway,20.53462072
2014,PL from Norway,21.08797755
2015,PL from Norway,22.2314383
2016,PL from Norway,21.04584855
2017,PL from Norway,21.24688665
2018,PL from Norway,20.50161308
2019,PL from Norway,18.05304488
2020,PL from Norway,19.02326804
2000,PL from Rest of World,26.87911981
2001,PL from Rest of World,27.04142609
2002,PL from Rest of World,27.35998941
2003,PL from Rest of World,29.18019712
2004,PL from Rest of World,30.17614274
2005,PL from Rest of World,28.74123498
2006,PL from Rest of World,28.55182139
2007,PL from Rest of World,28.25014596
2008,PL from Rest of World,28.72343817
2009,PL from Rest of World,31.39281868
2010,PL from Rest of World,31.60815445
2011,PL from Rest of World,29.29294824
2012,PL from Rest of World,31.05151568
2013,PL from Rest of World,31.84589522
2014,PL from Rest of World,34.07759979
2015,PL from Rest of World,31.70745034
2016,PL from Rest of World,33.97083753
2017,PL from Rest of World,32.21729461
2018,PL from Rest of World,32.06294303
2019,PL from Rest of World,29.59858343
2020,PL from Rest of World,30.70450505
2000,LNG from Algeria,6.662339582
2001,LNG from Algeria,6.63151645
2002,LNG from Algeria,6.656794654
2003,LNG from Algeria,6.341849065
2004,LNG from Algeria,4.570484135
2005,LNG from Algeria,4.83626271
2006,LNG from Algeria,4.657906994
2007,LNG from Algeria,4.061150366
2008,LNG from Algeria,3.64891161
2009,LNG from Algeria,4.344089632
2010,LNG from Algeria,3.69777229
2011,LNG from Algeria,3.13822825
2012,LNG from Algeria,2.691944867
2013,LNG from Algeria,2.700143586
2014,LNG from Algeria,3.045667249
2015,LNG from Algeria,2.728323324
2016,LNG from Algeria,2.786998744
2017,LNG from Algeria,2.495369278
2018,LNG from Algeria,2.139520195
2019,LNG from Algeria,2.584383753
2020,LNG from Algeria,2.47565108
2000,LNG from Nigeria,1.469474101
2001,LNG from Nigeria,1.786984013
2002,LNG from Nigeria,1.93479888
2003,LNG from Nigeria,2.404681674
2004,LNG from Nigeria,2.647229092
2005,LNG from Nigeria,2.587716264
2006,LNG from Nigeria,3.078528664
2007,LNG from Nigeria,3.468734015
2008,LNG from Nigeria,2.988579812
2009,LNG from Nigeria,2.126829728
2010,LNG from Nigeria,3.047122588
2011,LNG from Nigeria,2.933408555
2012,LNG from Nigeria,2.283975548
2013,LNG from Nigeria,1.41716522
