date,bank,value
2007-01-03,Credit Suisse,68.47
2007-01-04,Credit Suisse,68.40
2007-01-05,Credit Suisse,67.16
2007-01-08,Credit Suisse,66.70
2007-01-09,Credit Suisse,66.19
2007-01-10,Credit Suisse,65.91
2007-01-11,Credit Suisse,66.26
2007-01-12,Credit Suisse,66.72
2007-01-16,Credit Suisse,67.19
2007-01-17,Credit Suisse,67.25
2007-01-18,Credit Suisse,67.06
2007-01-19,Credit Suisse,67.41
2007-01-22,Credit Suisse,67.35
2007-01-23,Credit Suisse,68.78
2007-01-24,Credit Suisse,69.29
2007-01-25,Credit Suisse,68.77
2007-01-26,Credit Suisse,68.23
2007-01-29,Credit Suisse,68.08
2007-01-30,Credit Suisse,69.02
2007-01-31,Credit Suisse,69.41
2007-02-01,Credit Suisse,69.67
2007-02-02,Credit Suisse,69.57
2007-02-05,Credit Suisse,68.95
2007-02-06,Credit Suisse,69.52
2007-02-07,Credit Suisse,70.05
2007-02-08,Credit Suisse,69.40
2007-02-09,Credit Suisse,68.67
2007-02-12,Credit Suisse,68.43
2007-02-13,Credit Suisse,69.41
2007-02-14,Credit Suisse,70.34
2007-02-15,Credit Suisse,72.72
2007-02-16,Credit Suisse,74.13
2007-02-20,Credit Suisse,74.01
2007-02-21,Credit Suisse,72.75
2007-02-22,Credit Suisse,72.85
2007-02-23,Credit Suisse,72.86
2007-02-26,Credit Suisse,71.74
2007-02-27,Credit Suisse,68.19
2007-02-28,Credit Suisse,67.64
2007-03-01,Credit Suisse,68.08
2007-03-02,Credit Suisse,66.90
2007-03-05,Credit Suisse,66.24
2007-03-06,Credit Suisse,67.89
2007-03-07,Credit Suisse,68.68
2007-03-08,Credit Suisse,69.69
2007-03-09,Credit Suisse,69.74
2007-03-12,Credit Suisse,69.90
2007-03-13,Credit Suisse,67.58
2007-03-14,Credit Suisse,67.29
2007-03-15,Credit Suisse,67.81
2007-03-16,Credit Suisse,67.84
2007-03-19,Credit Suisse,69.38
2007-03-20,Credit Suisse,70.07
2007-03-21,Credit Suisse,72.11
2007-03-22,Credit Suisse,72.22
2007-03-23,Credit Suisse,72.97
2007-03-26,Credit Suisse,72.29
2007-03-27,Credit Suisse,71.49
2007-03-28,Credit Suisse,70.13
2007-03-29,Credit Suisse,70.63
2007-03-30,Credit Suisse,70.15
2007-04-02,Credit Suisse,70.53
2007-04-03,Credit Suisse,70.91
2007-04-04,Credit Suisse,70.48
2007-04-05,Credit Suisse,70.61
2007-04-09,Credit Suisse,70.16
2007-04-10,Credit Suisse,71.27
2007-04-11,Credit Suisse,70.70
2007-04-12,Credit Suisse,71.39
2007-04-13,Credit Suisse,71.80
2007-04-16,Credit Suisse,73.54
2007-04-17,Credit Suisse,72.85
2007-04-18,Credit Suisse,73.25
2007-04-19,Credit Suisse,72.64
2007-04-20,Credit Suisse,74.44
2007-04-23,Credit Suisse,74.55
2007-04-24,Credit Suisse,75.16
2007-04-25,Credit Suisse,77.18
2007-04-26,Credit Suisse,76.77
2007-04-27,Credit Suisse,76.75
2007-04-30,Credit Suisse,76.66
2007-05-01,Credit Suisse,76.61
2007-05-02,Credit Suisse,76.94
2007-05-03,Credit Suisse,75.76
2007-05-04,Credit Suisse,76.32
2007-05-07,Credit Suisse,74.36
2007-05-08,Credit Suisse,74.08
2007-05-09,Credit Suisse,74.82
2007-05-10,Credit Suisse,73.08
2007-05-11,Credit Suisse,75.04
2007-05-14,Credit Suisse,74.53
2007-05-15,Credit Suisse,74.27
2007-05-16,Credit Suisse,74.33
2007-05-17,Credit Suisse,73.74
2007-05-18,Credit Suisse,74.01
2007-05-21,Credit Suisse,73.34
2007-05-22,Credit Suisse,73.41
2007-05-23,Credit Suisse,73.91
2007-05-24,Credit Suisse,72.83
2007-05-25,Credit Suisse,72.91
2007-05-29,Credit Suisse,72.85
2007-05-30,Credit Suisse,73.31
2007-05-31,Credit Suisse,74.15
2007-06-01,Credit Suisse,74.80
2007-06-04,Credit Suisse,74.84
2007-06-05,Credit Suisse,73.88
2007-06-06,Credit Suisse,72.91
2007-06-07,Credit Suisse,70.61
2007-06-08,Credit Suisse,70.53
2007-06-11,Credit Suisse,70.90
2007-06-12,Credit Suisse,69.45
2007-06-13,Credit Suisse,70.65
2007-06-14,Credit Suisse,71.63
2007-06-15,Credit Suisse,72.04
2007-06-18,Credit Suisse,72.00
2007-06-19,Credit Suisse,72.48
2007-06-20,Credit Suisse,72.30
2007-06-21,Credit Suisse,71.81
2007-06-22,Credit Suisse,69.87
2007-06-25,Credit Suisse,70.12
2007-06-26,Credit Suisse,69.31
2007-06-27,Credit Suisse,69.22
2007-06-28,Credit Suisse,68.93
2007-06-29,Credit Suisse,69.30
2007-07-02,Credit Suisse,70.49
2007-07-03,Credit Suisse,71.07
2007-07-05,Credit Suisse,70.64
2007-07-06,Credit Suisse,71.19
2007-07-09,Credit Suisse,71.45
2007-07-10,Credit Suisse,70.26
2007-07-11,Credit Suisse,70.97
2007-07-12,Credit Suisse,72.39
2007-07-13,Credit Suisse,72.27
2007-07-16,Credit Suisse,72.15
2007-07-17,Credit Suisse,72.03
2007-07-18,Credit Suisse,71.40
2007-07-19,Credit Suisse,70.27
2007-07-20,Credit Suisse,68.33
2007-07-23,Credit Suisse,68.46
2007-07-24,Credit Suisse,66.67
2007-07-25,Credit Suisse,65.60
2007-07-26,Credit Suisse,62.71
2007-07-27,Credit Suisse,62.60
2007-07-30,Credit Suisse,63.94
2007-07-31,Credit Suisse,63.03
2007-08-01,Credit Suisse,62.05
2007-08-02,Credit Suisse,65.17
2007-08-03,Credit Suisse,64.12
2007-08-06,Credit Suisse,66.84
2007-08-07,Credit Suisse,68.60
2007-08-08,Credit Suisse,69.73
2007-08-09,Credit Suisse,67.09
2007-08-10,Credit Suisse,66.16
2007-08-13,Credit Suisse,66.23
2007-08-14,Credit Suisse,64.14
2007-08-15,Credit Suisse,61.91
2007-08-16,Credit Suisse,63.77
2007-08-17,Credit Suisse,65.42
2007-08-20,Credit Suisse,64.26
2007-08-21,Credit Suisse,64.39
2007-08-22,Credit Suisse,65.03
2007-08-23,Credit Suisse,64.65
2007-08-24,Credit Suisse,65.63
2007-08-27,Credit Suisse,65.04
2007-08-28,Credit Suisse,62.97
2007-08-29,Credit Suisse,64.38
2007-08-30,Credit Suisse,63.13
2007-08-31,Credit Suisse,64.10
2007-09-04,Credit Suisse,65.77
2007-09-05,Credit Suisse,64.67
2007-09-06,Credit Suisse,64.45
2007-09-07,Credit Suisse,63.24
2007-09-10,Credit Suisse,62.87
2007-09-11,Credit Suisse,63.39
2007-09-12,Credit Suisse,63.43
2007-09-13,Credit Suisse,63.87
2007-09-14,Credit Suisse,62.90
2007-09-17,Credit Suisse,62.30
2007-09-18,Credit Suisse,64.81
2007-09-19,Credit Suisse,65.21
2007-09-20,Credit Suisse,65.55
2007-09-21,Credit Suisse,64.83
2007-09-24,Credit Suisse,64.40
2007-09-25,Credit Suisse,64.42
2007-09-26,Credit Suisse,63.99
2007-09-27,Credit Suisse,64.42
2007-09-28,Credit Suisse,64.78
2007-10-01,Credit Suisse,66.40
2007-10-02,Credit Suisse,67.36
2007-10-03,Credit Suisse,67.34
2007-10-04,Credit Suisse,67.80
2007-10-05,Credit Suisse,67.98
2007-10-08,Credit Suisse,67.33
2007-10-09,Credit Suisse,67.62
2007-10-10,Credit Suisse,67.58
2007-10-11,Credit Suisse,67.07
2007-10-12,Credit Suisse,67.27
2007-10-15,Credit Suisse,66.50
2007-10-16,Credit Suisse,65.63
2007-10-17,Credit Suisse,65.80
2007-10-18,Credit Suisse,66.21
2007-10-19,Credit Suisse,64.26
2007-10-22,Credit Suisse,64.35
2007-10-23,Credit Suisse,64.51
2007-10-24,Credit Suisse,64.27
2007-10-25,Credit Suisse,62.89
2007-10-26,Credit Suisse,64.60
2007-10-29,Credit Suisse,64.39
2007-10-30,Credit Suisse,64.84
2007-10-31,Credit Suisse,66.11
2007-11-01,Credit Suisse,62.79
2007-11-02,Credit Suisse,61.53
2007-11-05,Credit Suisse,60.30
2007-11-06,Credit Suisse,61.18
2007-11-07,Credit Suisse,58.84
2007-11-08,Credit Suisse,59.54
2007-11-09,Credit Suisse,58.15
2007-11-12,Credit Suisse,57.38
2007-11-13,Credit Suisse,60.25
2007-11-14,Credit Suisse,59.59
2007-11-15,Credit Suisse,58.84
2007-11-16,Credit Suisse,58.87
2007-11-19,Credit Suisse,56.96
2007-11-20,Credit Suisse,56.06
2007-11-21,Credit Suisse,55.26
2007-11-23,Credit Suisse,55.83
2007-11-26,Credit Suisse,54.62
2007-11-27,Credit Suisse,56.58
2007-11-28,Credit Suisse,59.10
2007-11-29,Credit Suisse,58.87
2007-11-30,Credit Suisse,58.91
2007-12-03,Credit Suisse,58.82
2007-12-04,Credit Suisse,58.45
2007-12-05,Credit Suisse,59.07
2007-12-06,Credit Suisse,60.21
2007-12-07,Credit Suisse,60.45
2007-12-10,Credit Suisse,62.14
2007-12-11,Credit Suisse,60.31
2007-12-12,Credit Suisse,61.42
2007-12-13,Credit Suisse,60.23
2007-12-14,Credit Suisse,58.56
2007-12-17,Credit Suisse,57.39
2007-12-18,Credit Suisse,57.39
2007-12-19,Credit Suisse,56.81
2007-12-20,Credit Suisse,57.27
2007-12-21,Credit Suisse,58.04
2007-12-24,Credit Suisse,58.39
2007-12-26,Credit Suisse,58.63
2007-12-27,Credit Suisse,58.20
2007-12-28,Credit Suisse,58.76
2007-12-31,Credit Suisse,58.69
2008-01-02,Credit Suisse,58.28
2008-01-03,Credit Suisse,58.36
2008-01-04,Credit Suisse,57.25
2008-01-07,Credit Suisse,56.00
2008-01-08,Credit Suisse,53.94
2008-01-09,Credit Suisse,55.63
2008-01-10,Credit Suisse,56.30
2008-01-11,Credit Suisse,55.66
2008-01-14,Credit Suisse,56.95
2008-01-15,Credit Suisse,55.47
2008-01-16,Credit Suisse,53.12
2008-01-17,Credit Suisse,51.07
2008-01-18,Credit Suisse,50.36
2008-01-22,Credit Suisse,49.37
2008-01-23,Credit Suisse,51.80
2008-01-24,Credit Suisse,53.96
2008-01-25,Credit Suisse,52.69
2008-01-28,Credit Suisse,54.12
2008-01-29,Credit Suisse,54.73
2008-01-30,Credit Suisse,55.63
2008-01-31,Credit Suisse,55.44
2008-02-01,Credit Suisse,56.96
2008-02-04,Credit Suisse,54.92
2008-02-05,Credit Suisse,51.56
2008-02-06,Credit Suisse,50.59
2008-02-07,Credit Suisse,50.96
2008-02-08,Credit Suisse,50.51
2008-02-11,Credit Suisse,49.64
2008-02-12,Credit Suisse,50.35
2008-02-13,Credit Suisse,50.95
2008-02-14,Credit Suisse,49.61
2008-02-15,Credit Suisse,49.69
2008-02-19,Credit Suisse,47.09
2008-02-20,Credit Suisse,48.13
2008-02-21,Credit Suisse,46.60
2008-02-22,Credit Suisse,47.32
2008-02-25,Credit Suisse,48.12
2008-02-26,Credit Suisse,49.36
2008-02-27,Credit Suisse,49.90
2008-02-28,Credit Suisse,49.63
2008-02-29,Credit Suisse,47.77
2008-03-03,Credit Suisse,48.39
2008-03-04,Credit Suisse,48.18
2008-03-05,Credit Suisse,47.54
2008-03-06,Credit Suisse,46.60
2008-03-07,Credit Suisse,46.72
2008-03-10,Credit Suisse,45.46
2008-03-11,Credit Suisse,48.95
2008-03-12,Credit Suisse,49.99
2008-03-13,Credit Suisse,49.66
2008-03-14,Credit Suisse,47.65
2008-03-17,Credit Suisse,45.14
2008-03-18,Credit Suisse,50.41
2008-03-19,Credit Suisse,48.68
2008-03-20,Credit Suisse,48.32
2008-03-24,Credit Suisse,49.63
2008-03-25,Credit Suisse,50.07
2008-03-26,Credit Suisse,49.70
2008-03-27,Credit Suisse,49.12
2008-03-28,Credit Suisse,48.92
2008-03-31,Credit Suisse,49.69
2008-04-01,Credit Suisse,53.75
2008-04-02,Credit Suisse,55.22
2008-04-03,Credit Suisse,54.76
2008-04-04,Credit Suisse,54.72
2008-04-07,Credit Suisse,55.69
2008-04-08,Credit Suisse,55.26
2008-04-09,Credit Suisse,53.65
2008-04-10,Credit Suisse,52.57
2008-04-11,Credit Suisse,52.39
2008-04-14,Credit Suisse,50.69
2008-04-15,Credit Suisse,50.89
2008-04-16,Credit Suisse,52.17
2008-04-17,Credit Suisse,51.67
2008-04-18,Credit Suisse,52.20
2008-04-21,Credit Suisse,52.50
2008-04-22,Credit Suisse,51.62
2008-04-23,Credit Suisse,50.40
2008-04-24,Credit Suisse,52.79
2008-04-25,Credit Suisse,53.62
2008-04-28,Credit Suisse,54.60
2008-04-29,Credit Suisse,51.65
2008-04-30,Credit Suisse,52.10
2008-05-01,Credit Suisse,53.82
2008-05-02,Credit Suisse,54.19
2008-05-05,Credit Suisse,53.97
2008-05-06,Credit Suisse,53.28
2008-05-07,Credit Suisse,52.47
2008-05-08,Credit Suisse,52.86
2008-05-09,Credit Suisse,52.90
2008-05-12,Credit Suisse,53.23
2008-05-13,Credit Suisse,52.94
2008-05-14,Credit Suisse,52.51
2008-05-15,Credit Suisse,53.56
2008-05-16,Credit Suisse,53.05
2008-05-19,Credit Suisse,52.53
2008-05-20,Credit Suisse,52.35
2008-05-21,Credit Suisse,50.88
2008-05-22,Credit Suisse,50.98
2008-05-23,Credit Suisse,51.06
2008-05-27,Credit Suisse,49.78
2008-05-28,Credit Suisse,49.96
2008-05-29,Credit Suisse,49.52
2008-05-30,Credit Suisse,49.70
2008-06-02,Credit Suisse,49.14
2008-06-03,Credit Suisse,48.05
2008-06-04,Credit Suisse,47.88
2008-06-05,Credit Suisse,49.39
2008-06-06,Credit Suisse,47.84
2008-06-09,Credit Suisse,46.74
2008-06-10,Credit Suisse,45.88
2008-06-11,Credit Suisse,45.53
2008-06-12,Credit Suisse,45.54
2008-06-13,Credit Suisse,47.15
2008-06-16,Credit Suisse,46.87
2008-06-17,Credit Suisse,47.06
2008-06-18,Credit Suisse,46.72
2008-06-19,Credit Suisse,45.90
2008-06-20,Credit Suisse,44.76
2008-06-23,Credit Suisse,43.77
2008-06-24,Credit Suisse,44.18
2008-06-25,Credit Suisse,45.56
2008-06-26,Credit Suisse,44.19
2008-06-27,Credit Suisse,44.12
2008-06-30,Credit Suisse,44.25
2008-07-01,Credit Suisse,43.57
2008-07-02,Credit Suisse,42.35
2008-07-03,Credit Suisse,43.09
2008-07-07,Credit Suisse,40.68
2008-07-08,Credit Suisse,41.32
2008-07-09,Credit Suisse,39.89
2008-07-10,Credit Suisse,41.00
2008-07-11,Credit Suisse,40.34
2008-07-14,Credit Suisse,39.18
2008-07-15,Credit Suisse,38.20
2008-07-16,Credit Suisse,41.04
2008-07-17,Credit Suisse,42.67
2008-07-18,Credit Suisse,43.39
2008-07-21,Credit Suisse,43.78
2008-07-22,Credit Suisse,45.98
2008-07-23,Credit Suisse,46.85
2008-07-24,Credit Suisse,47.96
2008-07-25,Credit Suisse,47.71
2008-07-28,Credit Suisse,45.56
2008-07-29,Credit Suisse,48.98
2008-07-30,Credit Suisse,49.84
2008-07-31,Credit Suisse,48.71
2008-08-01,Credit Suisse,48.87
2008-08-04,Credit Suisse,48.68
2008-08-05,Credit Suisse,51.75
2008-08-06,Credit Suisse,51.39
2008-08-07,Credit Suisse,49.59
2008-08-08,Credit Suisse,50.38
2008-08-11,Credit Suisse,50.00
2008-08-12,Credit Suisse,48.34
2008-08-13,Credit Suisse,46.88
2008-08-14,Credit Suisse,45.90
2008-08-15,Credit Suisse,45.84
2008-08-18,Credit Suisse,44.78
2008-08-19,Credit Suisse,44.39
2008-08-20,Credit Suisse,44.44
2008-08-21,Credit Suisse,44.13
2008-08-22,Credit Suisse,44.95
2008-08-25,Credit Suisse,44.02
2008-08-26,Credit Suisse,43.78
2008-08-27,Credit Suisse,43.86
2008-08-28,Credit Suisse,45.61
2008-08-29,Credit Suisse,45.29
2008-09-02,Credit Suisse,45.78
2008-09-03,Credit Suisse,46.18
2008-09-04,Credit Suisse,43.88
2008-09-05,Credit Suisse,44.60
2008-09-08,Credit Suisse,46.58
2008-09-09,Credit Suisse,44.74
2008-09-10,Credit Suisse,44.69
2008-09-11,Credit Suisse,44.73
2008-09-12,Credit Suisse,45.30
2008-09-15,Credit Suisse,41.76
2008-09-16,Credit Suisse,42.83
2008-09-17,Credit Suisse,38.75
2008-09-18,Credit Suisse,47.14
2008-09-19,Credit Suisse,48.99
2008-09-22,Credit Suisse,50.10
2008-09-23,Credit Suisse,47.78
2008-09-24,Credit Suisse,49.53
2008-09-25,Credit Suisse,50.71
2008-09-26,Credit Suisse,50.93
2008-09-29,Credit Suisse,43.81
2008-09-30,Credit Suisse,47.15
2008-10-01,Credit Suisse,48.83
2008-10-02,Credit Suisse,45.02
2008-10-03,Credit Suisse,45.90
2008-10-06,Credit Suisse,45.24
2008-10-07,Credit Suisse,40.01
2008-10-08,Credit Suisse,41.80
2008-10-09,Credit Suisse,33.06
2008-10-10,Credit Suisse,31.25
2008-10-13,Credit Suisse,38.57
2008-10-14,Credit Suisse,42.56
2008-10-15,Credit Suisse,36.71
2008-10-16,Credit Suisse,41.50
2008-10-17,Credit Suisse,42.38
2008-10-20,Credit Suisse,43.80
2008-10-21,Credit Suisse,40.40
2008-10-22,Credit Suisse,36.49
2008-10-23,Credit Suisse,37.29
2008-10-24,Credit Suisse,35.98
2008-10-27,Credit Suisse,31.35
2008-10-28,Credit Suisse,32.90
2008-10-29,Credit Suisse,32.76
2008-10-30,Credit Suisse,35.93
2008-10-31,Credit Suisse,36.52
2008-11-03,Credit Suisse,36.04
2008-11-04,Credit Suisse,37.03
2008-11-05,Credit Suisse,32.71
2008-11-06,Credit Suisse,31.01
2008-11-07,Credit Suisse,32.66
2008-11-10,Credit Suisse,31.01
2008-11-11,Credit Suisse,29.39
2008-11-12,Credit Suisse,25.49
2008-11-13,Credit Suisse,27.71
2008-11-14,Credit Suisse,26.32
2008-11-17,Credit Suisse,24.67
2008-11-18,Credit Suisse,24.95
2008-11-19,Credit Suisse,21.02
2008-11-20,Credit Suisse,18.56
2008-11-21,Credit Suisse,20.51
2008-11-24,Credit Suisse,23.36
2008-11-25,Credit Suisse,26.24
2008-11-26,Credit Suisse,26.47
2008-11-28,Credit Suisse,28.92
2008-12-01,Credit Suisse,24.08
2008-12-02,Credit Suisse,24.88
2008-12-03,Credit Suisse,22.90
2008-12-04,Credit Suisse,24.18
2008-12-05,Credit Suisse,24.21
2008-12-08,Credit Suisse,27.45
2008-12-09,Credit Suisse,26.22
2008-12-10,Credit Suisse,26.64
2008-12-11,Credit Suisse,25.80
2008-12-12,Credit Suisse,24.84
2008-12-15,Credit Suisse,23.71
2008-12-16,Credit Suisse,26.37
2008-12-17,Credit Suisse,26.61
2008-12-18,Credit Suisse,26.78
2008-12-19,Credit Suisse,25.79
2008-12-22,Credit Suisse,24.43
2008-12-23,Credit Suisse,24.67
2008-12-24,Credit Suisse,25.09
2008-12-26,Credit Suisse,25.87
2008-12-29,Credit Suisse,26.09
2008-12-30,Credit Suisse,26.88
2008-12-31,Credit Suisse,27.60
2009-01-02,Credit Suisse,27.67
2009-01-05,Credit Suisse,28.80
2009-01-06,Credit Suisse,28.44
2009-01-07,Credit Suisse,27.30
2009-01-08,Credit Suisse,26.94
2009-01-09,Credit Suisse,26.15
2009-01-12,Credit Suisse,25.71
2009-01-13,Credit Suisse,24.61
2009-01-14,Credit Suisse,22.41
2009-01-15,Credit Suisse,23.24
2009-01-16,Credit Suisse,23.66
2009-01-20,Credit Suisse,19.30
2009-01-21,Credit Suisse,21.58
2009-01-22,Credit Suisse,22.42
2009-01-23,Credit Suisse,23.29
2009-01-26,Credit Suisse,24.44
2009-01-27,Credit Suisse,25.06
2009-01-28,Credit Suisse,28.11
2009-01-29,Credit Suisse,25.92
2009-01-30,Credit Suisse,24.89
2009-02-02,Credit Suisse,25.26
2009-02-03,Credit Suisse,25.49
2009-02-04,Credit Suisse,26.57
2009-02-05,Credit Suisse,26.79
2009-02-06,Credit Suisse,28.19
2009-02-09,Credit Suisse,25.80
2009-02-10,Credit Suisse,25.37
2009-02-11,Credit Suisse,26.30
2009-02-12,Credit Suisse,27.08
2009-02-13,Credit Suisse,27.16
2009-02-17,Credit Suisse,23.76
2009-02-18,Credit Suisse,24.03
2009-02-19,Credit Suisse,23.50
2009-02-20,Credit Suisse,23.46
2009-02-23,Credit Suisse,21.04
2009-02-24,Credit Suisse,22.73
2009-02-25,Credit Suisse,21.27
2009-02-26,Credit Suisse,23.11
2009-02-27,Credit Suisse,23.59
2009-03-02,Credit Suisse,21.75
2009-03-03,Credit Suisse,21.24
2009-03-04,Credit Suisse,21.95
2009-03-05,Credit Suisse,20.21
2009-03-06,Credit Suisse,19.64
2009-03-09,Credit Suisse,18.59
2009-03-10,Credit Suisse,21.29
2009-03-11,Credit Suisse,23.25
2009-03-12,Credit Suisse,24.70
2009-03-13,Credit Suisse,25.49
2009-03-16,Credit Suisse,25.52
2009-03-17,Credit Suisse,27.53
2009-03-18,Credit Suisse,29.87
2009-03-19,Credit Suisse,28.03
2009-03-20,Credit Suisse,29.19
2009-03-23,Credit Suisse,33.21
2009-03-24,Credit Suisse,29.98
2009-03-25,Credit Suisse,31.41
2009-03-26,Credit Suisse,31.32
2009-03-27,Credit Suisse,28.39
2009-03-30,Credit Suisse,26.88
2009-03-31,Credit Suisse,29.78
2009-04-01,Credit Suisse,31.57
2009-04-02,Credit Suisse,33.20
2009-04-03,Credit Suisse,32.96
2009-04-06,Credit Suisse,30.70
2009-04-07,Credit Suisse,29.48
2009-04-08,Credit Suisse,30.64
2009-04-09,Credit Suisse,32.84
2009-04-13,Credit Suisse,33.97
2009-04-14,Credit Suisse,31.69
2009-04-15,Credit Suisse,32.91
2009-04-16,Credit Suisse,35.09
2009-04-17,Credit Suisse,33.30
2009-04-20,Credit Suisse,30.36
2009-04-21,Credit Suisse,33.19
2009-04-22,Credit Suisse,32.23
2009-04-23,Credit Suisse,37.59
2009-04-24,Credit Suisse,37.46
2009-04-27,Credit Suisse,36.31
2009-04-28,Credit Suisse,36.38
2009-04-29,Credit Suisse,37.79
2009-04-30,Credit Suisse,37.38
2009-05-01,Credit Suisse,37.74
2009-05-04,Credit Suisse,39.86
2009-05-05,Credit Suisse,38.37
2009-05-06,Credit Suisse,38.39
2009-05-07,Credit Suisse,36.71
2009-05-08,Credit Suisse,40.55
2009-05-11,Credit Suisse,40.10
2009-05-12,Credit Suisse,39.65
2009-05-13,Credit Suisse,36.91
2009-05-14,Credit Suisse,39.31
2009-05-15,Credit Suisse,38.11
2009-05-18,Credit Suisse,41.15
2009-05-19,Credit Suisse,41.21
2009-05-20,Credit Suisse,40.87
2009-05-21,Credit Suisse,40.83
2009-05-22,Credit Suisse,41.01
2009-05-26,Credit Suisse,42.64
2009-05-27,Credit Suisse,41.61
2009-05-28,Credit Suisse,42.57
2009-05-29,Credit Suisse,43.78
2009-06-01,Credit Suisse,44.54
2009-06-02,Credit Suisse,45.14
2009-06-03,Credit Suisse,43.56
2009-06-04,Credit Suisse,45.59
2009-06-05,Credit Suisse,44.60
2009-06-08,Credit Suisse,44.03
2009-06-09,Credit Suisse,45.21
2009-06-10,Credit Suisse,44.91
2009-06-11,Credit Suisse,45.89
2009-06-12,Credit Suisse,45.50
2009-06-15,Credit Suisse,42.81
2009-06-16,Credit Suisse,42.53
2009-06-17,Credit Suisse,41.69
2009-06-18,Credit Suisse,43.74
2009-06-19,Credit Suisse,43.67
2009-06-22,Credit Suisse,40.96
2009-06-23,Credit Suisse,41.99
2009-06-24,Credit Suisse,42.45
2009-06-25,Credit Suisse,42.49
2009-06-26,Credit Suisse,43.81
2009-06-29,Credit Suisse,44.58
2009-06-30,Credit Suisse,44.66
2009-07-01,Credit Suisse,44.63
2009-07-02,Credit Suisse,42.73
2009-07-06,Credit Suisse,43.19
2009-07-07,Credit Suisse,42.02
2009-07-08,Credit Suisse,41.97
2009-07-09,Credit Suisse,43.43
2009-07-10,Credit Suisse,42.97
2009-07-13,Credit Suisse,44.78
2009-07-14,Credit Suisse,44.27
2009-07-15,Credit Suisse,46.34
2009-07-16,Credit Suisse,46.55
2009-07-17,Credit Suisse,45.89
2009-07-20,Credit Suisse,47.21
2009-07-21,Credit Suisse,45.66
2009-07-22,Credit Suisse,45.12
2009-07-23,Credit Suisse,46.85
2009-07-24,Credit Suisse,47.20
2009-07-27,Credit Suisse,45.92
2009-07-28,Credit Suisse,44.33
2009-07-29,Credit Suisse,43.91
2009-07-30,Credit Suisse,44.68
2009-07-31,Credit Suisse,46.26
2009-08-03,Credit Suisse,47.72
2009-08-04,Credit Suisse,49.03
2009-08-05,Credit Suisse,48.80
2009-08-06,Credit Suisse,48.47
2009-08-07,Credit Suisse,47.96
2009-08-10,Credit Suisse,46.88
2009-08-11,Credit Suisse,46.57
2009-08-12,Credit Suisse,47.73
2009-08-13,Credit Suisse,49.61
2009-08-14,Credit Suisse,48.93
2009-08-17,Credit Suisse,46.25
2009-08-18,Credit Suisse,48.31
2009-08-19,Credit Suisse,48.20
2009-08-20,Credit Suisse,48.73
2009-08-21,Credit Suisse,49.96
2009-08-24,Credit Suisse,50.41
2009-08-25,Credit Suisse,50.76
2009-08-26,Credit Suisse,49.58
2009-08-27,Credit Suisse,50.32
2009-08-28,Credit Suisse,50.16
2009-08-31,Credit Suisse,49.70
2009-09-01,Credit Suisse,46.82
2009-09-02,Credit Suisse,46.60
2009-09-03,Credit Suisse,47.71
2009-09-04,Credit Suisse,48.80
2009-09-08,Credit Suisse,50.10
2009-09-09,Credit Suisse,50.53
2009-09-10,Credit Suisse,51.94
2009-09-11,Credit Suisse,52.36
2009-09-14,Credit Suisse,53.80
2009-09-15,Credit Suisse,52.93
2009-09-16,Credit Suisse,54.75
2009-09-17,Credit Suisse,54.52
2009-09-18,Credit Suisse,54.05
2009-09-21,Credit Suisse,53.15
2009-09-22,Credit Suisse,55.53
2009-09-23,Credit Suisse,55.25
2009-09-24,Credit Suisse,54.27
2009-09-25,Credit Suisse,53.66
2009-09-28,Credit Suisse,54.44
2009-09-29,Credit Suisse,53.96
2009-09-30,Credit Suisse,54.35
2009-10-01,Credit Suisse,53.20
2009-10-02,Credit Suisse,52.88
2009-10-05,Credit Suisse,53.69
2009-10-06,Credit Suisse,55.22
2009-10-07,Credit Suisse,55.95
2009-10-08,Credit Suisse,55.92
2009-10-09,Credit Suisse,55.87
2009-10-12,Credit Suisse,56.08
2009-10-13,Credit Suisse,55.65
2009-10-14,Credit Suisse,58.44
2009-10-15,Credit Suisse,57.46
2009-10-16,Credit Suisse,57.14
2009-10-19,Credit Suisse,58.15
2009-10-20,Credit Suisse,57.32
2009-10-21,Credit Suisse,57.28
2009-10-22,Credit Suisse,56.98
2009-10-23,Credit Suisse,54.69
2009-10-26,Credit Suisse,52.43
2009-10-27,Credit Suisse,53.02
2009-10-28,Credit Suisse,50.99
2009-10-29,Credit Suisse,54.64
2009-10-30,Credit Suisse,52.05
2009-11-02,Credit Suisse,52.91
2009-11-03,Credit Suisse,52.70
2009-11-04,Credit Suisse,52.23
2009-11-05,Credit Suisse,52.92
2009-11-06,Credit Suisse,54.38
2009-11-09,Credit Suisse,57.25
2009-11-10,Credit Suisse,55.45
2009-11-11,Credit Suisse,54.79
2009-11-12,Credit Suisse,53.98
2009-11-13,Credit Suisse,54.65
2009-11-16,Credit Suisse,55.49
2009-11-17,Credit Suisse,54.48
2009-11-18,Credit Suisse,53.65
2009-11-19,Credit Suisse,52.15
2009-11-20,Credit Suisse,51.98
2009-11-23,Credit Suisse,53.97
2009-11-24,Credit Suisse,53.50
2009-11-25,Credit Suisse,53.12
2009-11-27,Credit Suisse,51.03
2009-11-30,Credit Suisse,51.18
2009-12-01,Credit Suisse,52.27
2009-12-02,Credit Suisse,50.97
