date,country,value
2012,UK,9.39
2013,UK,16.15
2014,UK,11.27
2015,UK,11.56
2016,UK,11.51
2017,UK,8.62
2018,UK,8.66
2019,UK,11.18
2020,UK,11.34
2012,United States,12.75
2013,United States,12.83
2014,United States,12.96
2015,United States,13.91
2016,United States,13.94
2017,United States,13.42
2018,United States,13.46
2019,United States,12.07
2020,United States,13.81
2012,Japan,5.91
2013,Japan,6.2
2014,Japan,9.81
2015,Japan,7.54
2016,Japan,9.83
2017,Japan,8.3
2018,Japan,8.01
2019,Japan,8.84
2020,Japan,7.57
2012,Germany,9.79
2013,Germany,12.71
2014,Germany,9.3
2015,Germany,10.58
2016,Germany,9.91
2017,Germany,9.05
2018,Germany,12.49
2019,Germany,11.73
2020,Germany,9.98
2012,France,15.32
2013,France,12.21
2014,France,11.39
2015,France,11.36
2016,France,13.21
2017,France,9.93
2018,France,17.03
2019,France,15.35
2020,France,12.55
2012,Canada,9.68
2013,Canada,10.59
2014,Canada,11.35
2015,Canada,11.63
2016,Canada,11.62
2017,Canada,7.06
2018,Canada,11.86
2019,Canada,13.59
2020,Canada,15.25
2012,Italy,21.47
2013,Italy,11.23
2014,Italy,20.49
2015,Italy,18.98
2016,Italy,19.69
2017,Italy,22.74
2018,Italy,29.53
2019,Italy,21.5
2020,Italy,16.59
