type,period,value
RFCT capital allowances,2016-17,1500.00
SC allowances,2016-17,95
Decomissioning relief,2016-17,830
Tax Contributions,2016-17,-31
RFCT capital allowances,2017-18,1500.00
SC allowances,2017-18,120
Decomissioning relief,2017-18,870
Tax Contributions,2017-18,1225
RFCT capital allowances,2018-19,1300.00
SC allowances,2018-19,250
Decomissioning relief,2018-19,870
Tax Contributions,2018-19,1123
RFCT capital allowances,2019-20,1400.00
SC allowances,2019-20,220
Decomissioning relief,2019-20,760
Tax Contributions,2019-20,575
RFCT capital allowances,2020-21,750
SC allowances,2020-21,130
Decomissioning relief,2020-21,730
Tax Contributions,2020-21,450
