region,value
West Midlands,0.36
North West,0.37
East Anglia,0.38
Yorkshire,0.39
London,0.39
East Midlands,0.40
Scotland,0.41
Northern Ireland,0.41
Wales,0.42
North East,0.43
South East,0.43
South West,0.44
,
