date,type,value
1997,All,27.5
1998,All,27.3
1999,All,26.9
2000,All,26.7
2001,All,26.3
2002,All,26.9
2003,All,25.1
2004,All,24.7
2005,All,22.6
2006,All,22.2
2007,All,21.9
2008,All,22.5
2009,All,22
2010,All,19.8
2011,All,20.2
2012,All,19.6
2013,All,19.8
2014,All,19.2
2015,All,19.3
2016,All,18.2
2017,All,18.4
2018,All,17.8
2019,All,17.4
2020,All,14.9
2021,All,15.4
1997,Full-time,17.4
1998,Full-time,17.4
1999,Full-time,16.4
2000,Full-time,16.3
2001,Full-time,16.4
2002,Full-time,15.5
2003,Full-time,14.6
2004,Full-time,14.5
2005,Full-time,13
2006,Full-time,12.8
2007,Full-time,12.5
2008,Full-time,12.6
2009,Full-time,12.2
2010,Full-time,10.1
2011,Full-time,10.5
2012,Full-time,9.5
2013,Full-time,10
2014,Full-time,9.6
2015,Full-time,9.6
2016,Full-time,9.4
2017,Full-time,9.1
2018,Full-time,8.6
2019,Full-time,9
2020,Full-time,7
2021,Full-time,7.9
1997,Part-time,0.6
1998,Part-time,-4
1999,Part-time,-2.6
2000,Part-time,-3.5
2001,Part-time,-3.7
2002,Part-time,-0.6
2003,Part-time,-1.3
2004,Part-time,-2.6
2005,Part-time,-3
2006,Part-time,-2.2
2007,Part-time,-2.2
2008,Part-time,-3.7
2009,Part-time,-2.5
2010,Part-time,-4.3
2011,Part-time,-5.1
2012,Part-time,-5.5
2013,Part-time,-5.9
2014,Part-time,-5.5
2015,Part-time,-6.8
2016,Part-time,-6.1
2017,Part-time,-5.3
2018,Part-time,-4.9
2019,Part-time,-3.5
2020,Part-time,-3.5
2021,Part-time,-2.7
