Date,Type of work,Value,Average
2020-09-04,Professional services,0.935251799,1.283
2020-09-05,Professional services,1.949640288,1.372
2020-09-06,Professional services,0.90647482,1.274
2020-09-07,Professional services,1.035971223,1.303
2020-09-08,Professional services,1.201438849,1.307
2020-09-09,Professional services,1.417266187,1.313
2020-09-10,Professional services,1.532374101,1.286
2020-09-11,Professional services,1.561151079,1.258
2020-09-12,Professional services,1.26618705,1.250
2020-09-13,Professional services,1.107913669,1.305
2020-09-14,Professional services,1.064748201,1.286
2020-09-15,Professional services,1.244604317,1.291
2020-09-16,Professional services,1.223021583,1.307
2020-09-17,Professional services,1.338129496,1.329
2020-09-18,Professional services,1.503597122,1.335
2020-09-19,Professional services,1.654676259,1.332
2020-09-20,Professional services,0.971223022,1.280
2020-09-21,Professional services,1.100719424,1.307
2020-09-22,Professional services,1.35971223,1.295
2020-09-23,Professional services,1.374100719,1.290
2020-09-24,Professional services,1.381294964,1.283
2020-09-25,Professional services,1.482014388,1.259
2020-09-26,Professional services,1.287769784,1.255
2020-09-27,Professional services,1.165467626,1.268
2020-09-28,Professional services,1.014388489,1.274
2020-09-29,Professional services,1.323741007,1.276
2020-09-30,Professional services,1.323741007,1.274
2020-10-01,Professional services,1.215827338,1.262
2020-10-02,Professional services,1.45323741,1.269
2020-10-03,Professional services,1.381294964,1.272
2020-10-04,Professional services,1.208633094,1.268
2020-10-05,Professional services,1.028776978,1.229
2020-10-06,Professional services,1.309352518,1.236
2020-10-07,Professional services,1.237410072,1.183
2020-10-08,Professional services,1.26618705,1.211
2020-10-09,Professional services,1.474820144,1.226
2020-10-10,Professional services,1.352517986,1.213
2020-10-11,Professional services,0.935251799,1.215
2020-10-12,Professional services,1.079136691,1.261
2020-10-13,Professional services,0.935251799,1.256
2020-10-14,Professional services,1.431654676,1.336
2020-10-15,Professional services,1.374100719,1.313
2020-10-16,Professional services,1.381294964,1.327
2020-10-17,Professional services,1.366906475,1.365
2020-10-18,Professional services,1.258992806,1.387
2020-10-19,Professional services,1.043165468,1.452
2020-10-20,Professional services,1.496402878,1.581
2020-10-21,Professional services,1.273381295,1.743
2020-10-22,Professional services,1.467625899,1.886
2020-10-23,Professional services,1.647482014,2.011
2020-10-24,Professional services,1.525179856,2.155
2020-10-25,Professional services,1.712230216,2.182
2020-10-26,Professional services,1.942446043,2.362
2020-10-27,Professional services,2.633093525,2.338
2020-10-28,Professional services,2.273381295,2.240
2020-10-29,Professional services,2.345323741,2.257
2020-10-30,Professional services,2.654676259,2.215
2020-10-31,Professional services,1.712230216,2.133
2020-11-01,Professional services,2.971223022,2.170
2020-11-02,Professional services,1.776978417,2.005
2020-11-03,Professional services,1.949640288,2.008
2020-11-04,Professional services,2.388489209,2.068
2020-11-05,Professional services,2.050359712,2.018
2020-11-06,Professional services,2.079136691,2.091
2020-11-07,Professional services,1.971223022,2.079
2020-11-08,Professional services,1.820143885,2.127
2020-11-09,Professional services,1.798561151,2.144
2020-11-10,Professional services,2.366906475,2.128
2020-11-11,Professional services,2.043165468,2.083
2020-11-12,Professional services,2.561151079,2.065
2020-11-13,Professional services,1.992805755,2.036
2020-11-14,Professional services,2.309352518,2.081
2020-11-15,Professional services,1.935251799,2.088
2020-11-16,Professional services,1.690647482,2.054
2020-11-17,Professional services,2.050359712,2.086
2020-11-18,Professional services,1.913669065,2.099
2020-11-19,Professional services,2.35971223,2.132
2020-11-20,Professional services,2.309352518,2.103
2020-11-21,Professional services,2.35971223,2.092
2020-11-22,Professional services,1.697841727,2.048
2020-11-23,Professional services,1.913669065,2.083
2020-11-24,Professional services,2.136690647,2.042
2020-11-25,Professional services,2.143884892,2.080
2020-11-26,Professional services,2.158273381,2.073
2020-11-27,Professional services,2.237410072,2.079
2020-11-28,Professional services,2.050359712,2.070
2020-11-29,Professional services,1.942446043,2.067
2020-11-30,Professional services,1.625899281,2.024
2020-12-01,Professional services,2.402877698,2.058
2020-12-02,Professional services,2.09352518,1.994
2020-12-03,Professional services,2.201438849,2.007
2020-12-04,Professional services,2.172661871,2.058
2020-12-05,Professional services,2.028776978,2.108
2020-12-06,Professional services,1.64028777,2.121
2020-12-07,Professional services,1.863309353,2.162
2020-12-08,Professional services,1.956834532,2.127
2020-12-09,Professional services,2.18705036,2.146
2020-12-10,Professional services,2.553956835,2.143
2020-12-11,Professional services,2.525179856,2.124
2020-12-12,Professional services,2.122302158,2.143
2020-12-13,Professional services,1.928057554,2.137
2020-12-14,Professional services,1.618705036,2.076
2020-12-15,Professional services,2.086330935,2.076
2020-12-16,Professional services,2.165467626,2.067
2020-12-17,Professional services,2.424460432,2.063
2020-12-18,Professional services,2.654676259,2.004
2020-12-19,Professional services,2.079136691,1.916
2020-12-20,Professional services,1.503597122,1.853
2020-12-21,Professional services,1.618705036,1.814
2020-12-22,Professional services,2.021582734,1.782
2020-12-23,Professional services,2.136690647,1.804
2020-12-24,Professional services,2.014388489,1.824
2020-12-25,Professional services,2.035971223,1.793
2020-12-26,Professional services,1.64028777,1.735
2020-12-27,Professional services,1.230215827,1.701
2020-12-28,Professional services,1.395683453,1.781
2020-12-29,Professional services,2.172661871,1.822
2020-12-30,Professional services,2.28057554,1.857
2020-12-31,Professional services,1.798561151,1.887
2021-01-01,Professional services,1.625899281,1.923
2021-01-02,Professional services,1.402877698,2.084
2021-01-03,Professional services,1.791366906,2.232
2021-01-04,Professional services,1.683453237,2.263
2021-01-05,Professional services,2.417266187,2.283
2021-01-06,Professional services,2.489208633,2.312
2021-01-07,Professional services,2.050359712,2.354
2021-01-08,Professional services,2.755395683,2.378
2021-01-09,Professional services,2.438848921,2.329
2021-01-10,Professional services,2.007194245,2.256
2021-01-11,Professional services,1.820143885,2.237
2021-01-12,Professional services,2.625899281,2.380
2021-01-13,Professional services,2.776978417,2.390
2021-01-15,Professional services,2.223021583,2.328
2021-01-16,Professional services,2.410071942,2.413
2021-01-17,Professional services,1.928057554,2.465
2021-01-18,Professional services,1.877697842,2.452
2021-01-19,Professional services,2.820143885,2.455
2021-01-20,Professional services,2.690647482,2.381
2021-01-21,Professional services,2.348920863,2.375
2021-01-22,Professional services,2.81294964,2.340
2021-01-23,Professional services,2.776978417,2.349
2021-01-24,Professional services,1.834532374,2.359
2021-01-25,Professional services,1.899280576,2.379
2021-01-26,Professional services,2.305755396,2.390
2021-01-27,Professional services,2.647482014,2.405
2021-01-28,Professional services,2.102517986,2.455
2021-01-29,Professional services,2.877697842,2.468
2021-01-30,Professional services,2.848920863,2.442
2021-01-31,Professional services,1.971223022,2.443
2021-02-01,Professional services,1.978417266,2.458
2021-02-02,Professional services,2.410071942,2.459
2021-02-03,Professional services,2.992805755,2.467
2021-02-04,Professional services,2.194244604,2.329
2021-02-05,Professional services,2.701438849,2.333
2021-02-06,Professional services,2.856115108,2.268
2021-02-07,Professional services,2.071942446,2.259
2021-02-08,Professional services,1.985611511,2.267
2021-02-09,Professional services,2.464028777,2.273
2021-02-10,Professional services,2.028776978,2.327
2021-02-11,Professional services,2.224820144,2.335
2021-02-12,Professional services,2.246402878,2.365
2021-02-13,Professional services,2.791366906,2.395
2021-02-14,Professional services,2.129496403,2.139
2021-02-15,Professional services,2.028776978,1.957
2021-02-16,Professional services,2.841726619,1.855
2021-02-17,Professional services,2.079136691,1.647
2021-02-18,Professional services,2.435251799,1.506
2021-02-19,Professional services,2.460431655,1.311
2020-01-01,Sales and marketing,1,1.167
2020-01-02,Sales and marketing,0.854356307,1.247
2020-01-03,Sales and marketing,1.310793238,1.364
2020-01-04,Sales and marketing,1.386215865,1.406
2020-01-05,Sales and marketing,1.097529259,1.419
2020-01-06,Sales and marketing,1.067620286,1.417
2020-01-07,Sales and marketing,1.44993498,1.428
2020-01-08,Sales and marketing,1.561768531,1.456
2020-01-09,Sales and marketing,1.677503251,1.494
2020-01-10,Sales and marketing,1.603381014,1.503
2020-01-11,Sales and marketing,1.478543563,1.530
2020-01-12,Sales and marketing,1.079323797,1.539
2020-01-13,Sales and marketing,1.144343303,1.546
2020-01-14,Sales and marketing,1.646293888,1.539
2020-01-15,Sales and marketing,1.825747724,1.582
2020-01-16,Sales and marketing,1.745123537,1.592
2020-01-17,Sales and marketing,1.788036411,1.584
2020-01-18,Sales and marketing,1.546163849,1.587
2020-01-19,Sales and marketing,1.127438231,1.572
2020-01-20,Sales and marketing,1.092327698,1.569
2020-01-21,Sales and marketing,1.949284785,1.570
2020-01-22,Sales and marketing,1.895968791,1.529
2020-01-23,Sales and marketing,1.691807542,1.508
2020-01-24,Sales and marketing,1.804941482,1.535
2020-01-25,Sales and marketing,1.44473342,1.522
2020-01-26,Sales and marketing,1.104031209,1.528
2020-01-27,Sales and marketing,1.100130039,1.537
2020-01-28,Sales and marketing,1.659297789,1.542
2020-01-29,Sales and marketing,1.747724317,1.560
2020-01-30,Sales and marketing,1.88426528,1.584
2020-01-31,Sales and marketing,1.711313394,1.570
2020-02-01,Sales and marketing,1.491547464,1.575
2020-02-02,Sales and marketing,1.162548765,1.592
2020-02-03,Sales and marketing,1.133940182,1.597
2020-02-04,Sales and marketing,1.789336801,1.599
2020-02-05,Sales and marketing,1.911573472,1.591
2020-02-06,Sales and marketing,1.790637191,1.580
2020-02-07,Sales and marketing,1.743823147,1.574
2020-02-08,Sales and marketing,1.611183355,1.586
2020-02-09,Sales and marketing,1.197659298,1.582
2020-02-10,Sales and marketing,1.152145644,1.568
2020-02-11,Sales and marketing,1.732119636,1.559
2020-02-12,Sales and marketing,1.834850455,1.557
2020-02-13,Sales and marketing,1.746423927,1.532
2020-02-14,Sales and marketing,1.830949285,1.536
2020-02-15,Sales and marketing,1.579973992,1.527
2020-02-16,Sales and marketing,1.096228869,1.532
2020-02-17,Sales and marketing,1.093628088,1.537
2020-02-18,Sales and marketing,1.717815345,1.544
2020-02-19,Sales and marketing,1.66189857,1.544
2020-02-20,Sales and marketing,1.768530559,1.570
2020-02-21,Sales and marketing,1.77243173,1.567
2020-02-22,Sales and marketing,1.611183355,1.550
2020-02-23,Sales and marketing,1.135240572,1.521
2020-02-24,Sales and marketing,1.139141743,1.520
2020-02-25,Sales and marketing,1.720416125,1.517
2020-02-26,Sales and marketing,1.841352406,1.518
2020-02-27,Sales and marketing,1.751625488,1.490
2020-02-28,Sales and marketing,1.654096229,1.495
2020-02-29,Sales and marketing,1.403120936,1.490
2020-03-01,Sales and marketing,1.130039012,1.514
2020-03-02,Sales and marketing,1.117035111,1.518
2020-03-03,Sales and marketing,1.726918075,1.510
2020-03-04,Sales and marketing,1.643693108,1.499
2020-03-05,Sales and marketing,1.789336801,1.501
2020-03-06,Sales and marketing,1.622886866,1.495
2020-03-07,Sales and marketing,1.566970091,1.476
2020-03-08,Sales and marketing,1.158647594,1.438
2020-03-09,Sales and marketing,1.063719116,1.407
2020-03-10,Sales and marketing,1.644993498,1.396
2020-03-11,Sales and marketing,1.659297789,1.344
2020-03-12,Sales and marketing,1.745123537,1.286
2020-03-13,Sales and marketing,1.490247074,1.226
2020-03-14,Sales and marketing,1.302990897,1.198
2020-03-15,Sales and marketing,0.941482445,1.179
2020-03-16,Sales and marketing,0.985695709,1.192
2020-03-17,Sales and marketing,1.283485046,1.174
2020-03-18,Sales and marketing,1.250975293,1.164
2020-03-19,Sales and marketing,1.327698309,1.156
2020-03-20,Sales and marketing,1.291287386,1.134
2020-03-21,Sales and marketing,1.169050715,1.122
2020-03-22,Sales and marketing,1.033810143,1.115
2020-03-23,Sales and marketing,0.860858257,1.095
2020-03-24,Sales and marketing,1.213263979,1.102
2020-03-25,Sales and marketing,1.196358908,1.107
2020-03-26,Sales and marketing,1.172951886,1.132
2020-03-27,Sales and marketing,1.205461638,1.161
2020-03-28,Sales and marketing,1.119635891,1.173
2020-03-29,Sales and marketing,0.894668401,1.189
2020-03-30,Sales and marketing,0.912873862,1.198
2020-03-31,Sales and marketing,1.248374512,1.206
2020-04-01,Sales and marketing,1.371911573,1.209
2020-04-02,Sales and marketing,1.370611183,1.211
2020-04-03,Sales and marketing,1.289986996,1.226
2020-04-04,Sales and marketing,1.237971391,1.255
2020-04-05,Sales and marketing,0.957087126,1.290
2020-04-06,Sales and marketing,0.963589077,1.328
2020-04-07,Sales and marketing,1.269180754,1.338
2020-04-08,Sales and marketing,1.387516255,1.370
2020-04-09,Sales and marketing,1.475942783,1.411
2020-04-10,Sales and marketing,1.491547464,1.428
2020-04-11,Sales and marketing,1.482444733,1.445
2020-04-12,Sales and marketing,1.2236671,1.472
2020-04-13,Sales and marketing,1.035110533,1.483
2020-04-14,Sales and marketing,1.495448635,1.524
2020-04-15,Sales and marketing,1.6710013,1.543
2020-04-16,Sales and marketing,1.595578674,1.571
2020-04-17,Sales and marketing,1.609882965,1.609
2020-04-18,Sales and marketing,1.6710013,1.635
2020-04-19,Sales and marketing,1.302990897,1.647
2020-04-20,Sales and marketing,1.321196359,1.652
2020-04-21,Sales and marketing,1.630689207,1.670
2020-04-22,Sales and marketing,1.867360208,1.711
2020-04-23,Sales and marketing,1.860858257,1.700
2020-04-24,Sales and marketing,1.789336801,1.682
2020-04-25,Sales and marketing,1.758127438,1.684
2020-04-26,Sales and marketing,1.33550065,1.650
2020-04-27,Sales and marketing,1.44993498,1.650
2020-04-28,Sales and marketing,1.919375813,1.636
2020-04-29,Sales and marketing,1.788036411,1.621
2020-04-30,Sales and marketing,1.733420026,1.632
2020-05-01,Sales and marketing,1.801040312,1.673
2020-05-02,Sales and marketing,1.522756827,1.675
2020-05-03,Sales and marketing,1.33289987,1.697
2020-05-04,Sales and marketing,1.351105332,1.711
2020-05-05,Sales and marketing,1.820546164,1.698
2020-05-06,Sales and marketing,1.859557867,1.691
2020-05-07,Sales and marketing,2.023407022,1.699
2020-05-08,Sales and marketing,1.811443433,1.698
2020-05-09,Sales and marketing,1.677503251,1.721
2020-05-10,Sales and marketing,1.433029909,1.742
2020-05-11,Sales and marketing,1.262678804,1.756
2020-05-12,Sales and marketing,1.769830949,1.772
2020-05-13,Sales and marketing,1.918075423,1.780
2020-05-14,Sales and marketing,2.011703511,1.770
2020-05-15,Sales and marketing,1.976592978,1.771
2020-05-16,Sales and marketing,1.824447334,1.752
2020-05-17,Sales and marketing,1.526657997,1.731
2020-05-18,Sales and marketing,1.378413524,1.716
2020-05-19,Sales and marketing,1.825747724,1.700
2020-05-20,Sales and marketing,1.847854356,1.690
2020-05-21,Sales and marketing,2.015604681,1.684
2020-05-22,Sales and marketing,1.847854356,1.664
2020-05-23,Sales and marketing,1.674902471,1.648
2020-05-24,Sales and marketing,1.421326398,1.744
2020-05-25,Sales and marketing,1.267880364,1.693
2020-05-26,Sales and marketing,1.752925878,1.654
2020-05-27,Sales and marketing,1.810143043,1.581
2020-05-28,Sales and marketing,1.872561769,1.508
2020-05-29,Sales and marketing,1.736020806,1.342
2020-05-30,Sales and marketing,2.349804941,1.276
2020-05-31,Sales and marketing,1.059817945,1.099
2020-06-01,Sales and marketing,0.99479844,1.095
2020-06-02,Sales and marketing,1.241872562,1.072
2020-06-03,Sales and marketing,1.304291287,1.053
2020-06-04,Sales and marketing,0.708712614,1.049
2020-06-05,Sales and marketing,1.275682705,1.136
2020-06-06,Sales and marketing,1.10793238,1.127
2020-06-07,Sales and marketing,1.031209363,1.390
2020-06-08,Sales and marketing,0.836150845,1.394
2020-06-09,Sales and marketing,1.105331599,1.430
2020-06-10,Sales and marketing,1.280884265,1.651
2020-06-11,Sales and marketing,1.314694408,1.653
2020-06-12,Sales and marketing,1.210663199,1.643
2020-06-13,Sales and marketing,2.951885566,1.645
2020-06-14,Sales and marketing,1.058517555,1.380
2020-06-15,Sales and marketing,1.089726918,1.352
2020-06-16,Sales and marketing,2.647594278,1.310
2020-06-17,Sales and marketing,1.296488947,1.110
2020-06-18,Sales and marketing,1.245773732,1.106
2020-06-19,Sales and marketing,1.22236671,1.098
2020-06-20,Sales and marketing,1.100130039,1.100
2020-06-21,Sales and marketing,0.859557867,1.092
2020-06-22,Sales and marketing,0.797139142,1.091
2020-06-23,Sales and marketing,1.248374512,1.087
2020-06-24,Sales and marketing,1.266579974,1.092
2020-06-25,Sales and marketing,1.188556567,1.083
2020-06-26,Sales and marketing,1.240572172,1.092
2020-06-27,Sales and marketing,1.042912874,1.084
2020-06-28,Sales and marketing,0.851755527,1.100
2020-06-29,Sales and marketing,0.768530559,1.106
2020-06-30,Sales and marketing,1.282184655,1.128
2020-07-01,Sales and marketing,1.209362809,1.048
2020-07-02,Sales and marketing,1.247074122,0.964
2020-07-03,Sales and marketing,1.184655397,1.170
2020-07-04,Sales and marketing,1.153446034,1.059
2020-07-05,Sales and marketing,0.894668401,1.066
2020-07-06,Sales and marketing,0.925877763,1.129
2020-07-10,Sales and marketing,0.723016905,1.192
2020-07-11,Sales and marketing,0.616384915,1.276
2020-07-12,Sales and marketing,2.694408322,1.338
2020-07-13,Sales and marketing,0.407022107,1.087
2020-07-14,Sales and marketing,1.201560468,1.156
2020-07-15,Sales and marketing,1.33810143,1.045
2020-07-16,Sales and marketing,1.364109233,1.145
2020-07-17,Sales and marketing,1.310793238,1.138
2020-07-18,Sales and marketing,1.052015605,1.131
2020-07-19,Sales and marketing,0.932379714,1.140
2020-07-20,Sales and marketing,0.89076723,1.125
2020-07-21,Sales and marketing,0.423927178,1.132
2020-07-22,Sales and marketing,2.041612484,1.246
2020-07-23,Sales and marketing,1.312093628,1.147
2020-07-24,Sales and marketing,1.263979194,1.145
2020-07-25,Sales and marketing,1.11573472,1.130
2020-07-26,Sales and marketing,0.828348505,1.144
2020-07-27,Sales and marketing,0.938881664,1.129
2020-07-28,Sales and marketing,1.21976593,1.112
2020-07-29,Sales and marketing,1.349804941,1.109
2020-07-30,Sales and marketing,1.296488947,1.108
2020-07-31,Sales and marketing,1.162548765,1.116
2020-08-01,Sales and marketing,1.214564369,1.128
2020-08-02,Sales and marketing,0.721716515,1.123
2020-08-03,Sales and marketing,0.817945384,1.132
2020-08-04,Sales and marketing,1.202860858,1.135
2020-08-05,Sales and marketing,1.33810143,1.144
2020-08-06,Sales and marketing,1.355006502,1.144
2020-08-07,Sales and marketing,1.247074122,1.142
2020-08-08,Sales and marketing,1.179453836,1.138
2020-08-09,Sales and marketing,0.784135241,1.138
2020-08-10,Sales and marketing,0.840052016,1.148
2020-08-11,Sales and marketing,1.261378414,1.165
2020-08-12,Sales and marketing,1.342002601,1.161
2020-08-13,Sales and marketing,1.33810143,1.155
2020-08-14,Sales and marketing,1.2236671,1.150
2020-08-15,Sales and marketing,1.178153446,1.158
2020-08-16,Sales and marketing,0.854356307,1.145
2020-08-17,Sales and marketing,0.958387516,1.149
2020-08-18,Sales and marketing,1.232769831,1.134
2020-08-19,Sales and marketing,1.299089727,1.132
2020-08-20,Sales and marketing,1.305591678,1.124
2020-08-21,Sales and marketing,1.279583875,1.131
2020-08-22,Sales and marketing,1.084525358,1.126
2020-08-23,Sales and marketing,0.880364109,1.118
2020-08-24,Sales and marketing,0.853055917,1.102
2020-08-25,Sales and marketing,1.21976593,1.082
2020-08-26,Sales and marketing,1.241872562,1.082
2020-08-27,Sales and marketing,1.357607282,1.085
2020-08-28,Sales and marketing,1.247074122,1.094
2020-08-29,Sales and marketing,1.026007802,1.104
2020-08-30,Sales and marketing,0.765929779,1.125
2020-08-31,Sales and marketing,0.715214564,1.126
2020-09-01,Sales and marketing,1.22106632,1.137
2020-09-02,Sales and marketing,1.262678804,1.118
2020-09-03,Sales and marketing,1.421326398,1.126
2020-09-04,Sales and marketing,1.314694408,1.108
2020-09-05,Sales and marketing,1.171651495,1.103
2020-09-06,Sales and marketing,0.77243173,1.106
2020-09-07,Sales and marketing,0.795838752,1.112
2020-09-08,Sales and marketing,1.089726918,1.117
2020-09-09,Sales and marketing,1.314694408,1.140
2020-09-10,Sales and marketing,1.293888166,1.135
2020-09-11,Sales and marketing,1.283485046,1.134
2020-09-12,Sales and marketing,1.188556567,1.140
2020-09-13,Sales and marketing,0.820546164,1.138
2020-09-14,Sales and marketing,0.830949285,1.143
2020-09-15,Sales and marketing,1.245773732,1.142
2020-09-16,Sales and marketing,1.280884265,1.157
2020-09-17,Sales and marketing,1.287386216,1.157
2020-09-18,Sales and marketing,1.322496749,1.173
2020-09-19,Sales and marketing,1.178153446,1.170
2020-09-20,Sales and marketing,0.858257477,1.162
2020-09-21,Sales and marketing,0.823146944,1.172
2020-09-22,Sales and marketing,1.348504551,1.170
2020-09-23,Sales and marketing,1.279583875,1.173
2020-09-24,Sales and marketing,1.399219766,1.190
2020-09-25,Sales and marketing,1.300390117,1.177
2020-09-26,Sales and marketing,1.124837451,1.179
2020-09-27,Sales and marketing,0.929778934,1.173
2020-09-28,Sales and marketing,0.807542263,1.166
2020-09-29,Sales and marketing,1.366710013,1.169
2020-09-30,Sales and marketing,1.399219766,1.149
2020-10-01,Sales and marketing,1.310793238,1.153
2020-10-02,Sales and marketing,1.313394018,1.162
2020-10-03,Sales and marketing,1.083224967,1.152
2020-10-04,Sales and marketing,0.879063719,1.150
2020-10-05,Sales and marketing,0.830949285,1.136
2020-10-06,Sales and marketing,1.228868661,1.129
2020-10-07,Sales and marketing,1.423927178,1.133
2020-10-08,Sales and marketing,1.374512354,1.120
2020-10-09,Sales and marketing,1.244473342,1.112
2020-10-10,Sales and marketing,1.071521456,1.121
2020-10-11,Sales and marketing,0.78023407,1.132
2020-10-12,Sales and marketing,0.77893368,1.140
2020-10-13,Sales and marketing,1.258777633,1.159
2020-10-14,Sales and marketing,1.33420026,1.168
2020-10-15,Sales and marketing,1.315994798,1.176
2020-10-16,Sales and marketing,1.305591678,1.175
2020-10-17,Sales and marketing,1.149544863,1.171
2020-10-18,Sales and marketing,0.840052016,1.200
2020-10-19,Sales and marketing,0.907672302,1.272
2020-10-20,Sales and marketing,1.322496749,1.321
2020-10-21,Sales and marketing,1.388816645,1.417
2020-10-22,Sales and marketing,1.312093628,1.499
2020-10-23,Sales and marketing,1.278283485,1.593
2020-10-24,Sales and marketing,1.350455137,1.682
2020-10-25,Sales and marketing,1.345903771,1.699
2020-10-26,Sales and marketing,1.249674902,1.654
2020-10-27,Sales and marketing,1.993498049,1.646
2020-10-28,Sales and marketing,1.966189857,1.606
2020-10-29,Sales and marketing,1.967490247,1.597
2020-10-30,Sales and marketing,1.903771131,1.554
2020-10-31,Sales and marketing,1.465539662,1.539
2020-11-01,Sales and marketing,1.031209363,1.551
2020-11-02,Sales and marketing,1.191157347,1.564
2020-11-03,Sales and marketing,1.715214564,1.546
2020-11-04,Sales and marketing,1.902470741,1.581
2020-11-05,Sales and marketing,1.6710013,1.569
2020-11-06,Sales and marketing,1.793237971,1.586
2020-11-07,Sales and marketing,1.55136541,1.604
2020-11-08,Sales and marketing,1.123537061,1.598
2020-11-09,Sales and marketing,1.062418726,1.602
2020-11-10,Sales and marketing,1.964889467,1.602
2020-11-11,Sales and marketing,1.814044213,1.586
2020-11-12,Sales and marketing,1.791937581,1.594
2020-11-13,Sales and marketing,1.916775033,1.604
2020-11-14,Sales and marketing,1.511053316,1.591
2020-11-15,Sales and marketing,1.154746424,1.605
2020-11-16,Sales and marketing,1.058517555,1.606
2020-11-17,Sales and marketing,1.853055917,1.615
2020-11-18,Sales and marketing,1.871261378,1.604
2020-11-19,Sales and marketing,1.866059818,1.591
2020-11-20,Sales and marketing,1.823146944,1.575
2020-11-21,Sales and marketing,1.607282185,1.510
2020-11-22,Sales and marketing,1.165149545,1.475
2020-11-23,Sales and marketing,1.117035111,1.462
2020-11-24,Sales and marketing,1.7763329,1.455
2020-11-25,Sales and marketing,1.78283485,1.453
2020-11-26,Sales and marketing,1.750325098,1.457
2020-11-27,Sales and marketing,1.369310793,1.459
2020-11-28,Sales and marketing,1.365409623,1.502
2020-11-29,Sales and marketing,1.071521456,1.527
2020-11-30,Sales and marketing,1.068920676,1.541
2020-12-01,Sales and marketing,1.764629389,1.542
2020-12-02,Sales and marketing,1.811443433,1.539
2020-12-03,Sales and marketing,1.763328999,1.529
2020-12-04,Sales and marketing,1.66840052,1.558
2020-12-05,Sales and marketing,1.540962289,1.568
2020-12-06,Sales and marketing,1.170351105,1.557
2020-12-07,Sales and marketing,1.075422627,1.555
2020-12-08,Sales and marketing,1.746423927,1.568
2020-12-09,Sales and marketing,1.738621586,1.560
2020-12-10,Sales and marketing,1.963589077,1.555
2020-12-11,Sales and marketing,1.741222367,1.518
2020-12-12,Sales and marketing,1.466840052,1.499
2020-12-13,Sales and marketing,1.149544863,1.504
2020-12-14,Sales and marketing,1.167750325,1.487
2020-12-15,Sales and marketing,1.695708713,1.460
2020-12-16,Sales and marketing,1.703511053,1.427
2020-12-17,Sales and marketing,1.698309493,1.391
2020-12-18,Sales and marketing,1.613784135,1.341
2020-12-19,Sales and marketing,1.500650195,1.254
2020-12-20,Sales and marketing,1.026007802,1.149
2020-12-21,Sales and marketing,0.980494148,1.129
2020-12-22,Sales and marketing,1.462938882,1.147
2020-12-23,Sales and marketing,1.455136541,1.158
2020-12-24,Sales and marketing,1.345903771,1.170
2020-12-25,Sales and marketing,1.007802341,1.183
2020-12-26,Sales and marketing,0.762028609,1.185
2020-12-27,Sales and marketing,0.88556567,1.205
2020-12-28,Sales and marketing,1.11183355,1.241
2020-12-29,Sales and marketing,1.539661899,1.261
2020-12-30,Sales and marketing,1.538361508,1.312
2020-12-31,Sales and marketing,1.436931079,1.377
2021-01-01,Sales and marketing,1.023407022,1.500
2021-01-02,Sales and marketing,0.902470741,1.630
2021-01-03,Sales and marketing,1.132639792,1.747
2021-01-04,Sales and marketing,1.254876463,1.755
2021-01-05,Sales and marketing,1.897269181,1.749
2021-01-06,Sales and marketing,1.988296489,1.757
2021-01-07,Sales and marketing,2.301690507,1.755
2021-01-08,Sales and marketing,1.932379714,1.653
2021-01-09,Sales and marketing,1.724317295,1.616
2021-01-10,Sales and marketing,1.183355007,1.544
2021-01-11,Sales and marketing,1.214564369,1.551
2021-01-12,Sales and marketing,1.957087126,1.661
2021-01-13,Sales and marketing,1.971391417,1.683
2021-01-15,Sales and marketing,1.585825748,1.704
2021-01-16,Sales and marketing,1.672301691,1.777
2021-01-17,Sales and marketing,1.22236671,1.790
2021-01-18,Sales and marketing,1.232769831,1.799
2021-01-19,Sales and marketing,1.988296489,1.811
2021-01-20,Sales and marketing,2.10793238,1.826
2021-01-21,Sales and marketing,2.119635891,1.813
2021-01-22,Sales and marketing,2.094928479,1.820
2021-01-23,Sales and marketing,1.762028609,1.792
2021-01-24,Sales and marketing,1.287386216,1.777
2021-01-25,Sales and marketing,1.315994798,1.779
2021-01-26,Sales and marketing,2.094928479,1.771
2021-01-27,Sales and marketing,2.019505852,1.768
2021-01-28,Sales and marketing,2.166449935,1.784
2021-01-29,Sales and marketing,1.897269181,1.773
2021-01-30,Sales and marketing,1.654096229,1.801
2021-01-31,Sales and marketing,1.304291287,1.825
2021-02-01,Sales and marketing,1.260078023,1.825
2021-02-02,Sales and marketing,2.076723017,1.833
2021-02-03,Sales and marketing,2.130039012,1.833
2021-02-04,Sales and marketing,2.088426528,1.846
2021-02-05,Sales and marketing,2.094928479,1.860
2021-02-06,Sales and marketing,1.817945384,1.871
2021-02-07,Sales and marketing,1.305591678,1.858
2021-02-08,Sales and marketing,1.315994798,1.855
2021-02-09,Sales and marketing,2.080624187,1.839
2021-02-10,Sales and marketing,2.215864759,1.818
2021-02-11,Sales and marketing,2.187256177,1.821
2021-02-12,Sales and marketing,2.170351105,1.815
2021-02-13,Sales and marketing,1.726918075,1.818
2021-02-14,Sales and marketing,1.286085826,1.714
2021-02-15,Sales and marketing,1.208062419,1.655
2021-02-16,Sales and marketing,1.932379714,1.663
2021-02-17,Sales and marketing,2.237971391,1.579
2021-02-18,Sales and marketing,2.143042913,1.421
