Region,Sector,Share,Detail
Cornwall,Hospitality,16,Employee jobs (2019)
South West,Hospitality,9.5,ONS
UK,Hospitality,7.7,
Cornwall,Finance/Insurance,0.9,
South West,Finance/Insurance,3.2,
UK,Finance/Insurance,3.5,
Cornwall,Science/Tech,5.7,
South West,Science/Tech,8.4,
UK,Science/Tech,8.8,
Cornwall,Health and social care,14.6,
South West,Health and social care,14,
UK,Health and social care,13.1,
Cornwall,Mining,0.4,
South West,Mining,0.2,
UK,Mining,0.2,
