Country,Value (millions €)
Belgium,3622.3
Bulgaria,556.3
Czechia,3327.2
Denmark,4629.1
Germany,48634.8
Estonia,266
Ireland,528.5
Greece,552.9
Spain,4045.8
France,18606.9
Croatia,793.3
Italy,5410.4
Cyprus,97.4
Latvia,290.7
Lithuania,574.9
Luxembourg,143.3
Hungary,2447
Malta,150
Netherlands,2678.6
Austria,1769.7
Poland,5091.2
Portugal,915.6
Romania,1106.3
Slovenia,402.7
Slovakia,426.1
Finland,2710
Sweden,4295.3
United Kingdom,9199.4
