Period,Total pay ,Regular pay
Aug to Oct 2014,0.0,0.1
Sep to Nov 2014,0.5,0.5
Oct to Dec 2014,1.0,0.6
Nov to Jan 2015,1.1,0.7
Dec to Feb 2015,1.2,1.2
Jan to Mar 2015,1.9,1.8
Feb to Apr 2015,2.3,2.2
Mar to May 2015,2.7,2.4
Apr to Jun 2015,2.1,2.4
May to Jul 2015,2.4,2.4
Jun to Aug 2015,2.6,2.3
Jul to Sep 2015,2.6,2.1
Aug to Oct 2015,2.1,1.7
Sep to Nov 2015,1.7,1.6
Oct to Dec 2015,1.5,1.5
Nov to Jan 2016,1.6,1.6
Dec to Feb 2016,1.4,1.6
Jan to Mar 2016,1.5,1.6
Feb to Apr 2016,1.4,1.6
Mar to May 2016,1.7,1.4
Apr to Jun 2016,1.7,1.5
May to Jul 2016,1.7,1.4
Jun to Aug 2016,1.5,1.4
Jul to Sep 2016,1.4,1.3
Aug to Oct 2016,1.3,1.3
Sep to Nov 2016,1.3,1.2
Oct to Dec 2016,0.9,1.0
Nov to Jan 2017,0.4,0.6
Dec to Feb 2017,0.1,0.0
Jan to Mar 2017,0.0,-0.4
Feb to Apr 2017,-0.2,-0.6
Mar to May 2017,-0.5,-0.5
Apr to Jun 2017,-0.3,-0.4
May to Jul 2017,-0.4,-0.3
Jun to Aug 2017,-0.3,-0.4
Jul to Sep 2017,-0.4,-0.4
Aug to Oct 2017,-0.2,-0.4
Sep to Nov 2017,-0.3,-0.4
Oct to Dec 2017,-0.2,-0.3
Nov to Jan 2018,-0.1,-0.2
Dec to Feb 2018,0.2,0.1
Jan to Mar 2018,0.3,0.3
Feb to Apr 2018,0.4,0.5
Mar to May 2018,0.4,0.5
Apr to Jun 2018,0.0,0.4
May to Jul 2018,0.3,0.5
Jun to Aug 2018,0.5,0.7
Jul to Sep 2018,0.8,0.9
Aug to Oct 2018,1.1,1.0
Sep to Nov 2018,1.2,1.1
Oct to Dec 2018,1.4,1.2
Nov to Jan 2019,1.4,1.4
Dec to Feb 2019,1.6,1.5
Jan to Mar 2019,1.4,1.5
Feb to Apr 2019,1.4,1.5
Mar to May 2019,1.5,1.7
Apr to Jun 2019,2.0,2.0
May to Jul 2019,2.0,2.0
Jun to Aug 2019,1.8,1.9
Jul to Sep 2019,2.0,1.8
Aug to Oct 2019,1.6,1.7
Sep to Nov 2019,1.6,1.7
Oct to Dec 2019,1.3,1.7
Nov to Jan 2020,1.4,1.5
Dec to Feb 2020,1.2,1.3
Jan to Mar 2020,0.7,1.0
Feb to Apr 2020,-0.4,0.4
Mar to May 2020,-1.4,-0.3
Apr to Jun 2020,-2.1,-0.9
May to Jul 2020,-1.8,-0.6
Jun to Aug 2020,-0.7,0.2
Jul to Sep 2020,0.5,1.2
Aug to Oct 2020,2.0,2.1
Sep to Nov 2020,3.0,2.8
Oct to Dec 2020,3.9,3.3
Nov to Jan 2021,4.1,3.5
Dec to Feb 2021,3.7,3.5
Jan to Mar 2021,3.3,3.6
Feb to Apr 2021,4.6,4.4
Mar to May 2021,5.9,5.0
Apr to Jun 2021,7.1,5.3
May to Jul 2021,6.3,4.6
Jun to Aug 2021,4.8,3.4
Jul to Sept 2021,3.4,2.2
Aug to Oct 2021,1.8,1.0
Sept to Nov 2021,0.3,0.0
Oct to Dec 2021,0.0,-0.8
Nov to Jan 2022,-0.3,-1.0
Dec to Feb 2022,0.2,-1.1
Jan to Mar 2022,0.8,-1.3
Feb to Apr 2022,-0.2,-2.2
Mar to May 2022,-1.2,-2.6
Apr to Jun 2022,-2.7,-3.0
May to Jul 2022,-2.5,-2.8
Jun to Aug 2022,-2.3,-2.8
Jul to Sep 2022,-2.6,-2.7
Aug to Oct 2022,-2.6,-2.7
Sep to Nov 2022,-2.5,-2.5
Oct to Dec 2022,-3.0,-2.5
Nov to Jan 2023,-3.0,-2.3
Dec to Feb 2023,-3.1,-2.2
Jan to Mar 2023,-2.8,-2.0
Feb to Apr 2023,-1.8,-1.2
Mar to May 2023,-1.2,-0.8
