date,region,value
Oct-Dec 2019,London,15.2
Jan-March 2022,London,36.4
Oct-Dec 2019,South East,21.6
Jan-March 2022,South East,38.2
Oct-Dec 2019,East of England,18.8
Jan-March 2022,East of England,30.6
Oct-Dec 2019,South West,22.4
Jan-March 2022,South West,32
Oct-Dec 2019,East Midlands,15.9
Jan-March 2022,East Midlands,29.7
Oct-Dec 2019,North West,14.3
Jan-March 2022,North West,27.5
Oct-Dec 2019,West Midlands,14.6
Jan-March 2022,West Midlands,27.7
Oct-Dec 2019,Yorkshire & The Humber,16.9
Jan-March 2022,Yorkshire & The Humber,26.7
Oct-Dec 2019,North East,11.1
Jan-March 2022,North East,24.1
