date,value1,value2,owner,CFC wages,CFC points
1947,0.201806037,0.229329173,Pre-Abramovich,24985,294
1948,0.23723548,0.242617717,Pre-Abramovich,65291,304
1949,0.239929242,0.231259968,Pre-Abramovich,71479,290
1950,0.219554255,0.237421384,Pre-Abramovich,70662,302
1951,0.277326237,0.233307148,Pre-Abramovich,95880,297
1952,0.267084381,0.229133858,Pre-Abramovich,114068,291
1953,0.225063783,0.229215229,Pre-Abramovich,96242,295
1954,0.222300986,0.214117647,Pre-Abramovich,92511,273
1955,0.201302854,0.222308288,Pre-Abramovich,93169,287
1956,0.225607352,0.253719655,Pre-Abramovich,100703,324
1957,0.271235318,0.247678019,Pre-Abramovich,122367,320
1958,0.264624107,0.238610039,Pre-Abramovich,194635,309
1959,0.252041161,0.232323232,Pre-Abramovich,200160,299
1960,0.213252278,0.258339798,Pre-Abramovich,173572,333
1961,0.208480496,0.232394366,Pre-Abramovich,202347,297
1962,0.212053586,0.245090338,Pre-Abramovich,223869,312
1963,0.25433694,0.238654147,Pre-Abramovich,283604,305
1964,0.264067167,0.25,Pre-Abramovich,352672,320
1965,0.327185913,0.247077163,Pre-Abramovich,437868,317
1966,0.30319256,0.250783699,Pre-Abramovich,476039,320
1967,0.309705682,0.247843137,Pre-Abramovich,584165,316
1968,0.307684767,0.269662921,Pre-Abramovich,624597,336
1969,0.291366588,0.260659694,Pre-Abramovich,671829,324
1970,0.270082439,0.263788969,Pre-Abramovich,690775,330
1971,0.276502954,0.257756563,Pre-Abramovich,702800,324
1972,0.279544952,0.242038217,Pre-Abramovich,807609,304
1973,0.279230064,0.238480194,Pre-Abramovich,884022,295
1974,0.255218996,0.226624406,Pre-Abramovich,1186477.17,286
1975,0.213663789,0.253375695,Pre-Abramovich,1087613,319
1976,0.255422782,0.243394716,Pre-Abramovich,1563238,304
1977,0.258052589,0.255183413,Pre-Abramovich,1676450,320
1978,0.303949383,0.266505636,Pre-Abramovich,2142262,331
1979,0.265626506,0.249201278,Pre-Abramovich,2218711,312
1980,0.293770636,0.243690852,Pre-Abramovich,3726665,309
1981,0.260565516,0.252173913,Pre-Abramovich,4048544,319
1982,0.285273313,0.229019608,Pre-Abramovich,5853041,292
1983,0.28888384,0.240536278,Pre-Abramovich,6741133,305
1984,0.280568162,0.250195465,Pre-Abramovich,6616513,320
1985,0.376750703,0.261755486,Pre-Abramovich,10291303,334
1986,0.340048274,0.240696754,Pre-Abramovich,9893357,304
1987,0.337048053,0.278368794,Pre-Abramovich,10652340,314
1988,0.330424058,0.270428016,Pre-Abramovich,11012904,278
1989,0.264150346,0.263208453,Pre-Abramovich,11153373,274
1990,0.343103019,0.283510125,Pre-Abramovich,17605497,294
1991,0.31460023,0.24599359,Pre-Abramovich,19944813,307
1992,0.296555943,0.239649682,Pre-Abramovich,23498912,301
1993,0.266397422,0.260450161,Pre-Abramovich,24588424,324
1994,0.323606433,0.261980831,Pre-Abramovich,37817670,328
1995,0.317103214,0.282149712,Pre-Abramovich,45907538,294
1996,0.33365333,0.273261508,Pre-Abramovich,54402063,279
1997,0.355337847,0.270813397,Pre-Abramovich,78032000,283
1998,0.370893596,0.291707317,Pre-Abramovich,105889223,299
1999,0.336153886,0.286259542,Pre-Abramovich,131106240,300
2000,0.313837362,0.276227141,Pre-Abramovich,146662000,287
2001,0.356560534,0.303176131,Pre-Abramovich,200489000,315
2002,0.316947424,0.282857143,Pre-Abramovich,214416000,297
2003,0.38247878,0.294573643,Pre-Abramovich,285994000,304
2004,0.45162726,0.306796117,Abramovich,360412000,316
2005,0.442754773,0.303857008,Abramovich,346982000,323
2006,0.466550408,0.295585413,Abramovich,404586000,308
2007,0.458845685,0.318269231,Abramovich,436223000,331
2008,0.445034834,0.317353787,Abramovich,528920000,331
2009,0.396964904,0.302681992,Abramovich,495580000,316
2010,0.361748178,0.281827017,Abramovich,482048000,290
2011,0.421099581,0.302769819,Abramovich,642507000,317
2012,0.38039821,0.305232558,Abramovich,597131000,315
2013,0.486494565,0.311676083,Abramovich,842693000,331
2014,0.410615096,0.29703916,Abramovich,776301000,311
2015,0.447525368,0.278799613,Abramovich,906354000,288
