Region,16-24 unemployment rate,UK rate
North East,17.7,13.3
London,17.6,13.3
West Midlands,14.7,13.3
East Midlands,14.2,13.3
South West,13.8,13.3
Scotland,13.5,13.3
East,12.9,13.3
South East,12.2,13.3
North West,12,13.3
Wales,10.9,13.3
Yorkshire and the Humber,9.9,13.3
Northern Ireland,5.5,13.3
