Date,Country,Furloughed jobs index (31 July = 100)
2020-07-01,England,100
2020-07-02,England,100.0213402
2020-07-03,England,99.90183525
2020-07-04,England,99.57319676
2020-07-05,England,99.38753735
2020-07-06,England,99.14852753
2020-07-07,England,98.96927017
2020-07-08,England,98.52112676
2020-07-09,England,98.39095177
2020-07-10,England,98.26717883
2020-07-11,England,97.97481861
2020-07-12,England,97.78489117
2020-07-13,England,97.01664533
2020-07-14,England,96.84805805
2020-07-15,England,96.69654289
2020-07-16,England,96.47460521
2020-07-17,England,96.3422962
2020-07-18,England,95.94536918
2020-07-19,England,95.68501921
2020-07-20,England,94.95731968
2020-07-21,England,94.65002134
2020-07-22,England,94.47716603
2020-07-23,England,94.31498079
2020-07-24,England,94.03329065
2020-07-25,England,93.54033291
2020-07-26,England,92.98335467
2020-07-27,England,91.89927443
2020-07-28,England,91.63892446
2020-07-29,England,91.30174989
2020-07-30,England,91.10328638
2020-07-31,England,90.35851472
2020-08-01,England,72.75714895
2020-08-02,England,72.74221084
2020-08-03,England,72.68032437
2020-08-04,England,72.57362356
2020-08-05,England,72.53521127
2020-08-06,England,72.50533504
2020-08-07,England,72.47759283
2020-08-08,England,72.28339735
2020-08-09,England,72.18309859
2020-08-10,England,71.81177977
2020-08-11,England,71.71574904
2020-08-12,England,71.6837388
2020-08-13,England,71.63892446
2020-08-14,England,71.57063594
2020-08-15,England,71.35083227
2020-08-16,England,71.17797695
2020-08-17,England,70.8151942
2020-08-18,England,70.71276142
2020-08-19,England,70.66367904
2020-08-20,England,70.59752454
2020-08-21,England,70.38839095
2020-08-22,England,70.17925736
2020-08-23,England,70.02134016
2020-08-24,England,69.60307298
2020-08-25,England,69.46862996
2020-08-26,England,69.31284678
2020-08-27,England,69.21895006
2020-08-28,England,69.06316688
2020-08-29,England,67.92573624
2020-08-30,England,67.6056338
2020-08-31,England,65.99871959
2020-09-01,England,52.74647887
2020-09-02,England,52.74647887
2020-09-03,England,52.71233461
2020-09-04,England,52.68032437
2020-09-05,England,52.61203585
2020-09-06,England,52.53521127
2020-09-07,England,52.33034571
2020-09-08,England,52.2236449
2020-09-09,England,52.19163466
2020-09-10,England,52.15322236
2020-09-11,England,52.09987196
2020-09-12,England,52.01024328
2020-09-13,England,51.973965
2020-09-14,England,51.62398634
2020-09-15,England,51.53008963
2020-09-16,England,51.47887324
2020-09-17,England,51.44472898
2020-09-18,England,51.33589415
2020-09-19,England,51.22705933
2020-09-20,England,51.184379
2020-09-21,England,51.04993598
2020-09-22,England,50.97951344
2020-09-23,England,50.9346991
2020-09-24,England,50.8813487
2020-09-25,England,50.8023901
2020-09-26,England,50.42680324
2020-09-27,England,50.29876227
2020-09-28,England,50.03627828
2020-09-29,England,49.81647461
2020-09-30,England,49.69910371
2020-10-01,England,43.63849765
2020-10-02,England,43.64916773
2020-10-03,England,43.62569356
2020-10-04,England,43.60008536
2020-10-05,England,43.72812633
2020-10-06,England,43.70038412
2020-10-07,England,43.68971404
2020-10-08,England,43.69611609
2020-10-09,England,43.68331199
2020-10-10,England,43.66410585
2020-10-11,England,43.64703372
2020-10-12,England,43.55953905
2020-10-13,England,43.52966283
2020-10-14,England,43.52112676
2020-10-15,England,43.48484848
2020-10-16,England,43.33760137
2020-10-17,England,43.29492104
2020-10-18,England,43.26504481
2020-10-19,England,43.25437473
2020-10-20,England,43.20529236
2020-10-21,England,43.15620999
2020-10-22,England,43.10285958
2020-10-23,England,43.07298335
2020-10-24,England,42.98122066
2020-10-25,England,42.91933419
2020-10-26,England,42.17029449
2020-10-27,England,42.10413999
2020-10-28,England,42.06786172
2020-10-29,England,41.93982074
2020-10-30,England,41.8288519
2020-10-31,England,40.49082373
2020-11-01,England,64.82074264
2020-11-02,England,65.43320529
2020-11-03,England,65.52923602
2020-11-04,England,65.75970977
2020-11-05,England,70.9731114
2020-11-06,England,71.60691421
2020-11-07,England,71.89927443
2020-11-08,England,72.36235595
2020-11-09,England,73.26931285
2020-11-10,England,73.32479727
2020-11-11,England,73.38881776
2020-11-12,England,73.38454972
2020-11-13,England,73.29492104
2020-11-14,England,73.28851899
2020-11-15,England,73.30559112
2020-11-16,England,73.20742638
2020-11-17,England,73.16901408
2020-11-18,England,73.16047802
2020-11-19,England,73.14767392
2020-11-20,England,73.13486983
2020-11-21,England,72.9598805
2020-11-22,England,72.84037559
2020-11-23,England,72.66325224
2020-11-24,England,72.57575758
2020-11-25,England,72.48612889
2020-11-26,England,72.30046948
2020-11-27,England,72.1446863
2020-11-28,England,71.44046095
2020-11-29,England,70.71489543
2020-11-30,England,68.49125053
2020-12-01,England,67.82543747
2020-12-02,England,67.77208707
2020-12-03,England,67.53521127
2020-12-04,England,67.46265472
2020-12-05,England,67.42637644
2020-12-06,England,67.35168587
2020-12-07,England,67.19590269
2020-12-08,England,67.09346991
2020-12-09,England,67.06145967
2020-12-10,England,67.04225352
2020-12-11,England,67.00810926
2020-12-12,England,67.01877934
2020-12-13,England,66.89287239
2020-12-14,England,67.01451131
2020-12-15,England,66.96329492
2020-12-16,England,67.01451131
2020-12-17,England,67.0529236
2020-12-18,England,67.07639778
2020-12-19,England,67.27059326
2020-12-20,England,67.76141699
2020-12-21,England,68.26931285
2020-12-22,England,68.36961161
2020-12-23,England,68.42936406
2020-12-24,England,68.44003414
2020-12-25,England,68.45497226
2020-12-26,England,68.23303457
2020-12-27,England,68.17755015
2020-12-28,England,67.93854033
2020-12-29,England,67.58002561
2020-12-30,England,67.36448997
2020-12-31,England,66.73282117
2020-07-01,Wales,100
2020-07-02,Wales,100
2020-07-03,Wales,99.95956328
2020-07-04,Wales,99.83825313
2020-07-05,Wales,99.79781642
2020-07-06,Wales,99.79781642
2020-07-07,Wales,99.63606955
2020-07-08,Wales,99.5147594
2020-07-09,Wales,99.39344925
2020-07-10,Wales,99.31257582
2020-07-11,Wales,98.7868985
2020-07-12,Wales,98.66558835
2020-07-13,Wales,97.85685402
2020-07-14,Wales,97.61423372
2020-07-15,Wales,97.37161342
2020-07-16,Wales,97.25030328
2020-07-17,Wales,97.12899313
2020-07-18,Wales,96.68418924
2020-07-19,Wales,96.40113223
2020-07-20,Wales,96.23938536
2020-07-21,Wales,95.95632835
2020-07-22,Wales,95.71370805
2020-07-23,Wales,95.5923979
2020-07-24,Wales,95.26890416
2020-07-25,Wales,94.66235342
2020-07-26,Wales,94.05580267
2020-07-27,Wales,93.00444804
2020-07-28,Wales,92.60008087
2020-07-29,Wales,92.27658714
2020-07-30,Wales,91.99353013
2020-07-31,Wales,90.86130206
2020-08-01,Wales,72.1391023
2020-08-02,Wales,72.1391023
2020-08-03,Wales,71.53255156
2020-08-04,Wales,71.41124141
2020-08-05,Wales,71.33036797
2020-08-06,Wales,71.28993126
2020-08-07,Wales,71.24949454
2020-08-08,Wales,70.96643753
2020-08-09,Wales,70.72381723
2020-08-10,Wales,69.30853215
2020-08-11,Wales,69.14678528
2020-08-12,Wales,69.10634856
2020-08-13,Wales,69.06591185
2020-08-14,Wales,68.9446017
2020-08-15,Wales,68.54023453
2020-08-16,Wales,68.25717752
2020-08-17,Wales,67.32713304
2020-08-18,Wales,67.20582289
2020-08-19,Wales,67.08451274
2020-08-20,Wales,67.0036393
2020-08-21,Wales,66.84189244
2020-08-22,Wales,66.39708856
2020-08-23,Wales,66.15446826
2020-08-24,Wales,65.54791751
2020-08-25,Wales,65.42660736
2020-08-26,Wales,65.26486049
2020-08-27,Wales,65.14355034
2020-08-28,Wales,64.98180348
2020-08-29,Wales,63.44520825
2020-08-30,Wales,62.87909422
2020-08-31,Wales,60.97856854
2020-09-01,Wales,47.39183178
2020-09-02,Wales,47.39183178
2020-09-03,Wales,47.35139507
2020-09-04,Wales,47.31095835
2020-09-05,Wales,47.27052163
2020-09-06,Wales,47.10877477
2020-09-07,Wales,46.9470279
2020-09-08,Wales,46.78528104
2020-09-09,Wales,46.74484432
2020-09-10,Wales,46.74484432
2020-09-11,Wales,46.7044076
2020-09-12,Wales,46.62353417
2020-09-13,Wales,46.4617873
2020-09-14,Wales,46.219167
2020-09-15,Wales,46.13829357
2020-09-16,Wales,46.05742014
2020-09-17,Wales,46.01698342
2020-09-18,Wales,45.89567327
2020-09-19,Wales,45.77436312
2020-09-20,Wales,45.65305297
2020-09-21,Wales,45.69348969
2020-09-22,Wales,45.69348969
2020-09-23,Wales,45.61261626
2020-09-24,Wales,45.65305297
2020-09-25,Wales,45.57217954
2020-09-26,Wales,45.12737566
2020-09-27,Wales,44.92519207
2020-09-28,Wales,44.68257178
2020-09-29,Wales,44.43995148
2020-09-30,Wales,44.31864133
2020-10-01,Wales,50.30327537
2020-10-02,Wales,50.34371209
2020-10-03,Wales,50.38414881
2020-10-04,Wales,50.34371209
2020-10-05,Wales,50.66720582
2020-10-06,Wales,50.62676911
2020-10-07,Wales,50.62676911
2020-10-08,Wales,50.62676911
2020-10-09,Wales,50.62676911
2020-10-10,Wales,50.66720582
2020-10-11,Wales,50.70764254
2020-10-12,Wales,50.90982612
2020-10-13,Wales,50.86938941
2020-10-14,Wales,50.86938941
2020-10-15,Wales,50.82895269
2020-10-16,Wales,50.78851597
2020-10-17,Wales,50.95026284
2020-10-18,Wales,50.99069956
2020-10-19,Wales,51.39506672
2020-10-20,Wales,51.39506672
2020-10-21,Wales,51.39506672
2020-10-22,Wales,51.43550344
2020-10-23,Wales,51.63768702
2020-10-24,Wales,52.40598463
2020-10-25,Wales,52.76991508
2020-10-26,Wales,52.16336433
2020-10-27,Wales,52.04205419
2020-10-28,Wales,51.96118075
2020-10-29,Wales,51.88030732
2020-10-30,Wales,51.71856045
2020-10-31,Wales,49.73716134
2020-11-01,Wales,59.44197331
2020-11-02,Wales,59.72503033
2020-11-03,Wales,59.76546704
2020-11-04,Wales,59.84634048
2020-11-05,Wales,60.41245451
2020-11-06,Wales,60.41245451
2020-11-07,Wales,60.37201779
2020-11-08,Wales,59.52284674
2020-11-09,Wales,56.490093
2020-11-10,Wales,55.47917509
2020-11-11,Wales,55.39830166
2020-11-12,Wales,55.31742822
2020-11-13,Wales,55.15568136
2020-11-14,Wales,54.91306106
2020-11-15,Wales,54.67044076
2020-11-16,Wales,54.30651031
2020-11-17,Wales,54.26607359
2020-11-18,Wales,54.22563688
2020-11-19,Wales,54.22563688
2020-11-20,Wales,54.18520016
2020-11-21,Wales,53.94257986
2020-11-22,Wales,53.90214315
2020-11-23,Wales,53.49777598
2020-11-24,Wales,53.45733926
2020-11-25,Wales,53.41690255
2020-11-26,Wales,53.25515568
2020-11-27,Wales,53.13384553
2020-11-28,Wales,52.44642135
2020-11-29,Wales,51.92074404
2020-11-30,Wales,50.54589567
2020-12-01,Wales,59.76546704
2020-12-02,Wales,59.76546704
2020-12-03,Wales,59.76546704
2020-12-04,Wales,59.84634048
2020-12-05,Wales,59.92721391
2020-12-06,Wales,59.96765063
2020-12-07,Wales,60.25070764
2020-12-08,Wales,60.33158108
2020-12-09,Wales,60.33158108
2020-12-10,Wales,60.37201779
2020-12-11,Wales,60.45289123
2020-12-12,Wales,60.57420137
2020-12-13,Wales,60.53376466
2020-12-14,Wales,60.89769511
2020-12-15,Wales,61.01900526
2020-12-16,Wales,61.34249899
2020-12-17,Wales,61.625556
2020-12-18,Wales,61.66599272
2020-12-19,Wales,61.66599272
2020-12-20,Wales,63.12171452
2020-12-21,Wales,64.21350586
2020-12-22,Wales,64.49656288
2020-12-23,Wales,64.5369996
2020-12-24,Wales,64.57743631
2020-12-25,Wales,64.65830975
2020-12-26,Wales,64.21350586
2020-12-27,Wales,64.21350586
2020-12-28,Wales,64.01132228
2020-12-29,Wales,63.60695512
2020-12-30,Wales,63.48564497
2020-12-31,Wales,62.87909422
2020-07-01,Scotland,100
2020-07-02,Scotland,99.97958767
2020-07-03,Scotland,99.93876301
2020-07-04,Scotland,99.75505205
2020-07-05,Scotland,99.65299041
2020-07-06,Scotland,99.14268218
2020-07-07,Scotland,98.93855889
2020-07-08,Scotland,98.77526026
2020-07-09,Scotland,98.61196162
2020-07-10,Scotland,98.48948765
2020-07-11,Scotland,97.99959175
2020-07-12,Scotland,97.50969586
2020-07-13,Scotland,96.16248214
2020-07-14,Scotland,95.91753419
2020-07-15,Scotland,95.20310267
2020-07-16,Scotland,94.73361911
