Nation,Date,Cumulative cases
Wales,2020-11-22,74664
Wales,2020-11-21,73947
Wales,2020-11-20,73267
Wales,2020-11-19,72331
Wales,2020-11-18,71411
Wales,2020-11-17,70424
Wales,2020-11-16,69384
Wales,2020-11-15,68391
Wales,2020-11-14,67763
Wales,2020-11-13,67135
Wales,2020-11-12,66276
Wales,2020-11-11,65504
Wales,2020-11-10,64649
Wales,2020-11-09,63686
Wales,2020-11-08,62675
Wales,2020-11-07,61979
Wales,2020-11-06,61374
Wales,2020-11-05,60497
Wales,2020-11-04,59480
Wales,2020-11-03,58386
Wales,2020-11-02,57152
Wales,2020-11-01,55742
Wales,2020-10-31,54794
Wales,2020-10-30,53915
Wales,2020-10-29,52674
Wales,2020-10-28,51091
Wales,2020-10-27,49734
Wales,2020-10-26,48256
Wales,2020-10-25,46700
Wales,2020-10-24,45760
Wales,2020-10-23,44735
Wales,2020-10-22,43538
Wales,2020-10-21,42482
Wales,2020-10-20,41216
Wales,2020-10-19,39979
Wales,2020-10-18,38868
Wales,2020-10-17,38152
Wales,2020-10-16,37444
Wales,2020-10-15,36492
Wales,2020-10-14,35701
Wales,2020-10-13,34797
Wales,2020-10-12,33845
Wales,2020-10-11,33063
Wales,2020-10-10,32437
Wales,2020-10-09,31818
Wales,2020-10-08,31036
Wales,2020-10-07,30209
Wales,2020-10-06,29358
Wales,2020-10-05,28587
Wales,2020-10-04,27884
Wales,2020-10-03,27270
Wales,2020-10-02,26752
Wales,2020-10-01,26151
Wales,2020-09-30,25524
Wales,2020-09-29,24923
Wales,2020-09-28,24457
Wales,2020-09-27,24031
Wales,2020-09-26,23714
Wales,2020-09-25,23311
Wales,2020-09-24,22926
Wales,2020-09-23,22610
Wales,2020-09-22,22232
Wales,2020-09-21,21853
Wales,2020-09-20,21540
Wales,2020-09-19,21288
Wales,2020-09-18,21008
Wales,2020-09-17,20762
Wales,2020-09-16,20501
Wales,2020-09-15,20294
Wales,2020-09-14,20130
Wales,2020-09-13,19939
Wales,2020-09-12,19775
Wales,2020-09-11,19635
Wales,2020-09-10,19490
Wales,2020-09-09,19304
Wales,2020-09-08,19146
Wales,2020-09-07,19003
Wales,2020-09-06,18844
Wales,2020-09-05,18713
Wales,2020-09-04,18585
Wales,2020-09-03,18436
Wales,2020-09-02,18311
Wales,2020-09-01,18216
Wales,2020-08-31,18159
Wales,2020-08-30,18115
Wales,2020-08-29,18069
Wales,2020-08-28,18025
Wales,2020-08-27,17973
Wales,2020-08-26,17923
Wales,2020-08-25,17879
Wales,2020-08-24,17829
Wales,2020-08-23,17793
Wales,2020-08-22,17782
Wales,2020-08-21,17763
Wales,2020-08-20,17741
Wales,2020-08-19,17710
Wales,2020-08-18,17675
Wales,2020-08-17,17637
Wales,2020-08-16,17618
Wales,2020-08-15,17600
Wales,2020-08-14,17590
Wales,2020-08-13,17573
Wales,2020-08-12,17556
Wales,2020-08-11,17532
Wales,2020-08-10,17505
Wales,2020-08-09,17486
Wales,2020-08-08,17478
Wales,2020-08-07,17473
Wales,2020-08-06,17458
Wales,2020-08-05,17436
Wales,2020-08-04,17414
Wales,2020-08-03,17390
Wales,2020-08-02,17368
Wales,2020-08-01,17354
Wales,2020-07-31,17338
Wales,2020-07-30,17322
Wales,2020-07-29,17292
Wales,2020-07-28,17265
Wales,2020-07-27,17238
Wales,2020-07-26,17215
Wales,2020-07-25,17180
Wales,2020-07-24,17156
Wales,2020-07-23,17126
Wales,2020-07-22,17095
Wales,2020-07-21,17070
Wales,2020-07-20,17009
Wales,2020-07-19,16966
Wales,2020-07-18,16956
Wales,2020-07-17,16945
Wales,2020-07-16,16928
Wales,2020-07-15,16903
Wales,2020-07-14,16885
Wales,2020-07-13,16862
Wales,2020-07-12,16838
Wales,2020-07-11,16828
Wales,2020-07-10,16816
Wales,2020-07-09,16787
Wales,2020-07-08,16765
Wales,2020-07-07,16751
Wales,2020-07-06,16722
Wales,2020-07-05,16687
Wales,2020-07-04,16675
Wales,2020-07-03,16666
Wales,2020-07-02,16647
Wales,2020-07-01,16619
Wales,2020-06-30,16592
Wales,2020-06-29,16557
Wales,2020-06-28,16514
Wales,2020-06-27,16486
Wales,2020-06-26,16346
Wales,2020-06-25,16327
Wales,2020-06-24,16267
Wales,2020-06-23,16230
Wales,2020-06-22,16099
Wales,2020-06-21,16033
Wales,2020-06-20,15957
Wales,2020-06-19,15910
Wales,2020-06-18,15770
Wales,2020-06-17,15708
Wales,2020-06-16,15644
Wales,2020-06-15,15562
Wales,2020-06-14,15496
Wales,2020-06-13,15442
Wales,2020-06-12,15372
Wales,2020-06-11,15297
Wales,2020-06-10,15231
Wales,2020-06-09,15164
Wales,2020-06-08,15102
Wales,2020-06-07,15028
Wales,2020-06-06,14994
Wales,2020-06-05,14941
Wales,2020-06-04,14886
Wales,2020-06-03,14826
Wales,2020-06-02,14751
Wales,2020-06-01,14678
Wales,2020-05-31,14614
Wales,2020-05-30,14568
Wales,2020-05-29,14498
Wales,2020-05-28,14392
Wales,2020-05-27,14290
Wales,2020-05-26,14172
Wales,2020-05-25,14070
Wales,2020-05-24,13965
Wales,2020-05-23,13883
Wales,2020-05-22,13761
Wales,2020-05-21,13624
Wales,2020-05-20,13492
Wales,2020-05-19,13326
Wales,2020-05-18,13113
Wales,2020-05-17,12945
Wales,2020-05-16,12827
Wales,2020-05-15,12661
Wales,2020-05-14,12482
Wales,2020-05-13,12350
Wales,2020-05-12,12197
Wales,2020-05-11,12047
Wales,2020-05-10,11869
Wales,2020-05-09,11762
Wales,2020-05-08,11626
Wales,2020-05-07,11511
Wales,2020-05-06,11335
Wales,2020-05-05,11164
Wales,2020-05-04,10989
Wales,2020-05-03,10850
Wales,2020-05-02,10745
Wales,2020-05-01,10566
Wales,2020-04-30,10390
Wales,2020-04-29,10190
Wales,2020-04-28,10014
Wales,2020-04-27,9861
Wales,2020-04-26,9689
Wales,2020-04-25,9568
Wales,2020-04-24,9432
Wales,2020-04-23,9219
Wales,2020-04-22,9018
Wales,2020-04-21,8765
Wales,2020-04-20,8506
Wales,2020-04-19,8225
Wales,2020-04-18,8044
Wales,2020-04-17,7797
Wales,2020-04-16,7473
Wales,2020-04-15,7110
Wales,2020-04-14,6749
Wales,2020-04-13,6432
Wales,2020-04-12,6159
Wales,2020-04-11,5912
Wales,2020-04-10,5665
Wales,2020-04-09,5357
Wales,2020-04-08,4966
Wales,2020-04-07,4580
Wales,2020-04-06,4194
Wales,2020-04-05,3811
Wales,2020-04-04,3588
Wales,2020-04-03,3306
Wales,2020-04-02,2976
Wales,2020-04-01,2640
Wales,2020-03-31,2313
Wales,2020-03-30,2036
Wales,2020-03-29,1693
Wales,2020-03-28,1534
Wales,2020-03-27,1367
Wales,2020-03-26,1174
Wales,2020-03-25,997
Wales,2020-03-24,807
Wales,2020-03-23,666
Wales,2020-03-22,533
Wales,2020-03-21,457
Wales,2020-03-20,382
Wales,2020-03-19,309
Wales,2020-03-18,249
Wales,2020-03-17,213
Wales,2020-03-16,176
Wales,2020-03-15,139
Wales,2020-03-14,107
Wales,2020-03-13,88
Wales,2020-03-12,60
Wales,2020-03-11,35
Wales,2020-03-10,20
Wales,2020-03-09,8
Wales,2020-03-08,5
Wales,2020-03-07,4
Wales,2020-03-06,2
Wales,2020-03-05,2
Wales,2020-03-04,2
Wales,2020-03-03,1
Wales,2020-03-02,1
Wales,2020-03-01,1
Wales,2020-02-29,1
Wales,2020-02-28,1
Wales,2020-02-27,1
