Year,Trend,Value,Detail
1998,UK (2018 = 100),82.4,Output per worker in Wales and UK relative to trend
1999,UK (2018 = 100),83.7,
2000,UK (2018 = 100),86,
2001,UK (2018 = 100),87.6,
2002,UK (2018 = 100),88.7,
2003,UK (2018 = 100),90.8,
2004,UK (2018 = 100),92,
2005,UK (2018 = 100),94.1,
2006,UK (2018 = 100),95.6,
2007,UK (2018 = 100),97,
2008,UK (2018 = 100),96.1,
2009,UK (2018 = 100),93.7,
2010,UK (2018 = 100),95.6,
2011,UK (2018 = 100),96.6,
2012,UK (2018 = 100),96.9,
2013,UK (2018 = 100),98,
2014,UK (2018 = 100),98.5,
2015,UK (2018 = 100),98.9,
2016,UK (2018 = 100),99.1,
2017,UK (2018 = 100),99.8,
2018,UK (2018 = 100),100,
1998,UK trend to 2007,82.4124,
1999,UK trend to 2007,84.0518,
2000,UK trend to 2007,85.6912,
2001,UK trend to 2007,87.3306,
2002,UK trend to 2007,88.97,
2003,UK trend to 2007,90.6094,
2004,UK trend to 2007,92.2488,
2005,UK trend to 2007,93.8882,
2006,UK trend to 2007,95.5276,
2007,UK trend to 2007,97.167,
2008,UK trend to 2007,98.8064,
2009,UK trend to 2007,100.4458,
2010,UK trend to 2007,102.0852,
2011,UK trend to 2007,103.7246,
2012,UK trend to 2007,105.364,
2013,UK trend to 2007,107.0034,
2014,UK trend to 2007,108.6428,
2015,UK trend to 2007,110.2822,
2016,UK trend to 2007,111.9216,
2017,UK trend to 2007,113.561,
2018,UK trend to 2007,115.2004,
1998,Wales,73.1712,
1999,Wales,72.7353,
2000,Wales,74.734,
2001,Wales,75.0732,
2002,Wales,74.9515,
2003,Wales,76.5444,
2004,Wales,77.924,
2005,Wales,77.2561,
2006,Wales,78.7744,
2007,Wales,79.443,
2008,Wales,77.2644,
2009,Wales,74.8663,
2010,Wales,76.6712,
2011,Wales,79.8882,
2012,Wales,80.3301,
2013,Wales,81.536,
2014,Wales,79.391,
2015,Wales,79.9112,
2016,Wales,80.6674,
2017,Wales,81.836,
2018,Wales,81.8,
1998,Wales trend to 2007,72.7488,
1999,Wales trend to 2007,73.4846,
2000,Wales trend to 2007,74.2204,
2001,Wales trend to 2007,74.9562,
2002,Wales trend to 2007,75.692,
2003,Wales trend to 2007,76.4278,
2004,Wales trend to 2007,77.1636,
2005,Wales trend to 2007,77.8994,
2006,Wales trend to 2007,78.6352,
2007,Wales trend to 2007,79.371,
2008,Wales trend to 2007,80.1068,
2009,Wales trend to 2007,80.8426,
2010,Wales trend to 2007,81.5784,
2011,Wales trend to 2007,82.3142,
2012,Wales trend to 2007,83.05,
2013,Wales trend to 2007,83.7858,
2014,Wales trend to 2007,84.5216,
2015,Wales trend to 2007,85.2574,
2016,Wales trend to 2007,85.9932,
2017,Wales trend to 2007,86.729,
2018,Wales trend to 2007,87.4648,
