region,value
UK,14.3
England,14.5
North East,12.7
North West,15.1
Yorkshire & The Humber,11.7
East Midlands,9.1
West Midlands,11.2
East of England,11.1
London,24.3
South East,15.6
South West,12.9
Wales,11.5
Scotland,12.1
Northern Ireland,16.9
