Date,Country,Cumulative Ebola cases,Cumulative Ebola deaths
2014-08-29,Sierra Leone,935,380
2014-09-05,Sierra Leone,1146,443
2014-09-12,Sierra Leone,1287,478
2014-09-19,Sierra Leone,1513,517
2014-09-26,Sierra Leone,1816,557
2014-10-03,Sierra Leone,2179,575
2014-10-10,Sierra Leone,2593,753
2014-10-17,Sierra Leone,2977,932
2014-10-24,Sierra Leone,3223,986
2014-10-31,Sierra Leone,3389,1008
2014-11-07,Sierra Leone,4149,921
2014-11-14,Sierra Leone,4683,978
2014-11-21,Sierra Leone,5152,1058
2014-11-28,Sierra Leone,5441,1189
2014-12-05,Sierra Leone,5831,1321
2014-12-12,Sierra Leone,5978,1374
2014-12-19,Sierra Leone,6375,1559
2014-12-26,Sierra Leone,7160,2289
2015-01-02,Sierra Leone,7476,2461
2015-01-09,Sierra Leone,7759,2611
2015-01-16,Sierra Leone,7825,2717
2015-01-23,Sierra Leone,7921,2793
2015-01-30,Sierra Leone,7989,2850
2015-02-06,Sierra Leone,8084,2935
2015-02-13,Sierra Leone,8155,2997
2015-02-20,Sierra Leone,8223,3057
2015-02-27,Sierra Leone,8320,3124
2015-03-06,Sierra Leone,8389,3210
2015-03-13,Sierra Leone,8469,3297
2015-03-20,Sierra Leone,8508,3346
2015-03-27,Sierra Leone,8532,3407
2015-04-03,Sierra Leone,8555,3466
2015-04-10,Sierra Leone,8558,3475
2015-04-17,Sierra Leone,8569,3499
2015-04-24,Sierra Leone,8584,3520
2015-05-01,Sierra Leone,8590,3535
2015-05-08,Sierra Leone,8597,3538
2015-05-15,Sierra Leone,8598,3538
2015-05-22,Sierra Leone,8608,3541
2015-05-29,Sierra Leone,8614,3545
2015-06-05,Sierra Leone,8624,3546
2015-06-12,Sierra Leone,8647,3551
2015-06-19,Sierra Leone,8654,3560
2015-06-26,Sierra Leone,8662,3565
2015-07-03,Sierra Leone,8671,3569
2015-07-10,Sierra Leone,8676,3575
2015-07-17,Sierra Leone,8688,3581
2015-07-24,Sierra Leone,8693,3583
2015-07-31,Sierra Leone,8694,3585
2015-08-07,Sierra Leone,8696,3585
2015-08-14,Sierra Leone,8697,3586
2015-08-21,Sierra Leone,8697,3586
2015-08-28,Sierra Leone,8697,3586
2015-09-04,Sierra Leone,8698,3587
2015-09-11,Sierra Leone,8703,3587
2015-09-18,Sierra Leone,8704,3589
2015-09-25,Sierra Leone,8704,3589
2015-10-02,Sierra Leone,8704,3589
2015-10-09,Sierra Leone,8704,3589
2015-10-16,Sierra Leone,8704,3589
2015-10-23,Sierra Leone,8704,3589
2015-10-30,Sierra Leone,8704,3589
2015-11-06,Sierra Leone,8704,3589
2015-11-13,Sierra Leone,8704,3589
2015-11-20,Sierra Leone,8704,3589
2015-11-27,Sierra Leone,8704,3589
2015-12-04,Sierra Leone,8704,3589
2015-12-11,Sierra Leone,8704,3589
2015-12-18,Sierra Leone,8704,3589
2015-12-25,Sierra Leone,8704,3589
2016-01-01,Sierra Leone,8704,3589
2014-08-29,Guinea,482,287
2014-09-05,Guinea,604,362
2014-09-12,Guinea,678,403
2014-09-19,Guinea,750,435
2014-09-26,Guinea,876,481
2014-10-03,Guinea,977,562
2014-10-10,Guinea,1097,598
2014-10-17,Guinea,1217,671
2014-10-24,Guinea,1289,710
2014-10-31,Guinea,1312,732
2014-11-07,Guinea,1479,850
2014-11-14,Guinea,1647,958
2014-11-21,Guinea,1745,998
2014-11-28,Guinea,1850,1050
2014-12-05,Guinea,1921,1102
2014-12-12,Guinea,1929,1117
2014-12-19,Guinea,2051,1207
2014-12-26,Guinea,2342,1385
