Time,Country,Value,Detail
1901,Brazil,0.113601872,"CO2 emissions per capita, 1901-2019"
1902,Brazil,0.132434057,Our World in Data
1903,Brazil,0.126165371,
1904,Brazil,0.132560164,
1905,Brazil,0.138663334,
1906,Brazil,0.155489165,
1907,Brazil,0.164063398,
1908,Brazil,0.167284103,
1909,Brazil,0.164454792,
1910,Brazil,0.187335137,
1911,Brazil,0.201243418,
1912,Brazil,0.239201387,
1913,Brazil,0.252772235,
1914,Brazil,0.168447099,
1915,Brazil,0.126233023,
1916,Brazil,0.113221229,
1917,Brazil,0.09618711,
1918,Brazil,0.087563766,
1919,Brazil,0.113335421,
1920,Brazil,0.131799209,
1921,Brazil,0.102386154,
1922,Brazil,0.131226663,
1923,Brazil,0.157002896,
1924,Brazil,0.170091501,
1925,Brazil,0.175531212,
1926,Brazil,0.175291235,
1927,Brazil,0.190501827,
1928,Brazil,0.182163919,
1929,Brazil,0.191084623,
1930,Brazil,0.162706601,
1931,Brazil,0.120548583,
1932,Brazil,0.118131759,
1933,Brazil,0.131115204,
1934,Brazil,0.125779657,
1935,Brazil,0.146891296,
1936,Brazil,0.134453154,
1937,Brazil,0.155854587,
1938,Brazil,0.152905149,
1939,Brazil,0.146223902,
1940,Brazil,0.156118002,
1941,Brazil,0.147848209,
1942,Brazil,0.134919718,
1943,Brazil,0.145449839,
1944,Brazil,0.12936392,
1945,Brazil,0.14623076,
1946,Brazil,0.15617692,
1947,Brazil,0.18296175,
1948,Brazil,0.156741348,
1949,Brazil,0.141862098,
1950,Brazil,0.364225512,
1951,Brazil,0.389514585,
1952,Brazil,0.435275312,
1953,Brazil,0.427438431,
1954,Brazil,0.488495712,
1955,Brazil,0.544083123,
1956,Brazil,0.568842936,
1957,Brazil,0.543242763,
1958,Brazil,0.573142471,
1959,Brazil,0.556409167,
1960,Brazil,0.649105987,
1961,Brazil,0.661335509,
1962,Brazil,0.700936417,
1963,Brazil,0.705202773,
1964,Brazil,0.699027657,
1965,Brazil,0.675625687,
1966,Brazil,0.749286848,
1967,Brazil,0.750595302,
1968,Brazil,0.854894808,
1969,Brazil,0.907120543,
1970,Brazil,0.98336177,
1971,Brazil,1.050008114,
1972,Brazil,1.141753152,
1973,Brazil,1.291031694,
1974,Brazil,1.365034611,
1975,Brazil,1.403835789,
1976,Brazil,1.406290816,
1977,Brazil,1.441657452,
1978,Brazil,1.528231131,
1979,Brazil,1.587701505,
1980,Brazil,1.53908524,
1981,Brazil,1.379525047,
1982,Brazil,1.350134745,
1983,Brazil,1.277931363,
1984,Brazil,1.266056238,
1985,Brazil,1.330165294,
1986,Brazil,1.428047618,
1987,Brazil,1.460613392,
1988,Brazil,1.445142786,
1989,Brazil,1.449576595,
1990,Brazil,1.388704314,
1991,Brazil,1.432446593,
1992,Brazil,1.415692645,
1993,Brazil,1.455751887,
1994,Brazil,1.502013868,
1995,Brazil,1.577481397,
1996,Brazil,1.708196521,
1997,Brazil,1.773740984,
1998,Brazil,1.815858577,
1999,Brazil,1.835447196,
2000,Brazil,1.854946164,
2001,Brazil,1.879203819,
2002,Brazil,1.823763393,
2003,Brazil,1.746383936,
2004,Brazil,1.813392737,
2005,Brazil,1.837919578,
2006,Brazil,1.817249324,
2007,Brazil,1.877235323,
2008,Brazil,1.980652752,
2009,Brazil,1.857219727,
2010,Brazil,2.101230326,
2011,Brazil,2.17684404,
2012,Brazil,2.308720496,
2013,Brazil,2.462478203,
2014,Brazil,2.583762552,
2015,Brazil,2.421914536,
2016,Brazil,2.320701496,
2017,Brazil,2.331611425,
2018,Brazil,2.22777271,
2019,Brazil,2.206660839,
1901,China,null,
1902,China,0.000235184,
1903,China,0.004821833,
1904,China,0.005099291,
1905,China,0.005577828,
1906,China,0.041312085,
1907,China,0.040432872,
1908,China,0.054273666,
1909,China,0.049418629,
1910,China,0.044120656,
1911,China,0.065025453,
1912,China,0.022603429,
1913,China,0.024574634,
1914,China,0.034133026,
1915,China,0.03595468,
1916,China,0.039708588,
1917,China,0.043400232,
1918,China,0.045502433,
1919,China,0.051879241,
1920,China,0.056772612,
1921,China,0.053312556,
1922,China,0.055949025,
1923,China,0.067302041,
1924,China,0.073201367,
1925,China,0.069051198,
1926,China,0.06128683,
1927,China,0.069191898,
1928,China,0.070144547,
1929,China,0.073373474,
1930,China,0.077309812,
1931,China,0.081565714,
1932,China,0.077630962,
1933,China,0.084327335,
1934,China,0.097850317,
1935,China,0.113823,
1936,China,0.127691091,
1937,China,0.118290082,
1938,China,0.107577005,
1939,China,0.129866287,
1940,China,0.165628323,
1941,China,0.205870369,
1942,China,0.216642551,
1943,China,0.184125033,
1944,China,0.184270533,
1945,China,0.094393709,
1946,China,0.058298539,
1947,China,0.062249235,
1948,China,0.043989565,
1949,China,0.108548398,
1950,China,0.141737516,
1951,China,0.178304621,
1952,China,0.219691335,
1953,China,0.225465784,
1954,China,0.266773813,
1955,China,0.311186374,
1956,China,0.347339189,
1957,China,0.405571416,
1958,China,0.819335852,
1959,China,1.107563454,
1960,China,1.179542746,
1961,China,0.82115814,
1962,China,0.644099382,
1963,China,0.627240573,
1964,China,0.615179191,
1965,China,0.655437954,
1966,China,0.702382004,
1967,China,0.566790363,
1968,China,0.596633789,
1969,China,0.714583978,
1970,China,0.930602026,
1971,China,1.029756773,
1972,China,1.068325347,
1973,China,1.085624395,
1974,China,1.084341499,
1975,China,1.233050444,
1976,China,1.263374862,
1977,China,1.361744475,
1978,China,1.49686282,
1979,China,1.508026459,
1980,China,1.458756874,
1981,China,1.422831316,
1982,China,1.527768729,
1983,China,1.588412587,
1984,China,1.703236375,
1985,China,1.814608779,
1986,China,1.874169605,
1987,China,1.963142074,
1988,China,2.063561486,
1989,China,2.060578029,
1990,China,2.056948251,
1991,China,2.127618647,
1992,China,2.198697117,
1993,China,2.326678588,
1994,China,2.447311816,
1995,China,2.63115627,
1996,China,2.723113332,
1997,China,2.705673552,
1998,China,2.567569938,
1999,China,2.542408874,
2000,China,2.595244139,
2001,China,2.637260195,
2002,China,2.893206353,
2003,China,3.385004921,
2004,China,3.874198709,
2005,China,4.336693901,
2006,China,4.765171339,
2007,China,5.097905885,
2008,China,5.448698793,
2009,China,5.700108973,
2010,China,6.210165352,
2011,China,6.820350561,
2012,China,6.959874207,
2013,China,7.038326376,
2014,China,7.017279991,
2015,China,6.8829047,
2016,China,6.755435196,
2017,China,6.861770126,
2018,China,6.974106028,
2019,China,7.096383171,
1901,United Kingdom,10.69973871,
1902,United Kingdom,11.00219631,
1903,United Kingdom,10.97949755,
1904,United Kingdom,10.92385483,
1905,United Kingdom,10.96155373,
1906,United Kingdom,11.24662301,
1907,United Kingdom,11.63956884,
1908,United Kingdom,11.24634169,
1909,United Kingdom,11.24115533,
1910,United Kingdom,11.23629032,
1911,United Kingdom,11.41682119,
1912,United Kingdom,10.74777484,
1913,United Kingdom,11.67306099,
1914,United Kingdom,11.23216509,
1915,United Kingdom,11.29783585,
1916,United Kingdom,11.64889238,
1917,United Kingdom,11.49236793,
1918,United Kingdom,10.70842782,
1919,United Kingdom,10.45104057,
1920,United Kingdom,10.72462143,
1921,United Kingdom,7.245593668,
1922,United Kingdom,9.637909974,
1923,United Kingdom,10.1737069,
1924,United Kingdom,10.5910393,
1925,United Kingdom,9.958201944,
1926,United Kingdom,5.437124355,
1927,United Kingdom,10.26105167,
1928,United Kingdom,9.590417246,
1929,United Kingdom,10.06006561,
1930,United Kingdom,9.59732627,
1931,United Kingdom,8.926329108,
1932,United Kingdom,8.532724455,
1933,United Kingdom,8.416142639,
1934,United Kingdom,9.047932249,
1935,United Kingdom,9.137540109,
1936,United Kingdom,9.620653071,
1937,United Kingdom,9.880762464,
1938,United Kingdom,9.415310129,
1939,United Kingdom,9.427187756,
1940,United Kingdom,9.850406556,
1941,United Kingdom,9.709047898,
1942,United Kingdom,9.65597751,
1943,United Kingdom,9.314791018,
1944,United Kingdom,9.004568831,
1945,United Kingdom,8.482808347,
1946,United Kingdom,8.828534357,
1947,United Kingdom,9.285232144,
1948,United Kingdom,9.503015702,
1949,United Kingdom,9.623308651,
1950,United Kingdom,9.893948613,
1951,United Kingdom,10.77532135,
1952,United Kingdom,10.43821658,
1953,United Kingdom,10.64433686,
1954,United Kingdom,10.86655196,
1955,United Kingdom,11.29859876,
1956,United Kingdom,11.20281569,
1957,United Kingdom,11.08268883,
1958,United Kingdom,10.74902603,
1959,United Kingdom,10.50236583,
1960,United Kingdom,11.15159187,
1961,United Kingdom,11.16323018,
1962,United Kingdom,11.16442597,
1963,United Kingdom,11.27802589,
1964,United Kingdom,11.28122022,
1965,United Kingdom,11.46939808,
1966,United Kingdom,11.32647961,
1967,United Kingdom,10.79076726,
1968,United Kingdom,11.00045896,
1969,United Kingdom,11.34920075,
1970,United Kingdom,11.7427059,
1971,United Kingdom,11.84574224,
1972,United Kingdom,11.59426122,
1973,United Kingdom,11.77690465,
1974,United Kingdom,11.00306443,
1975,United Kingdom,10.74311453,
1976,United Kingdom,10.65220955,
1977,United Kingdom,10.75300939,
1978,United Kingdom,10.75888676,
1979,United Kingdom,11.46718819,
1980,United Kingdom,10.30148152,
1981,United Kingdom,9.970562726,
1982,United Kingdom,9.748065575,
1983,United Kingdom,9.692872648,
1984,United Kingdom,9.392521009,
1985,United Kingdom,9.920021289,
1986,United Kingdom,10.05882182,
1987,United Kingdom,10.08981109,
1988,United Kingdom,10.03810494,
1989,United Kingdom,10.20776688,
1990,United Kingdom,10.51002027,
1991,United Kingdom,10.62259634,
1992,United Kingdom,10.32435075,
1993,United Kingdom,10.04899415,
1994,United Kingdom,9.956337257,
1995,United Kingdom,9.784079973,
1996,United Kingdom,10.12568784,
1997,United Kingdom,9.648262919,
1998,United Kingdom,9.704558366,
1999,United Kingdom,9.553639604,
2000,United Kingdom,9.631279857,
2001,United Kingdom,9.745542301,
2002,United Kingdom,9.444436234,
2003,United Kingdom,9.59974767,
2004,United Kingdom,9.57386159,
2005,United Kingdom,9.453414145,
2006,United Kingdom,9.331113892,
2007,United Kingdom,9.10013431,
2008,United Kingdom,8.766787771,
2009,United Kingdom,7.867294068,
2010,United Kingdom,8.068447873,
2011,United Kingdom,7.338161726,
2012,United Kingdom,7.559796126,
