region,value1,value2
North East,-7.70,12.80
North West,-16.52,14.30
Yorkshire and Humbers,-12.55,14.20
East Midlands,-21.75,14.90
West Midlands,-21.15,14.50
East of England,-6.60,15.00
London,-12.66,18.60
South East,-12.79,16.40
South West,-15.10,17.80
Wales,-2.36,15.10
Scotland,-12.67,12.60
Northern Ireland,-30.42,16.40
