date,value,value2,value3,value4
1210,2.03,null,null,null
1211,10.56,null,null,null
1212,-10.53,null,null,null
1213,-2.64,null,null,null
1214,-2.64,-0.64,null,null
1215,5.39,0.03,null,null
1216,5.39,-1.00,50,-50
1217,13.48,3.80,50,-50
1218,14.54,7.23,50,-50
1219,-3.04,7.15,null,null
1220,-11.63,1.89,null,null
1221,10.37,1.87,null,null
1222,-13.05,1.62,null,null
1223,-13.05,0.58,null,null
1224,8.44,1.68,null,null
1225,43.28,5.47,null,null
1226,-8.87,4.05,null,null
1227,-1.63,2.54,null,null
1228,-1.42,0.94,null,null
1229,-1.42,1.10,null,null
1230,-1.42,2.12,null,null
1231,-1.42,0.94,null,null
1232,-1.42,2.11,null,null
1233,-4.93,2.92,null,null
1234,0.98,2.17,null,null
1235,0.98,-2.06,null,null
1236,-2.38,-1.41,null,null
1237,9.26,-0.32,null,null
1238,-2.33,-0.41,null,null
1239,-2.33,-0.50,null,null
1240,-2.33,-0.59,null,null
1241,-2.33,-0.68,null,null
1242,-2.33,-0.78,null,null
1243,-2.33,-0.52,null,null
1244,-2.33,-0.85,null,null
1245,-2.33,-1.18,null,null
1246,12.32,0.29,null,null
1247,27.18,2.08,null,null
1248,-1.37,2.18,null,null
1249,-23.25,0.09,null,null
1250,8.29,1.15,null,null
1251,-5.61,0.82,null,null
1252,2.25,1.28,null,null
1253,12.50,2.76,null,null
1254,-21.92,0.81,null,null
1255,4.21,1.46,null,null
1256,23.63,2.59,null,null
1257,13.60,1.23,null,null
1258,-2.44,1.13,null,null
1259,-2.48,3.20,null,null
1260,-8.83,1.49,null,null
1261,6.12,2.66,null,null
1262,1.10,2.55,null,null
1263,-9.56,0.34,null,null
1264,1.49,2.68,null,null
1265,3.62,2.63,50,-50
1266,-0.10,0.25,50,-50
1267,6.19,-0.49,50,-50
1268,-12.43,-1.49,50,-50
1269,15.97,0.36,null,null
1270,-2.26,1.01,null,null
1271,23.17,2.72,null,null
1272,2.78,2.89,null,null
1273,-14.33,2.41,null,null
1274,12.47,3.51,null,null
1275,-2.50,2.90,null,null
1276,-9.20,1.99,null,null
1277,11.71,2.54,null,null
1278,-11.30,2.65,50,-50
1279,-6.81,0.37,50,-50
1280,11.19,1.72,50,-50
1281,-7.18,-1.32,50,-50
1282,13.50,-0.25,50,-50
1283,-3.43,0.85,50,-50
1284,0.77,-0.32,50,-50
1285,-13.99,-1.47,null,null
1286,6.61,0.11,null,null
1287,-8.52,-1.92,null,null
1288,-14.32,-2.22,null,null
1289,7.02,-0.83,null,null
1290,14.42,-0.51,null,null
1291,15.60,1.77,null,null
1292,-6.24,-0.21,null,null
1293,0.31,0.17,null,null
1294,14.08,1.50,null,null
1295,4.05,3.30,null,null
1296,-4.83,2.16,null,null
1297,-11.33,1.88,null,null
1298,6.63,3.97,null,null
1299,1.50,3.42,null,null
1300,2.55,2.23,null,null
1301,-5.44,0.13,null,null
1302,-4.31,0.32,null,null
1303,-5.52,-0.26,null,null
1304,-2.83,-1.95,null,null
1305,9.71,-1.39,null,null
1306,1.53,-0.75,null,null
