Period,Group,Value (%),Detail
Pre-Covid,All,3.60,Food insecurity
Covid,All,3.60,UK
Pre-Covid,White,3.20,
Covid,White,3.20,
Pre-Covid,Non-white,6.97,
Covid,Non-white,6.97,
Pre-Covid,No children,3.20,
Covid,No children,3.20,
Pre-Covid,Children present,4.76,
Covid,Children present,4.76,
