Date,Year,Value,Detail
10-09,2019,119942,
11-09,2019,120320,
12-09,2019,120578,
13-09,2019,120893,
14-09,2019,120991,
15-09,2019,121058,
16-09,2019,121176,
17-09,2019,121445,
18-09,2019,121534,
19-09,2019,121420,
20-09,2019,121388,
21-09,2019,121408,
22-09,2019,121233,
23-09,2019,121159,
24-09,2019,120908,
25-09,2019,120809,
26-09,2019,120884,
27-09,2019,120868,
28-09,2019,120791,
29-09,2019,120816,
30-09,2019,120784,
01-10,2019,120418,
02-10,2019,120140,
03-10,2019,119784,
04-10,2019,119659,
05-10,2019,119575,
06-10,2019,119440,
07-10,2019,119427,
08-10,2019,119591,
09-10,2019,119432,
10-10,2019,119304,
11-10,2019,119017,
12-10,2019,118592,
13-10,2019,118405,
14-10,2019,118221,
15-10,2019,118103,
16-10,2019,118040,
17-10,2019,118134,
18-10,2019,118424,
19-10,2019,118824,
20-10,2019,118808,
21-10,2019,118656,
22-10,2019,118670,
23-10,2019,118805,
24-10,2019,118763,
25-10,2019,118506,
26-10,2019,118220,
27-10,2019,117658,
28-10,2019,117232,
29-10,2019,116577,
30-10,2019,115799,
31-10,2019,114694,
01-11,2019,113614,
02-11,2019,113062,
03-11,2019,112916,
04-11,2019,112929,
05-11,2019,112870,
06-11,2019,112905,
07-11,2019,113230,
08-11,2019,113745,
09-11,2019,113627,
10-11,2019,113634,
11-11,2019,113111,
12-11,2019,112999,
13-11,2019,112996,
14-11,2019,113081,
15-11,2019,113181,
16-11,2019,113160,
17-11,2019,113057,
18-11,2019,113312,
19-11,2019,113319,
20-11,2019,113185,
21-11,2019,113017,
22-11,2019,113000,
23-11,2019,113222,
24-11,2019,113397,
25-11,2019,113148,
26-11,2019,113045,
27-11,2019,113146,
28-11,2019,111726,
29-11,2019,109652,
30-11,2019,109376,
01-12,2019,109789,
02-12,2019,110335,
03-12,2019,110608,
04-12,2019,110739,
05-12,2019,112247,
06-12,2019,114178,
07-12,2019,114148,
08-12,2019,113480,
09-12,2019,112977,
10-12,2019,112666,
11-12,2019,112482,
12-12,2019,112586,
13-12,2019,112541,
14-12,2019,112630,
15-12,2019,112699,
16-12,2019,112960,
17-12,2019,113087,
18-12,2019,113424,
19-12,2019,113870,
20-12,2019,114577,
21-12,2019,115925,
22-12,2019,116823,
23-12,2019,116967,
24-12,2019,115534,
25-12,2019,111321,
26-12,2019,109471,
27-12,2019,108607,
28-12,2019,108049,
29-12,2019,107679,
30-12,2019,107173,
31-12,2019,107148,
01-01,2020,108395,
02-01,2020,109083,
03-01,2020,109020,
04-01,2020,108889,
05-01,2020,109028,
06-01,2020,109401,
07-01,2020,110699,
08-01,2020,112784,
09-01,2020,113028,
10-01,2020,113094,
11-01,2020,112128,
12-01,2020,111337,
13-01,2020,111079,
14-01,2020,110793,
15-01,2020,111014,
16-01,2020,111126,
17-01,2020,111218,
18-01,2020,111329,
19-01,2020,111249,
20-01,2020,111451,
21-01,2020,111866,
22-01,2020,111905,
23-01,2020,111988,
24-01,2020,111692,
25-01,2020,111474,
26-01,2020,111437,
27-01,2020,111052,
28-01,2020,110365,
29-01,2020,109742,
30-01,2020,109033,
31-01,2020,108538,
01-02,2020,107920,
02-02,2020,106937,
03-02,2020,106023,
04-02,2020,105043,
05-02,2020,104168,
06-02,2020,103129,
07-02,2020,102282,
08-02,2020,102029,
09-02,2020,101403,
10-02,2020,100733,
11-02,2020,100466,
12-02,2020,100332,
13-02,2020,100395,
14-02,2020,100782,
15-02,2020,100772,
16-02,2020,100926,
17-02,2020,101059,
18-02,2020,101298,
19-02,2020,101705,
20-02,2020,101882,
21-02,2020,101872,
22-02,2020,102030,
23-02,2020,102449,
24-02,2020,102687,
25-02,2020,102799,
26-02,2020,102774,
27-02,2020,102910,
28-02,2020,102967,
01-03,2020,103397,
02-03,2020,103761,
03-03,2020,104001,
04-03,2020,104064,
05-03,2020,104161,
06-03,2020,104086,
07-03,2020,103987,
08-03,2020,103818,
09-03,2020,103299,
10-03,2020,102651,
11-03,2020,102116,
12-03,2020,101297,
13-03,2020,100363,
14-03,2020,99517,
15-03,2020,98288,
16-03,2020,96839,
17-03,2020,94822,
18-03,2020,91911,
19-03,2020,88365,
20-03,2020,84416,
21-03,2020,80479,
22-03,2020,75708,
23-03,2020,70288,
24-03,2020,65538,
25-03,2020,60743,
26-03,2020,56296,
27-03,2020,51832,
28-03,2020,48224,
29-03,2020,45042,
30-03,2020,42447,
31-03,2020,40332,
01-04,2020,38848,
02-04,2020,37193,
03-04,2020,35892,
04-04,2020,34566,
05-04,2020,33449,
06-04,2020,32699,
07-04,2020,31885,
08-04,2020,31214,
09-04,2020,30816,
10-04,2020,30167,
11-04,2020,29849,
12-04,2020,29442,
13-04,2020,28798,
14-04,2020,28502,
