date,value1,value2
1989,3330.5,54
1990,3112,57
1991,2835.3,54
1992,2547.3,46
1993,2184.4,48
1994,1692.5,48
1995,1497.8,55
1996,1360,58
1997,1331.3,54
1998,1317.7,57
1999,1327.6,57
2000,1420.1,57
2001,1561.4,58
2002,1660.5,58
2003,1833.3,57
2004,2065.2,55
2005,2144.2,59
2006,2322.2,61
2007,2528.1,61
2008,2598.8,63
2009,2215.3,65
2010,2315.1,65
2011,2450,68
2012,2459.8,69
2013,2466.5,73
2014,2346.2,71
2015,2124.7,68
2016,2185.3,67
2017,2246.7,67
2018,2337,69
2019,2425.6,74
2020,2344.4,74
