date,metric,value
2009-10-01,Fixed rate,49.67
2010-01-01,Fixed rate,37.39
2010-04-01,Fixed rate,39.13
2010-07-01,Fixed rate,43.53
2010-10-01,Fixed rate,45.93
2011-01-01,Fixed rate,51.23
2011-04-01,Fixed rate,56.06
2011-07-01,Fixed rate,51.71
2011-10-01,Fixed rate,53.59
2012-01-01,Fixed rate,55.07
2012-04-01,Fixed rate,56.40
2012-07-01,Fixed rate,55.98
2012-10-01,Fixed rate,63.55
2013-01-01,Fixed rate,70.69
2013-04-01,Fixed rate,75.27
2013-07-01,Fixed rate,77.32
2013-10-01,Fixed rate,80.26
2014-01-01,Fixed rate,80.99
2014-04-01,Fixed rate,81.95
2014-07-01,Fixed rate,82.55
2014-10-01,Fixed rate,82.21
2015-01-01,Fixed rate,77.61
2015-04-01,Fixed rate,78.90
2015-07-01,Fixed rate,80.67
2015-10-01,Fixed rate,84.09
2016-01-01,Fixed rate,81.43
2016-04-01,Fixed rate,82.27
2016-07-01,Fixed rate,82.28
2016-10-01,Fixed rate,81.26
2017-01-01,Fixed rate,84.72
2017-04-01,Fixed rate,87.94
2017-07-01,Fixed rate,89.34
2017-10-01,Fixed rate,90.22
2018-01-01,Fixed rate,90.56
2018-04-01,Fixed rate,91.59
2018-07-01,Fixed rate,90.57
2018-10-01,Fixed rate,91.90
2019-01-01,Fixed rate,91.84
2019-04-01,Fixed rate,92.19
2019-07-01,Fixed rate,91.74
2019-10-01,Fixed rate,92.43
2020-01-01,Fixed rate,91.91
2020-04-01,Fixed rate,90.42
2020-07-01,Fixed rate,91.20
2020-10-01,Fixed rate,92.44
2021-01-01,Fixed rate,92.44
2021-04-01,Fixed rate,93.51
2021-07-01,Fixed rate,94.14
2021-10-01,Fixed rate,94.40
2009-10-01,Variable rate,50.33
2010-01-01,Variable rate,62.61
2010-04-01,Variable rate,60.87
2010-07-01,Variable rate,56.47
2010-10-01,Variable rate,54.07
2011-01-01,Variable rate,48.77
2011-04-01,Variable rate,43.94
2011-07-01,Variable rate,48.29
2011-10-01,Variable rate,46.41
2012-01-01,Variable rate,44.93
2012-04-01,Variable rate,43.61
2012-07-01,Variable rate,44.02
2012-10-01,Variable rate,36.45
2013-01-01,Variable rate,29.31
2013-04-01,Variable rate,24.73
2013-07-01,Variable rate,22.68
2013-10-01,Variable rate,19.74
2014-01-01,Variable rate,19.01
2014-04-01,Variable rate,18.06
2014-07-01,Variable rate,17.45
2014-10-01,Variable rate,17.79
2015-01-01,Variable rate,22.39
2015-04-01,Variable rate,21.10
2015-07-01,Variable rate,19.34
2015-10-01,Variable rate,15.91
2016-01-01,Variable rate,18.57
2016-04-01,Variable rate,17.73
2016-07-01,Variable rate,17.72
2016-10-01,Variable rate,18.74
2017-01-01,Variable rate,15.29
2017-04-01,Variable rate,12.06
2017-07-01,Variable rate,10.66
2017-10-01,Variable rate,9.78
2018-01-01,Variable rate,9.44
2018-04-01,Variable rate,8.41
2018-07-01,Variable rate,9.43
2018-10-01,Variable rate,8.10
2019-01-01,Variable rate,8.16
2019-04-01,Variable rate,7.81
2019-07-01,Variable rate,8.26
2019-10-01,Variable rate,7.57
2020-01-01,Variable rate,8.09
2020-04-01,Variable rate,9.59
2020-07-01,Variable rate,8.80
2020-10-01,Variable rate,7.56
2021-01-01,Variable rate,7.56
2021-04-01,Variable rate,6.49
2021-07-01,Variable rate,5.86
2021-10-01,Variable rate,5.60
