Week,Central bank,Balance sheet (% of 2019 GDP)
2005-01-07,Federal Reserve,3.805782667
2005-01-14,Federal Reserve,3.725314145
2005-01-21,Federal Reserve,3.764995526
2005-01-28,Federal Reserve,3.766404553
2005-02-04,Federal Reserve,3.75466577
2005-02-11,Federal Reserve,3.71992065
2005-02-18,Federal Reserve,3.712021699
2005-02-25,Federal Reserve,3.753872609
2005-03-04,Federal Reserve,3.738363977
2005-03-11,Federal Reserve,3.72902334
2005-03-18,Federal Reserve,3.766166605
2005-03-25,Federal Reserve,3.718964191
2005-04-01,Federal Reserve,3.767752927
2005-04-08,Federal Reserve,3.720051289
2005-04-15,Federal Reserve,3.759149463
2005-04-22,Federal Reserve,3.740888096
2005-04-29,Federal Reserve,3.778231984
2005-05-06,Federal Reserve,3.743776135
2005-05-13,Federal Reserve,3.771611422
2005-05-20,Federal Reserve,3.73973568
2005-05-27,Federal Reserve,3.779925616
2005-06-03,Federal Reserve,3.813401678
2005-06-10,Federal Reserve,3.798644217
2005-06-17,Federal Reserve,3.784768564
2005-06-24,Federal Reserve,3.781180677
2005-07-01,Federal Reserve,3.779561695
2005-07-08,Federal Reserve,3.833095401
2005-07-15,Federal Reserve,3.773864933
2005-07-22,Federal Reserve,3.810924216
2005-07-29,Federal Reserve,3.799050129
2005-08-05,Federal Reserve,3.820428152
2005-08-12,Federal Reserve,3.772385921
2005-08-19,Federal Reserve,3.796787287
2005-08-26,Federal Reserve,3.785305115
2005-09-02,Federal Reserve,3.840938364
2005-09-09,Federal Reserve,3.837499777
2005-09-16,Federal Reserve,3.842585339
2005-09-23,Federal Reserve,3.792830813
2005-09-30,Federal Reserve,3.843429822
2005-10-07,Federal Reserve,3.812477879
2005-10-14,Federal Reserve,3.855257253
2005-10-21,Federal Reserve,3.799152773
2005-10-28,Federal Reserve,3.821659885
2005-11-04,Federal Reserve,3.800505813
2005-11-11,Federal Reserve,3.849121919
2005-11-18,Federal Reserve,3.841059671
2005-11-25,Federal Reserve,3.887067677
2005-12-02,Federal Reserve,3.896095716
2005-12-09,Federal Reserve,3.887655549
2005-12-16,Federal Reserve,3.876924547
2005-12-23,Federal Reserve,3.957952947
2005-12-30,Federal Reserve,3.955074238
2006-01-06,Federal Reserve,3.974464693
2006-01-13,Federal Reserve,3.869492161
2006-01-20,Federal Reserve,3.900682053
2006-01-27,Federal Reserve,3.867364624
2006-02-03,Federal Reserve,3.880927677
2006-02-10,Federal Reserve,3.861355262
2006-02-17,Federal Reserve,3.896940199
2006-02-24,Federal Reserve,3.921738146
2006-03-03,Federal Reserve,3.916144028
2006-03-10,Federal Reserve,3.915574818
2006-03-17,Federal Reserve,3.933192325
2006-03-24,Federal Reserve,3.909831399
2006-03-31,Federal Reserve,3.889638452
2006-04-07,Federal Reserve,3.893902859
2006-04-14,Federal Reserve,3.904507889
2006-04-21,Federal Reserve,3.902128406
2006-04-28,Federal Reserve,3.940480075
2006-05-05,Federal Reserve,3.93719079
2006-05-12,Federal Reserve,3.911706992
2006-05-19,Federal Reserve,3.910531247
2006-05-26,Federal Reserve,3.920319788
2006-06-02,Federal Reserve,3.973176973
2006-06-09,Federal Reserve,3.961484846
2006-06-16,Federal Reserve,3.946531427
2006-06-23,Federal Reserve,3.941417871
2006-06-30,Federal Reserve,3.939845546
2006-07-07,Federal Reserve,3.97354556
2006-07-14,Federal Reserve,3.939635592
2006-07-21,Federal Reserve,3.965310682
2006-07-28,Federal Reserve,3.926389802
2006-08-04,Federal Reserve,3.967032308
2006-08-11,Federal Reserve,3.919176703
2006-08-18,Federal Reserve,3.932567127
2006-08-25,Federal Reserve,3.909756749
2006-09-01,Federal Reserve,3.97012097
2006-09-08,Federal Reserve,3.959245332
2006-09-15,Federal Reserve,3.923282477
2006-09-22,Federal Reserve,3.910713208
2006-09-29,Federal Reserve,3.965669937
2006-10-06,Federal Reserve,3.929861048
2006-10-13,Federal Reserve,4.009377776
2006-10-20,Federal Reserve,3.938744452
2006-10-27,Federal Reserve,3.978159891
2006-11-03,Federal Reserve,3.991634297
2006-11-10,Federal Reserve,4.006069828
2006-11-17,Federal Reserve,3.991704282
2006-11-24,Federal Reserve,4.036377912
2006-12-01,Federal Reserve,3.996929814
2006-12-08,Federal Reserve,4.022623566
2006-12-15,Federal Reserve,3.983772671
2006-12-22,Federal Reserve,4.035836696
2006-12-29,Federal Reserve,4.059062318
2007-01-05,Federal Reserve,4.080701617
2007-01-12,Federal Reserve,3.988289024
2007-01-19,Federal Reserve,4.009489752
2007-01-26,Federal Reserve,3.973993462
2007-02-02,Federal Reserve,4.039195966
2007-02-09,Federal Reserve,3.989399449
2007-02-16,Federal Reserve,4.046049811
2007-02-23,Federal Reserve,4.055549081
2007-03-02,Federal Reserve,4.09368613
2007-03-09,Federal Reserve,4.033480541
2007-03-16,Federal Reserve,4.087616115
2007-03-23,Federal Reserve,4.026771332
2007-03-30,Federal Reserve,4.058199172
2007-04-06,Federal Reserve,4.023281423
2007-04-13,Federal Reserve,4.037847592
2007-04-20,Federal Reserve,4.01869042
2007-04-27,Federal Reserve,4.104309823
