date,region,value
1998-99,Scotland,-2.77
1999-00,Scotland,-2.12
2000-01,Scotland,-0.2
2001-02,Scotland,-2.45
2002-03,Scotland,-5.06
2003-04,Scotland,-6.34
2004-05,Scotland,-5.46
2005-06,Scotland,-2.69
2006-07,Scotland,-4.3
2007-08,Scotland,-3.68
2008-09,Scotland,-5.9
2009-10,Scotland,-10.46
2010-11,Scotland,-8.28
2011-12,Scotland,-7.24
2012-13,Scotland,-9.42
2013-14,Scotland,-8.24
2014-15,Scotland,-9.31
2015-16,Scotland,-10.55
2016-17,Scotland,-10.1
2017-18,Scotland,-8.94
2018-19,Scotland,-7.69
2019-20,Scotland,-8.82
2020-21,Scotland,-22.4
1998-99,UK,0.12
1999-00,UK,1.09
2000-01,UK,1.43
2001-02,UK,-0.48
2002-03,UK,-2.82
2003-04,UK,-3.28
2004-05,UK,-3.68
2005-06,UK,-3.12
2006-07,UK,-2.68
2007-08,UK,-2.88
2008-09,UK,-7.46
2009-10,UK,-10.12
2010-11,UK,-8.61
2011-12,UK,-7.28
2012-13,UK,-7.24
2013-14,UK,-5.81
2014-15,UK,-5.14
2015-16,UK,-4.17
2016-17,UK,-2.68
2017-18,UK,-2.58
2018-19,UK,-1.76
2019-20,UK,-2.56
2020-21,UK,-14.18
