Sector,Value
"Environmental, social & governance",11
R&D,15
Distribution & logistics,21
Security (physical or cyber),28
Recruitment,31
Production/supply chain management,34
Payroll and other (non-recruitment) HR,36
Other admin/business as usual tasks,39
Accounting & finance,47
People management & remote working,65
Sales & marketing,70
