Time,Country,Type,Value,Value = cumulative installed capacity at the end of the year in MW,,,,,,
2014,Wales,Solar,382.76,,,,,,,
2015,Wales,Solar,682.8,,,,,,,
2016,Wales,Solar,951.27,,,,,,,
2017,Wales,Solar,1044.57,,,,,,,
2018,Wales,Solar,1090.71,,,,,,,
2019,Wales,Solar,1092.18,,,,,,,
2020,Wales,Solar,1120.66,,,,,,,
2008,Wales,Hydro,147,,,,,,,
2009,Wales,Hydro,149,,,,,,,
2010,Wales,Hydro,149,,,,,,,
2011,Wales,Hydro,155.54,,,,,,,
2012,Wales,Hydro,156.13,,,,,,,
2013,Wales,Hydro,158.16,,,,,,,
2014,Wales,Hydro,159.39,,,,,,,
2015,Wales,Hydro,161.06,,,,,,,
2016,Wales,Hydro,161.01,,,,,,,
2017,Wales,Hydro,168.15,,,,,,,
2018,Wales,Hydro,169.53,,,,,,,
2019,Wales,Hydro,169.7,,,,,,,
2020,Wales,Hydro,167.44,,,,,,,
