region,value1,value2
North East,-0.6,36.85258964
North West,-2,21.51098901
Yorkshire and Humbers,-1.5,12.4600639
East Midlands,-2.9,21.77888612
West Midlands,-2.8,21.7877095
East of England,-1.1,14.0579325
London,-2.6,39.45305696
South East,-1.8,23.4791889
South West,-2.5,21.36231884
Wales,-0.4,14.9468418
Scotland,-1.6,18.96348645
Northern Ireland,-4.7,3.816793893
