Date ,Region,Value,Detail
2016-06-01,UK,8.27,
2016-07-01,UK,6.93,
2016-08-01,UK,6.06,
2016-09-01,UK,5.51,
2016-10-01,UK,5.83,
2016-11-01,UK,5.83,
2016-12-01,UK,5.04,
2017-01-01,UK,5.42,
2017-02-01,UK,4.89,
2017-03-01,UK,3.45,
2017-04-01,UK,5.88,
2017-05-01,UK,5.19,
2017-06-01,UK,3.98,
2017-07-01,UK,4.87,
2017-08-01,UK,4.95,
2017-09-01,UK,5.07,
2017-10-01,UK,5.16,
2017-11-01,UK,3.76,
2017-12-01,UK,4.32,
2018-01-01,UK,4.32,
2018-02-01,UK,5.05,
2018-03-01,UK,4.14,
2018-04-01,UK,3.25,
2018-05-01,UK,4.14,
2018-06-01,UK,3.48,
2018-07-01,UK,3.98,
2018-08-01,UK,3.7,
2018-09-01,UK,3.58,
2018-10-01,UK,3.45,
2018-11-01,UK,3.49,
2018-12-01,UK,2.49,
2019-01-01,UK,2.8,
