Asset,Date,Closing Price ($)
GME,04/02/2021,53.5
GME,03/02/2021,92.41
GME,02/02/2021,90
GME,01/02/2021,225
GME,29/01/2021,325
GME,28/01/2021,193.6
GME,27/01/2021,347.51
GME,26/01/2021,147.98
GME,25/01/2021,76.79
GME,22/01/2021,65.01
GME,21/01/2021,43.03
GME,20/01/2021,39.12
GME,19/01/2021,39.36
GME,15/01/2021,35.5
GME,14/01/2021,39.91
GME,13/01/2021,31.4
GME,12/01/2021,19.95
GME,11/01/2021,19.94
GME,08/01/2021,17.69
GME,07/01/2021,18.08
GME,06/01/2021,18.36
GME,05/01/2021,17.37
